dt,open,high,low,close,value,volume
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,753.0,753.0,752.0,752.0,90260.0,
2020-03-05,752.5,752.5,752.0,752.0,135385.0,
2020-03-06,,,,,,
2020-03-09,829.5,829.5,829.5,829.5,24885.0,
2020-03-10,750.5,750.5,750.0,750.0,22510.0,
2020-03-11,750.0,750.0,750.0,750.0,75000.0,
2020-03-12,700.0,700.0,700.0,700.0,70000.0,
2020-03-13,,,,,,
2020-03-16,700.0,700.0,700.0,700.0,35000.0,
2020-03-19,680.0,680.0,680.0,680.0,68000.0,
2020-03-20,650.0,650.0,650.0,650.0,58500.0,
2020-03-23,600.0,600.0,600.0,600.0,30000.0,
2020-03-24,750.0,750.0,690.0,690.0,21300.0,
2020-03-25,750.0,750.0,750.0,750.0,15000.0,
2020-03-26,,,,,,
2020-03-27,,,,,,
2020-03-30,718.0,718.0,718.0,718.0,7180.0,
2020-03-31,718.0,718.0,718.0,718.0,14360.0,
2020-04-01,,,,,,
2020-04-02,,,,,,
2020-04-03,,,,,,
2020-04-06,,,,,,
2020-04-07,,,,,,
2020-04-08,,,,,,
2020-04-13,695.0,695.0,615.0,615.0,86960.0,
2020-04-14,,,,,,
2020-04-15,649.5,649.5,617.0,620.0,25065.0,
2020-04-16,621.0,621.0,615.0,615.0,49310.0,
2020-04-17,,,,,,
2020-04-20,,,,,,
2020-04-21,,,,,,
2020-04-22,630.0,630.0,629.0,629.0,25180.0,
2020-04-23,,,,,,
2020-04-24,600.0,600.0,600.0,600.0,12000.0,
2020-04-27,639.0,639.0,620.0,620.0,43780.0,
2020-04-28,,,,,,
2020-04-29,639.0,639.0,639.0,639.0,6390.0,
2020-04-30,639.0,639.0,639.0,639.0,6390.0,
2020-05-04,,,,,,
2020-05-05,639.0,639.0,639.0,639.0,6390.0,
2020-05-06,630.0,630.0,630.0,630.0,63000.0,
2020-05-07,650.0,650.0,650.0,650.0,6500.0,
2020-05-08,,,,,,
2020-05-11,,,,,,
2020-05-12,640.0,640.0,640.0,640.0,460800.0,
2020-05-13,650.0,650.0,640.0,640.0,25700.0,
2020-05-14,640.0,640.0,630.0,630.0,37900.0,
2020-05-15,,,,,,
2020-05-18,700.0,700.0,700.0,700.0,7000.0,
2020-05-19,,,,,,
2020-05-20,,,,,,
2020-05-21,,,,,,
2020-05-22,600.0,601.0,600.0,601.0,18010.0,
2020-05-26,,,,,,
2020-05-27,,,,,,
2020-05-28,600.0,600.0,600.0,600.0,6000.0,
2020-05-29,,,,,,
2020-06-01,,,,,,
2020-06-02,,,,,,
2020-06-03,,,,,,
2020-06-04,650.0,650.0,650.0,650.0,13000.0,
2020-06-05,650.0,650.0,650.0,650.0,6500.0,
2020-06-08,650.0,650.0,650.0,650.0,195000.0,
2020-06-09,650.0,650.0,650.0,650.0,260000.0,
2020-06-10,,,,,,
2020-06-11,,,,,,
2020-06-15,,,,,,
2020-06-16,,,,,,
2020-06-17,650.0,650.0,650.0,650.0,6500.0,
2020-06-18,,,,,,
2020-06-19,,,,,,
2020-06-22,,,,,,
2020-06-23,,,,,,
2020-06-24,,,,,,
2020-06-25,698.0,710.0,610.0,610.0,54660.0,
2020-06-26,,,,,,
2020-06-29,,,,,,
2020-06-30,,,,,,
2020-07-01,,,,,,
2020-07-02,,,,,,
2020-07-03,750.0,750.0,750.0,750.0,7500.0,
2020-07-06,,,,,,
2020-07-07,,,,,,
2020-07-08,,,,,,
2020-07-09,749.5,749.5,749.5,749.5,22485.0,
2020-07-10,,,,,,
2020-07-13,,,,,,
2020-07-14,,,,,,
2020-07-15,,,,,,
2020-07-16,,,,,,
2020-07-17,,,,,,
2020-07-20,662.0,665.0,662.0,665.0,46430.0,
2020-07-21,,,,,,
2020-07-22,670.0,670.0,670.0,670.0,13400.0,
2020-07-23,,,,,,
2020-07-24,,,,,,
2020-07-27,,,,,,
2020-07-28,680.0,680.0,680.0,680.0,6800.0,
2020-07-29,,,,,,
2020-07-30,,,,,,
2020-08-03,,,,,,
2020-08-05,,,,745.0,,10.0
2020-08-06,,,,740.0,,10.0
2020-08-10,,,,739.0,,10.0
2020-08-12,,,,735.0,,100.0
2020-08-13,,,,735.0,,20.0
2020-08-14,,,,685.0,,30.0
2020-08-20,,,,760.0,,20.0
2020-08-26,,,,755.0,,20.0
2020-08-27,,,,735.0,,170.0
2020-08-28,,,,760.0,,30.0
2020-09-02,,,,760.0,,20.0
2020-09-07,,,,760.0,,20.0
2020-09-08,,,,730.0,,10.0
2020-09-09,,,,755.0,,10.0
2020-09-10,,,,755.0,,10.0
2020-09-17,,,,750.0,,160.0
2020-09-18,,,,745.0,,200.0
2020-09-21,,,,720.0,,520.0
2020-09-23,,,,720.0,,110.0
2020-09-24,,,,710.0,,110.0
