dt,open,high,low,close,value,volume
2020-03-02,0.151,0.151,0.151,0.151,75500.0,
2020-03-03,0.15,0.15,0.15,0.15,19500.0,
2020-03-04,0.15,0.15,0.121,0.134,62730.0,
2020-03-05,0.142,0.142,0.142,0.142,39760.0,
2020-03-06,0.142,0.159,0.142,0.159,10110.0,
2020-03-09,,,,,,
2020-03-10,,,,,,
2020-03-11,,,,,,
2020-03-12,0.124,0.153,0.121,0.153,88220.0,
2020-03-13,0.121,0.15,0.121,0.15,35990.0,
2020-03-16,0.12,0.12,0.12,0.12,24000.0,
2020-03-19,,,,,,
2020-03-20,0.105,0.105,0.105,0.105,1050.0,
2020-03-23,0.10300000000000001,0.106,0.10300000000000001,0.106,10450.0,
2020-03-24,0.105,0.145,0.102,0.145,48860.0,
2020-03-25,0.145,0.145,0.145,0.145,145000.0,
2020-03-26,,,,,,
2020-03-27,0.14400000000000002,0.14400000000000002,0.14400000000000002,0.14400000000000002,4320.0,
2020-03-30,,,,,,
2020-03-31,,,,,,
2020-04-01,,,,,,
2020-04-02,,,,,,
2020-04-03,,,,,,
2020-04-06,0.11199999999999999,0.14400000000000002,0.11199999999999999,0.14400000000000002,404640.0,
2020-04-07,0.14400000000000002,0.14400000000000002,0.14,0.14,115340.0,
2020-04-08,,,,,,
2020-04-13,,,,,,
2020-04-14,,,,,,
2020-04-15,0.14,0.14,0.14,0.14,8400.0,
2020-04-16,,,,,,
2020-04-17,,,,,,
2020-04-20,0.14,0.145,0.14,0.145,31300.0,
2020-04-21,,,,,,
2020-04-22,,,,,,
2020-04-23,,,,,,
2020-04-24,0.115,0.14400000000000002,0.115,0.14400000000000002,14670.0,
2020-04-27,,,,,,
2020-04-28,,,,,,
2020-04-29,0.121,0.14,0.121,0.14,6420.0,
2020-04-30,,,,,,
2020-05-04,0.14,0.14,0.126,0.126,10280.0,
2020-05-05,0.13,0.13,0.13,0.13,6500.0,
2020-05-06,,,,,,
2020-05-07,,,,,,
2020-05-08,,,,,,
2020-05-11,,,,,,
2020-05-12,,,,,,
2020-05-13,0.14,0.14,0.14,0.14,1400.0,
2020-05-14,,,,,,
2020-05-15,,,,,,
2020-05-18,0.13,0.13,0.13,0.13,7800.0,
2020-05-19,0.125,0.128,0.12,0.122,315250.0,
2020-05-20,,,,,,
2020-05-21,0.125,0.125,0.121,0.125,21060.0,
2020-05-22,0.12,0.14300000000000002,0.115,0.14300000000000002,39810.0,
2020-05-26,0.12,0.121,0.12,0.121,2410.0,
2020-05-27,,,,,,
2020-05-28,0.115,0.115,0.115,0.115,2300.0,
2020-05-29,,,,,,
2020-06-01,,,,,,
2020-06-02,,,,,,
2020-06-03,0.147,0.147,0.147,0.147,1470.0,
2020-06-04,0.12,0.122,0.12,0.122,37720.0,
2020-06-05,0.14,0.14,0.14,0.14,14000.0,
2020-06-08,,,,,,
2020-06-09,,,,,,
2020-06-10,,,,,,
2020-06-11,,,,,,
2020-06-15,,,,,,
2020-06-16,,,,,,
2020-06-17,,,,,,
2020-06-18,0.11599999999999999,0.13,0.11599999999999999,0.12,23090.0,
2020-06-19,0.156,0.156,0.14,0.14,116900.0,
2020-06-22,0.139,0.139,0.139,0.139,51430.0,
2020-06-23,0.132,0.133,0.13,0.133,36820.0,
2020-06-24,0.138,0.138,0.135,0.135,51360.0,
2020-06-25,0.133,0.135,0.133,0.135,9370.0,
2020-06-26,0.133,0.136,0.133,0.136,5390.0,
2020-06-29,0.139,0.139,0.133,0.133,37840.0,
2020-06-30,0.131,0.133,0.121,0.133,34640.0,
2020-07-01,0.129,0.129,0.121,0.122,45710.0,
2020-07-02,0.138,0.153,0.126,0.14400000000000002,822200.0,
2020-07-03,0.141,0.16899999999999998,0.141,0.154,690470.0,
2020-07-06,0.154,0.158,0.138,0.139,272890.0,
2020-07-07,0.138,0.14,0.135,0.14,145230.0,
2020-07-08,0.136,0.14800000000000002,0.136,0.14800000000000002,46360.0,
2020-07-09,0.147,0.147,0.135,0.135,20400.0,
2020-07-10,0.135,0.14300000000000002,0.135,0.135,98630.0,
2020-07-13,0.133,0.133,0.12300000000000001,0.13,82750.0,
2020-07-14,0.129,0.139,0.128,0.129,198520.0,
2020-07-15,0.129,0.13699999999999998,0.125,0.13699999999999998,74840.0,
2020-07-16,,,,,,
2020-07-17,0.134,0.134,0.134,0.134,8040.0,
2020-07-20,0.133,0.133,0.133,0.133,17290.0,
2020-07-21,0.132,0.132,0.12300000000000001,0.132,73000.0,
2020-07-22,,,,,,
2020-07-23,0.125,0.134,0.12300000000000001,0.134,132620.0,
2020-07-24,0.125,0.125,0.125,0.125,2500.0,
2020-07-27,0.125,0.125,0.125,0.125,22500.0,
2020-07-28,0.124,0.134,0.12300000000000001,0.133,52390.0,
2020-07-29,,,,,,
2020-07-30,,,,,,
2020-08-03,0.124,0.13699999999999998,0.124,0.13699999999999998,6330.0,
2020-08-07,,,,0.138,,120000.0
2020-08-12,,,,0.13,,110000.0
2020-08-14,,,,0.139,,350000.0
2020-08-17,,,,0.139,,80000.0
2020-08-18,,,,0.138,,120000.0
2020-08-19,,,,0.133,,1570000.0
2020-08-20,,,,0.131,,660000.0
2020-08-24,,,,0.13,,210000.0
2020-08-25,,,,0.138,,2110000.0
2020-08-26,,,,0.13,,760000.0
2020-08-28,,,,0.126,,10000.0
2020-09-01,,,,0.128,,1030000.0
2020-09-02,,,,0.128,,2150000.0
2020-09-04,,,,0.128,,10000.0
2020-09-08,,,,0.134,,1090000.0
2020-09-09,,,,0.125,,930000.0
2020-09-10,,,,0.13,,260000.0
2020-09-11,,,,0.13,,80000.0
2020-09-14,,,,0.133,,290000.0
2020-09-21,,,,0.127,,10000.0
2020-09-23,,,,0.128,,120000.0
2020-09-24,,,,0.128,,80000.0
2020-09-25,,,,0.127,,700000.0
