dt,open,high,low,close,value,volume
2020-03-02,0.58,0.58,0.58,0.58,73660.0,
2020-03-03,0.55,0.59,0.55,0.59,65450.0,
2020-03-04,0.56,0.6,0.56,0.6,222470.0,
2020-03-05,0.57,0.6,0.57,0.6,1170.0,
2020-03-06,0.6,0.63,0.58,0.59,696490.0,
2020-03-09,0.55,0.6,0.55,0.6,45150.0,
2020-03-10,0.54,0.6,0.53,0.57,564930.0,
2020-03-11,0.58,0.6,0.55,0.55,40830.0,
2020-03-12,0.53,0.53,0.48,0.48,628940.0,
2020-03-13,0.27,0.52,0.27,0.52,21700.0,
2020-03-16,0.5,0.5,0.5,0.5,25000.0,
2020-03-19,0.3,0.37,0.3,0.37,34670.0,
2020-03-20,0.45,0.45,0.4,0.44,21300.0,
2020-03-23,,,,,,
2020-03-24,,,,,,
2020-03-25,0.49,0.49,0.49,0.49,9800.0,
2020-03-26,0.5,0.5,0.5,0.5,5000.0,
2020-03-27,0.59,0.59,0.55,0.55,68910.0,
2020-03-30,0.54,0.54,0.54,0.54,1080.0,
2020-03-31,,,,,,
2020-04-01,0.415,0.51,0.415,0.51,925.0,
2020-04-02,,,,,,
2020-04-03,0.44,0.52,0.44,0.52,36240.0,
2020-04-06,0.53,0.53,0.465,0.465,2480.0,
2020-04-07,,,,,,
2020-04-08,0.455,0.49,0.455,0.49,23450.0,
2020-04-13,0.46,0.48,0.455,0.455,59500.0,
2020-04-14,0.46,0.49,0.455,0.49,37000.0,
2020-04-15,0.455,0.46,0.455,0.46,36600.0,
2020-04-16,,,,,,
2020-04-17,0.45,0.475,0.45,0.475,22750.0,
2020-04-20,0.475,0.5,0.46,0.495,1108750.0,
2020-04-21,0.5,0.5,0.495,0.495,69600.0,
2020-04-22,,,,,,
2020-04-23,,,,,,
2020-04-24,0.465,0.51,0.465,0.51,63100.0,
2020-04-27,0.5,0.5,0.47,0.495,18040.0,
2020-04-28,0.435,0.47,0.435,0.47,18100.0,
2020-04-29,0.455,0.475,0.455,0.475,82700.0,
2020-04-30,0.475,0.54,0.475,0.54,110250.0,
2020-05-04,0.53,0.53,0.53,0.53,8480.0,
2020-05-05,0.53,0.53,0.53,0.53,5300.0,
2020-05-06,0.385,0.5,0.385,0.5,4350.0,
2020-05-07,0.52,0.52,0.43,0.48,2905.0,
2020-05-08,0.465,0.465,0.455,0.455,23050.0,
2020-05-11,0.445,0.445,0.445,0.445,8900.0,
2020-05-12,0.48,0.48,0.475,0.48,1055900.0,
2020-05-13,,,,,,
2020-05-14,0.455,0.455,0.455,0.455,9100.0,
2020-05-15,0.48,0.495,0.48,0.495,87500.0,
2020-05-18,,,,,,
2020-05-19,,,,,,
2020-05-20,,,,,,
2020-05-21,0.54,0.54,0.54,0.54,5400.0,
2020-05-22,,,,,,
2020-05-26,,,,,,
2020-05-27,0.54,0.54,0.54,0.54,648000.0,
2020-05-28,,,,,,
2020-05-29,,,,,,
2020-06-01,,,,,,
2020-06-02,,,,,,
2020-06-03,0.54,0.54,0.54,0.54,1080.0,
2020-06-04,,,,,,
2020-06-05,,,,,,
2020-06-08,0.395,0.53,0.395,0.53,34150.0,
2020-06-09,0.53,0.53,0.53,0.53,2650.0,
2020-06-10,0.53,0.53,0.53,0.53,530.0,
2020-06-11,,,,,,
2020-06-15,0.455,0.52,0.45,0.52,90620.0,
2020-06-16,0.47,0.52,0.47,0.52,33170.0,
2020-06-17,0.455,0.52,0.455,0.52,19820.0,
2020-06-18,,,,,,
2020-06-19,0.46,0.52,0.46,0.52,4100.0,
2020-06-22,0.465,0.51,0.465,0.495,79980.0,
2020-06-23,0.495,0.495,0.465,0.475,62600.0,
2020-06-24,0.52,0.53,0.5,0.53,98800.0,
2020-06-25,0.53,0.53,0.53,0.53,2120.0,
2020-06-26,0.5,0.5,0.5,0.5,4000.0,
2020-06-29,0.405,0.5,0.405,0.5,1405.0,
2020-06-30,0.455,0.455,0.455,0.455,2275.0,
2020-07-01,0.53,0.54,0.53,0.54,74800.0,
2020-07-02,0.54,0.54,0.48,0.53,42320.0,
2020-07-03,0.53,0.53,0.53,0.53,12190.0,
2020-07-06,,,,,,
2020-07-07,0.43,0.5,0.43,0.5,16215.0,
2020-07-08,0.5,0.5,0.45,0.5,7010.0,
2020-07-09,0.46,0.53,0.46,0.52,15790.0,
2020-07-10,0.52,0.52,0.52,0.52,1040.0,
2020-07-13,,,,,,
2020-07-14,,,,,,
2020-07-15,0.46,0.51,0.46,0.5,89940.0,
2020-07-16,0.46,0.48,0.46,0.46,9720.0,
2020-07-17,,,,,,
2020-07-20,,,,,,
2020-07-21,,,,,,
2020-07-22,,,,,,
2020-07-23,0.55,0.55,0.5,0.5,15700.0,
2020-07-24,0.55,0.55,0.52,0.52,6560.0,
2020-07-27,0.5,0.5,0.5,0.5,500.0,
2020-07-28,0.455,0.5,0.455,0.485,16985.0,
2020-07-29,,,,,,
2020-07-30,,,,,,
2020-08-03,0.59,0.59,0.52,0.52,101600.0,
2020-08-04,,,,0.5,,134000.0
2020-08-05,,,,0.51,,34000.0
2020-08-07,,,,0.51,,6000.0
2020-08-10,,,,0.49,,1094000.0
2020-08-11,,,,0.465,,60000.0
2020-08-12,,,,0.51,,10000.0
2020-08-13,,,,0.55,,96000.0
2020-08-14,,,,0.58,,39000.0
2020-08-17,,,,0.55,,53000.0
2020-08-18,,,,0.55,,387000.0
2020-08-19,,,,0.58,,261000.0
2020-08-20,,,,0.56,,1000.0
2020-08-24,,,,0.56,,10000.0
2020-08-26,,,,0.58,,95000.0
2020-08-27,,,,0.56,,210000.0
2020-09-01,,,,0.56,,10000.0
2020-09-02,,,,0.57,,17000.0
2020-09-03,,,,0.57,,5000.0
2020-09-09,,,,0.58,,63000.0
2020-09-10,,,,0.51,,700000.0
2020-09-11,,,,0.54,,67000.0
2020-09-14,,,,0.54,,106000.0
2020-09-15,,,,0.54,,21000.0
2020-09-16,,,,0.52,,94000.0
2020-09-17,,,,0.52,,20000.0
2020-09-18,,,,0.495,,639000.0
2020-09-21,,,,0.5,,30000.0
2020-09-24,,,,0.5,,40000.0
2020-09-25,,,,0.49,,14000.0
