dt,open,high,low,close,value,volume
2020-03-02,2.93,2.93,2.93,2.93,5860.0,
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,2.85,2.85,2.85,2.85,48450.0,
2020-03-06,2.8,2.8,2.6,2.74,114840.0,
2020-03-09,,,,,,
2020-03-10,2.74,2.75,2.74,2.75,65960.0,
2020-03-11,,,,,,
2020-03-12,2.5,2.5,2.3,2.3,71500.0,
2020-03-13,2.0,2.0,1.99,1.99,59970.0,
2020-03-16,2.0,2.0,2.0,2.0,40000.0,
2020-03-19,,,,,,
2020-03-20,,,,,,
2020-03-23,2.0,2.0,2.0,2.0,40000.0,
2020-03-24,2.0,2.0,2.0,2.0,60000.0,
2020-03-25,2.1,2.1,2.1,2.1,16800.0,
2020-03-26,,,,,,
2020-03-27,,,,,,
2020-03-30,,,,,,
2020-03-31,,,,,,
2020-04-01,,,,,,
2020-04-02,,,,,,
2020-04-03,,,,,,
2020-04-06,1.7,1.7,1.6,1.6,14900.0,
2020-04-07,2.0,2.15,2.0,2.06,82540.0,
2020-04-08,,,,,,
2020-04-13,2.1,2.2,2.0,2.0,192800.0,
2020-04-14,2.0,2.0,2.0,2.0,182000.0,
2020-04-15,2.05,2.05,2.0,2.0,80250.0,
2020-04-16,2.0,2.0,2.0,2.0,114000.0,
2020-04-17,2.0,2.0,2.0,2.0,402000.0,
2020-04-20,,,,,,
2020-04-21,,,,,,
2020-04-22,2.2,2.2,2.2,2.2,4400.0,
2020-04-23,,,,,,
2020-04-24,,,,,,
2020-04-27,1.94,1.94,1.94,1.94,5820.0,
2020-04-28,,,,,,
2020-04-29,2.05,2.05,2.05,2.05,26650.0,
2020-04-30,,,,,,
2020-05-04,,,,,,
2020-05-05,2.2,2.2,2.06,2.06,6320.0,
2020-05-06,2.06,2.06,2.06,2.06,10300.0,
2020-05-07,,,,,,
2020-05-08,2.06,2.06,2.06,2.06,28840.0,
2020-05-11,,,,,,
2020-05-12,,,,,,
2020-05-13,2.15,2.15,2.15,2.15,21500.0,
2020-05-14,2.15,2.15,2.1,2.1,12850.0,
2020-05-15,2.19,2.19,2.19,2.19,6570.0,
2020-05-18,2.19,2.19,2.19,2.19,17520.0,
2020-05-19,2.15,2.2,2.15,2.2,26350.0,
2020-05-20,2.25,2.25,2.25,2.25,11250.0,
2020-05-21,,,,,,
2020-05-22,,,,,,
2020-05-26,,,,,,
2020-05-27,,,,,,
2020-05-28,,,,,,
2020-05-29,,,,,,
2020-06-01,2.35,2.35,2.35,2.35,7050.0,
2020-06-02,2.43,2.43,2.43,2.43,9720.0,
2020-06-03,2.5,2.75,2.5,2.7,210250.0,
2020-06-04,2.83,2.98,2.56,2.8,544240.0,
2020-06-05,,,,,,
2020-06-08,2.8,2.8,2.8,2.8,33600.0,
2020-06-09,,,,,,
2020-06-10,2.8,2.8,2.8,2.8,67200.0,
2020-06-11,,,,,,
2020-06-15,2.8,2.8,2.8,2.8,193200.0,
2020-06-16,,,,,,
2020-06-17,,,,,,
2020-06-18,2.8,2.8,2.8,2.8,8400.0,
2020-06-19,,,,,,
2020-06-22,2.71,2.71,2.7,2.7,421230.0,
2020-06-23,2.7,2.71,2.7,2.71,16210.0,
2020-06-24,,,,,,
2020-06-25,2.7,2.7,2.7,2.7,62100.0,
2020-06-26,2.7,2.7,2.7,2.7,324000.0,
2020-06-29,2.54,2.56,2.54,2.55,38330.0,
2020-06-30,,,,,,
2020-07-01,2.51,2.51,2.5,2.5,12540.0,
2020-07-02,2.5,2.5,2.5,2.5,90000.0,
2020-07-03,,,,,,
2020-07-06,,,,,,
2020-07-07,,,,,,
2020-07-08,,,,,,
2020-07-09,,,,,,
2020-07-10,,,,,,
2020-07-13,2.41,2.41,2.4,2.4,124840.0,
2020-07-14,,,,,,
2020-07-15,,,,,,
2020-07-16,,,,,,
2020-07-17,,,,,,
2020-07-20,2.4,2.4,2.4,2.4,163200.0,
2020-07-21,2.4,2.4,2.4,2.4,993600.0,
2020-07-22,2.3,2.3,2.22,2.22,2565930.0,
2020-07-23,2.22,2.22,2.22,2.22,111000.0,
2020-07-24,,,,,,
2020-07-27,2.22,2.22,2.22,2.22,115440.0,
2020-07-28,2.23,2.23,2.23,2.23,11150.0,
2020-07-29,,,,,,
2020-07-30,,,,,,
2020-08-03,2.22,2.23,2.22,2.22,48890.0,
2020-08-04,,,,2.22,,3000.0
2020-08-06,,,,2.1,,61000.0
2020-08-07,,,,2.1,,6000.0
2020-08-10,,,,2.22,,9000.0
2020-08-11,,,,2.48,,5000.0
2020-08-13,,,,2.4,,9000.0
2020-08-17,,,,2.4,,2983000.0
2020-08-18,,,,2.4,,47000.0
2020-08-20,,,,2.07,,1000.0
2020-08-24,,,,2.42,,3000.0
2020-08-26,,,,2.38,,8000.0
2020-08-27,,,,2.2,,26000.0
2020-08-28,,,,2.2,,8000.0
2020-09-07,,,,2.14,,76000.0
2020-09-11,,,,2.2,,20000.0
2020-09-17,,,,2.2,,6000.0
2020-09-23,,,,2.06,,520000.0
2020-09-28,,,,2.08,,9000.0
