dt,open,high,low,close,value,volume
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,,,,,,
2020-03-09,,,,,,
2020-03-10,,,,,,
2020-03-11,,,,,,
2020-03-12,,,,,,
2020-03-13,,,,,,
2020-03-16,,,,,,
2020-03-19,,,,,,
2020-03-20,,,,,,
2020-03-23,,,,,,
2020-03-24,,,,,,
2020-03-25,,,,,,
2020-03-26,,,,,,
2020-03-27,,,,,,
2020-03-30,,,,,,
2020-03-31,,,,,,
2020-04-01,,,,,,
2020-04-02,,,,,,
2020-04-03,,,,,,
2020-04-06,,,,,,
2020-04-07,,,,,,
2020-04-08,,,,,,
2020-04-13,,,,,,
2020-04-14,,,,,,
2020-04-15,,,,,,
2020-04-16,,,,,,
2020-04-17,,,,,,
2020-04-20,,,,,,
2020-04-21,,,,,,
2020-04-22,,,,,,
2020-04-23,,,,,,
2020-04-24,,,,,,
2020-04-27,,,,,,
2020-04-28,,,,,,
2020-04-29,,,,,,
2020-04-30,,,,,,
2020-05-04,,,,,,
2020-05-05,,,,,,
2020-05-06,,,,,,
2020-05-07,,,,,,
2020-05-08,,,,,,
2020-05-11,,,,,,
2020-05-12,,,,,,
2020-05-13,,,,,,
2020-05-14,,,,,,
2020-05-15,,,,,,
2020-05-18,,,,,,
2020-05-19,,,,,,
2020-05-20,,,,,,
2020-05-21,,,,,,
2020-05-22,,,,,,
2020-05-26,,,,,,
2020-05-27,,,,,,
2020-05-28,,,,,,
2020-05-29,,,,,,
2020-06-01,,,,,,
2020-06-02,,,,,,
2020-06-03,,,,,,
2020-06-04,,,,,,
2020-06-05,,,,,,
2020-06-08,,,,,,
2020-06-09,,,,,,
2020-06-10,,,,,,
2020-06-11,,,,,,
2020-06-15,1.5,1.5,1.28,1.5,369967090.0,
2020-06-16,2.0,2.25,1.91,2.25,301217460.0,
2020-06-17,3.37,3.37,3.2,3.37,321719620.0,
2020-06-18,4.5,4.5,2.72,2.75,1647365290.0,
2020-06-19,2.55,3.1,2.42,2.95,808957800.0,
2020-06-22,3.02,3.6,2.98,3.6,686295800.0,
2020-06-23,3.76,3.96,3.52,3.71,988111990.0,
2020-06-24,3.5,3.81,3.45,3.52,469351750.0,
2020-06-25,3.45,3.72,3.42,3.48,405486080.0,
2020-06-26,3.55,3.63,3.49,3.51,179762100.0,
2020-06-29,3.51,3.55,3.2,3.25,306043910.0,
2020-06-30,3.36,3.55,3.24,3.5,251263440.0,
2020-07-01,3.57,3.61,3.35,3.36,224195480.0,
2020-07-02,3.41,3.42,3.27,3.29,117312080.0,
2020-07-03,3.31,3.33,2.96,3.11,323121630.0,
2020-07-06,3.0,3.09,2.88,2.93,156927870.0,
2020-07-07,2.99,3.14,2.93,3.13,154503550.0,
2020-07-08,3.1,3.14,3.0,3.03,94381750.0,
2020-07-09,3.03,3.16,3.03,3.06,67269280.0,
2020-07-10,3.07,3.08,2.94,2.99,39586720.0,
2020-07-13,2.98,3.05,2.91,2.96,49582130.0,
2020-07-14,2.97,2.98,2.58,2.65,161503190.0,
2020-07-15,2.65,2.76,2.47,2.51,105146830.0,
2020-07-16,2.54,2.72,2.54,2.69,84668970.0,
2020-07-17,2.7,2.72,2.55,2.6,51954490.0,
2020-07-20,2.6,2.6,2.4,2.49,52383540.0,
2020-07-21,2.49,2.52,2.4,2.46,41504620.0,
2020-07-22,2.44,2.49,2.29,2.36,88181180.0,
2020-07-23,2.35,2.36,2.1,2.19,93882720.0,
2020-07-24,2.11,2.35,1.97,2.35,173779590.0,
2020-07-27,2.4,2.61,2.26,2.46,248772670.0,
2020-07-28,2.42,2.53,2.35,2.43,80430520.0,
2020-07-29,2.47,2.59,2.46,2.59,90869460.0,
2020-07-30,2.59,2.77,2.54,2.68,208501850.0,
2020-08-03,2.55,2.66,2.46,2.5,111001090.0,
2020-08-04,,,,2.71,,36813000.0
2020-08-05,,,,2.76,,42970000.0
2020-08-06,,,,2.73,,34410000.0
2020-08-07,,,,2.85,,44676000.0
2020-08-10,,,,2.9,,29011000.0
2020-08-11,,,,3.03,,41978000.0
2020-08-12,,,,2.87,,39831000.0
2020-08-13,,,,2.93,,20422000.0
2020-08-14,,,,3.01,,21340000.0
2020-08-17,,,,2.99,,19821000.0
2020-08-18,,,,3.17,,70289000.0
2020-08-19,,,,3.14,,46298000.0
2020-08-20,,,,3.25,,64621000.0
2020-08-24,,,,3.21,,23137000.0
2020-08-25,,,,3.23,,14781000.0
2020-08-26,,,,3.08,,28779000.0
2020-08-27,,,,3.12,,19671000.0
2020-08-28,,,,2.94,,76468000.0
2020-09-01,,,,2.85,,44519000.0
2020-09-02,,,,3.06,,74149000.0
2020-09-03,,,,3.01,,16981000.0
2020-09-04,,,,2.99,,11366000.0
2020-09-07,,,,2.99,,8128000.0
2020-09-08,,,,2.93,,25778000.0
2020-09-09,,,,3.01,,27776000.0
2020-09-10,,,,2.97,,10465000.0
2020-09-11,,,,2.98,,8250000.0
2020-09-14,,,,3.03,,16828000.0
2020-09-15,,,,3.03,,29188000.0
2020-09-16,,,,3.03,,9399000.0
2020-09-17,,,,3.03,,7597000.0
2020-09-18,,,,3.04,,10023000.0
2020-09-21,,,,2.93,,32591000.0
2020-09-22,,,,3.0,,34525000.0
2020-09-23,,,,3.14,,58510000.0
2020-09-24,,,,3.13,,121984000.0
2020-09-25,,,,3.05,,29087000.0
2020-09-28,,,,3.07,,26595000.0
