dt,open,high,low,close,value,volume
2020-03-02,3.09,3.29,3.09,3.2,129651080.0,
2020-03-03,3.25,3.34,3.22,3.3,204189030.0,
2020-03-04,3.35,3.54,3.33,3.44,253210200.0,
2020-03-05,3.48,3.5,3.39,3.44,177293770.0,
2020-03-06,3.45,3.66,3.44,3.62,491567350.0,
2020-03-09,3.48,3.54,3.39,3.48,333512560.0,
2020-03-10,3.35,3.57,3.35,3.5,299918710.0,
2020-03-11,3.51,3.57,3.44,3.5,224190730.0,
2020-03-12,3.42,3.44,3.06,3.06,277648490.0,
2020-03-13,2.84,3.27,2.61,3.2,339688000.0,
2020-03-16,3.0,3.14,2.95,3.0,160791120.0,
2020-03-19,2.85,2.85,2.58,2.6,218696300.0,
2020-03-20,2.6,2.84,2.6,2.68,95293650.0,
2020-03-23,2.6,2.64,2.28,2.28,154418850.0,
2020-03-24,2.41,2.42,2.31,2.33,134532020.0,
2020-03-25,2.51,2.53,2.4,2.46,142370390.0,
2020-03-26,2.53,2.73,2.5,2.71,169292700.0,
2020-03-27,2.76,2.85,2.54,2.6,203032810.0,
2020-03-30,2.6,2.62,2.34,2.4,281229250.0,
2020-03-31,2.5,2.53,2.42,2.42,272021710.0,
2020-04-01,2.44,2.55,2.43,2.55,125771830.0,
2020-04-02,2.46,2.52,2.46,2.47,72615730.0,
2020-04-03,2.51,2.54,2.44,2.46,59820190.0,
2020-04-06,2.51,2.55,2.48,2.53,99230490.0,
2020-04-07,2.63,2.66,2.53,2.54,141642290.0,
2020-04-08,2.53,2.56,2.48,2.49,128767940.0,
2020-04-13,2.5,2.55,2.49,2.5,165638390.0,
2020-04-14,2.52,2.63,2.52,2.61,187629980.0,
2020-04-15,2.68,2.8,2.65,2.8,241193540.0,
2020-04-16,2.75,2.75,2.6,2.6,201242010.0,
2020-04-17,2.72,2.74,2.69,2.7,134323180.0,
2020-04-20,2.77,2.77,2.62,2.72,95295530.0,
2020-04-21,2.68,2.7,2.61,2.67,115195490.0,
2020-04-22,2.63,2.64,2.6,2.62,68376950.0,
2020-04-23,2.64,2.69,2.64,2.66,34718990.0,
2020-04-24,2.68,2.68,2.58,2.59,75854410.0,
2020-04-27,2.61,2.62,2.51,2.53,49550320.0,
2020-04-28,2.58,2.59,2.48,2.5,98544240.0,
2020-04-29,2.53,2.55,2.51,2.52,72544810.0,
2020-04-30,2.56,2.61,2.56,2.57,119755470.0,
2020-05-04,2.55,2.55,2.5,2.51,98907340.0,
2020-05-05,2.67,2.85,2.66,2.85,503686690.0,
2020-05-06,2.94,2.98,2.76,2.78,385061790.0,
2020-05-07,2.78,2.79,2.66,2.75,256680570.0,
2020-05-08,2.75,2.9,2.75,2.86,232787690.0,
2020-05-11,2.9,2.97,2.88,2.97,138436520.0,
2020-05-12,2.93,2.94,2.88,2.9,90190370.0,
2020-05-13,2.9,2.9,2.75,2.8,141450200.0,
2020-05-14,2.8,2.8,2.72,2.75,84496420.0,
2020-05-15,2.75,2.8,2.66,2.75,139966390.0,
2020-05-18,2.76,2.76,2.7,2.7,30447460.0,
2020-05-19,2.75,2.8,2.74,2.78,71719230.0,
2020-05-20,2.78,2.81,2.73,2.73,68667110.0,
2020-05-21,2.78,2.8,2.74,2.8,37408250.0,
2020-05-22,2.79,2.8,2.67,2.67,88544070.0,
2020-05-26,2.7,2.72,2.6,2.6,111034680.0,
2020-05-27,2.62,2.75,2.55,2.75,103003440.0,
2020-05-28,2.77,2.83,2.7,2.83,178533330.0,
2020-05-29,2.84,2.89,2.79,2.89,218975740.0,
2020-06-01,2.89,3.12,2.84,3.12,236422570.0,
2020-06-02,3.11,3.17,3.07,3.17,196699430.0,
2020-06-03,3.18,3.2,3.04,3.17,185187850.0,
2020-06-04,3.15,3.31,3.13,3.31,358513070.0,
2020-06-05,3.32,3.38,3.18,3.38,171162090.0,
2020-06-08,3.42,3.6,3.35,3.58,279767440.0,
2020-06-09,3.58,3.58,3.43,3.55,161555540.0,
2020-06-10,3.49,3.51,3.42,3.5,162649180.0,
2020-06-11,3.47,3.51,3.37,3.51,127330110.0,
2020-06-15,3.4,3.45,3.37,3.38,162493880.0,
2020-06-16,3.4,3.49,3.4,3.45,153153440.0,
2020-06-17,3.48,3.51,3.45,3.49,209063670.0,
2020-06-18,3.5,3.59,3.44,3.59,234919360.0,
2020-06-19,3.57,3.83,3.56,3.79,590028940.0,
2020-06-22,3.79,3.79,3.62,3.7,233792380.0,
2020-06-23,3.78,3.87,3.75,3.82,267637110.0,
2020-06-24,3.84,3.93,3.84,3.88,323638810.0,
2020-06-25,3.83,3.84,3.65,3.67,307795370.0,
2020-06-26,3.69,3.8,3.69,3.8,118707890.0,
2020-06-29,3.74,3.78,3.68,3.7,158021170.0,
2020-06-30,3.72,3.78,3.7,3.7,86647220.0,
2020-07-01,3.7,3.7,3.58,3.62,149791740.0,
2020-07-02,3.63,3.72,3.57,3.7,176563730.0,
2020-07-03,3.75,3.8,3.67,3.68,91825210.0,
2020-07-06,3.68,3.73,3.67,3.7,73714030.0,
2020-07-07,3.72,3.73,3.61,3.61,95674270.0,
2020-07-08,3.62,3.68,3.58,3.62,87748610.0,
2020-07-09,3.6,3.65,3.58,3.62,68312510.0,
2020-07-10,3.58,3.61,3.5,3.55,75239610.0,
2020-07-13,3.56,3.56,3.35,3.48,119946780.0,
2020-07-14,3.45,3.45,3.33,3.36,140289800.0,
2020-07-15,3.36,3.37,3.17,3.17,199405070.0,
2020-07-16,3.19,3.38,3.19,3.33,98522190.0,
2020-07-17,3.4,3.4,3.2,3.26,70656260.0,
2020-07-20,3.25,3.43,3.23,3.41,44292200.0,
2020-07-21,3.4,3.4,3.34,3.36,39067950.0,
2020-07-22,3.36,3.41,3.31,3.31,65943980.0,
2020-07-23,3.32,3.35,3.14,3.19,95681610.0,
2020-07-24,3.17,3.23,3.12,3.15,33640270.0,
2020-07-27,3.15,3.18,3.01,3.02,74307190.0,
2020-07-28,3.0,3.16,2.91,3.06,134286300.0,
2020-07-29,3.09,3.18,3.03,3.18,40929080.0,
2020-07-30,3.15,3.18,3.08,3.12,73914120.0,
2020-08-03,3.01,3.12,2.97,3.0,140256590.0,
2020-08-04,,,,3.07,,28928000.0
2020-08-05,,,,3.11,,29145000.0
2020-08-06,,,,3.2,,44321000.0
2020-08-07,,,,3.22,,15160000.0
2020-08-10,,,,3.26,,18508000.0
2020-08-11,,,,3.21,,20018000.0
2020-08-12,,,,3.29,,25879000.0
2020-08-13,,,,3.37,,18515000.0
2020-08-14,,,,3.35,,35905000.0
2020-08-17,,,,3.33,,14237000.0
2020-08-18,,,,3.33,,17042000.0
2020-08-19,,,,3.26,,25904000.0
2020-08-20,,,,3.21,,16310000.0
2020-08-24,,,,3.21,,15190000.0
2020-08-25,,,,3.18,,17786000.0
2020-08-26,,,,3.33,,47118000.0
2020-08-27,,,,3.41,,39399000.0
2020-08-28,,,,3.36,,52867000.0
2020-09-01,,,,3.33,,30104000.0
2020-09-02,,,,3.28,,7595000.0
