dt,open,high,low,close,value,volume
2020-03-02,0.182,0.184,0.18,0.18,993530.0,
2020-03-03,0.18,0.185,0.17300000000000001,0.185,1347570.0,
2020-03-04,0.185,0.185,0.175,0.18100000000000002,1236230.0,
2020-03-05,0.18100000000000002,0.187,0.18,0.184,615900.0,
2020-03-06,0.187,0.188,0.18100000000000002,0.184,853600.0,
2020-03-09,0.18,0.184,0.155,0.155,2499460.0,
2020-03-10,0.15,0.15,0.138,0.146,1191540.0,
2020-03-11,0.145,0.161,0.145,0.156,720740.0,
2020-03-12,0.156,0.156,0.145,0.145,2216390.0,
2020-03-13,0.139,0.139,0.105,0.13,1889980.0,
2020-03-16,0.12,0.13,0.12,0.13,379990.0,
2020-03-19,0.121,0.121,0.111,0.12,375980.0,
2020-03-20,0.12,0.127,0.12,0.125,246780.0,
2020-03-23,0.125,0.125,0.11599999999999999,0.12300000000000001,182120.0,
2020-03-24,0.124,0.125,0.122,0.125,354610.0,
2020-03-25,0.125,0.13,0.12300000000000001,0.129,905400.0,
2020-03-26,0.13,0.139,0.129,0.139,884010.0,
2020-03-27,0.141,0.14400000000000002,0.135,0.142,1889060.0,
2020-03-30,0.142,0.142,0.133,0.138,652280.0,
2020-03-31,0.14,0.142,0.14,0.141,346050.0,
2020-04-01,0.141,0.142,0.139,0.14,1044860.0,
2020-04-02,0.141,0.14800000000000002,0.14,0.147,1749250.0,
2020-04-03,0.149,0.149,0.14300000000000002,0.14800000000000002,490210.0,
2020-04-06,0.14300000000000002,0.146,0.139,0.139,751640.0,
2020-04-07,0.14,0.14300000000000002,0.139,0.14,519240.0,
2020-04-08,0.14,0.146,0.14,0.145,453280.0,
2020-04-13,0.14800000000000002,0.14800000000000002,0.141,0.145,746840.0,
2020-04-14,0.147,0.147,0.141,0.142,554920.0,
2020-04-15,0.145,0.146,0.142,0.145,1253820.0,
2020-04-16,0.145,0.146,0.141,0.141,1048610.0,
2020-04-17,0.141,0.14300000000000002,0.14,0.14300000000000002,1015940.0,
2020-04-20,0.14300000000000002,0.145,0.141,0.145,606410.0,
2020-04-21,0.145,0.165,0.14300000000000002,0.158,9413780.0,
2020-04-22,0.161,0.174,0.159,0.168,8875470.0,
2020-04-23,0.171,0.171,0.162,0.165,2934970.0,
2020-04-24,0.165,0.166,0.157,0.16399999999999998,2141370.0,
2020-04-27,0.163,0.163,0.158,0.163,1046610.0,
2020-04-28,0.163,0.172,0.16,0.17,3024330.0,
2020-04-29,0.171,0.172,0.16699999999999998,0.16699999999999998,1815620.0,
2020-04-30,0.166,0.16899999999999998,0.16399999999999998,0.168,979400.0,
2020-05-04,0.16899999999999998,0.16899999999999998,0.16,0.16,1452000.0,
2020-05-05,0.16,0.16399999999999998,0.16,0.162,713380.0,
