dt,open,high,low,close,value,volume
2020-03-02,1.58,1.78,1.58,1.65,1709270.0,
2020-03-03,1.7,1.7,1.6,1.62,1776560.0,
2020-03-04,1.61,1.62,1.58,1.59,4119610.0,
2020-03-05,1.58,1.6,1.56,1.57,2103440.0,
2020-03-06,1.58,1.65,1.57,1.58,6431270.0,
2020-03-09,1.57,1.57,1.45,1.52,6551190.0,
2020-03-10,1.52,1.52,1.42,1.47,5974800.0,
2020-03-11,1.5,1.5,1.46,1.49,2679230.0,
2020-03-12,1.48,1.5,1.38,1.4,9119110.0,
2020-03-13,1.38,1.42,1.16,1.35,4611620.0,
2020-03-16,1.24,1.35,1.2,1.35,1212060.0,
2020-03-19,1.3,1.3,1.24,1.25,1998310.0,
2020-03-20,1.25,1.4,1.25,1.25,6565550.0,
2020-03-23,1.24,1.25,1.16,1.16,2295070.0,
2020-03-24,1.23,1.23,1.15,1.2,475000.0,
2020-03-25,1.25,1.37,1.25,1.29,2884420.0,
2020-03-26,1.31,1.37,1.28,1.36,3905500.0,
2020-03-27,1.36,1.54,1.36,1.44,4684540.0,
2020-03-30,1.44,1.45,1.31,1.41,2171950.0,
2020-03-31,1.41,1.42,1.37,1.39,3637190.0,
2020-04-01,1.38,1.49,1.38,1.47,3063590.0,
2020-04-02,1.47,1.47,1.42,1.43,1025230.0,
2020-04-03,1.44,1.5,1.43,1.47,1576680.0,
2020-04-06,1.49,1.58,1.47,1.58,2866420.0,
2020-04-07,1.59,1.59,1.45,1.51,5762810.0,
2020-04-08,1.57,1.57,1.42,1.46,4461060.0,
2020-04-13,1.46,1.55,1.46,1.51,3893700.0,
2020-04-14,1.55,1.56,1.49,1.52,6662530.0,
2020-04-15,1.53,1.61,1.52,1.57,5292870.0,
2020-04-16,1.57,1.57,1.49,1.49,3726390.0,
2020-04-17,1.5,1.58,1.5,1.52,5944540.0,
2020-04-20,1.53,1.56,1.53,1.55,1769740.0,
2020-04-21,1.55,1.7,1.51,1.68,6977520.0,
2020-04-22,1.68,1.68,1.61,1.63,4648650.0,
2020-04-23,1.65,1.75,1.65,1.72,7353120.0,
2020-04-24,1.73,1.75,1.71,1.72,2787810.0,
2020-04-27,1.76,1.99,1.76,1.9,12639850.0,
2020-04-28,1.91,1.98,1.81,1.87,8779160.0,
2020-04-29,1.89,1.91,1.85,1.91,4224250.0,
2020-04-30,1.95,1.95,1.88,1.89,4961790.0,
2020-05-04,1.89,1.89,1.75,1.8,4540730.0,
2020-05-05,1.77,1.88,1.77,1.88,5836830.0,
2020-05-06,1.87,1.87,1.82,1.85,2488760.0,
2020-05-07,1.81,1.84,1.78,1.8,2295150.0,
2020-05-08,1.8,1.84,1.75,1.8,6202190.0,
2020-05-11,1.81,1.83,1.8,1.8,3570300.0,
2020-05-12,1.8,1.81,1.76,1.8,1744250.0,
2020-05-13,1.78,1.8,1.78,1.78,724320.0,
2020-05-14,1.77,1.77,1.71,1.73,4081690.0,
2020-05-15,1.77,1.82,1.65,1.66,8220010.0,
2020-05-18,1.66,1.66,1.54,1.59,5808770.0,
2020-05-19,1.62,1.68,1.61,1.63,3127870.0,
2020-05-20,1.68,1.68,1.64,1.67,3393510.0,
2020-05-21,1.67,1.71,1.65,1.65,1366410.0,
2020-05-22,1.68,1.68,1.6,1.61,5058430.0,
2020-05-26,1.6,1.6,1.46,1.55,4425190.0,
2020-05-27,1.55,1.55,1.5,1.5,2679750.0,
2020-05-28,1.51,1.54,1.51,1.53,2471870.0,
2020-05-29,1.54,1.57,1.52,1.52,2399920.0,
