dt,open,high,low,close,value,volume
2020-03-02,3.46,3.54,3.3,3.44,152500.0,
2020-03-03,3.52,3.52,3.2,3.37,100970.0,
2020-03-04,3.45,3.45,3.38,3.38,20490.0,
2020-03-05,3.39,3.4,3.3,3.31,87100.0,
2020-03-06,3.2,3.39,3.1,3.39,19290.0,
2020-03-09,3.1,3.34,2.86,3.34,75550.0,
2020-03-10,3.38,3.38,3.0,3.0,6380.0,
2020-03-11,3.29,3.29,3.01,3.1,24720.0,
2020-03-12,3.28,3.28,3.1,3.2,25230.0,
2020-03-13,3.01,3.15,3.01,3.15,21210.0,
2020-03-16,3.2,3.2,3.2,3.2,9600.0,
2020-03-19,3.15,3.25,3.15,3.2,12750.0,
2020-03-20,3.33,3.33,3.33,3.33,3330.0,
2020-03-23,3.1,3.25,3.09,3.25,31070.0,
2020-03-24,3.24,3.24,3.24,3.24,3240.0,
2020-03-25,,,,,,
2020-03-26,,,,,,
2020-03-27,3.2,3.2,3.2,3.2,48000.0,
2020-03-30,,,,,,
2020-03-31,,,,,,
2020-04-01,3.1,3.1,3.1,3.1,55800.0,
2020-04-02,,,,,,
2020-04-03,3.1,3.1,3.1,3.1,12400.0,
2020-04-06,,,,,,
2020-04-07,3.1,3.1,3.1,3.1,55800.0,
2020-04-08,3.15,3.19,3.15,3.19,34890.0,
2020-04-13,3.3,3.3,3.11,3.11,66970.0,
2020-04-14,3.12,3.31,3.12,3.31,12670.0,
2020-04-15,3.2,3.2,3.2,3.2,16000.0,
2020-04-16,3.21,3.21,3.2,3.2,102430.0,
2020-04-17,3.31,3.32,3.31,3.32,39780.0,
2020-04-20,3.33,3.47,3.21,3.45,90990.0,
2020-04-21,3.45,3.45,3.45,3.45,3450.0,
2020-04-22,,,,,,
2020-04-23,3.4,3.56,3.4,3.55,204380.0,
2020-04-24,3.5,3.5,3.4,3.5,24100.0,
2020-04-27,3.41,3.5,3.41,3.5,41340.0,
2020-04-28,3.55,3.64,3.46,3.64,329530.0,
2020-04-29,3.63,3.66,3.6,3.66,65520.0,
2020-04-30,3.6,3.6,3.6,3.6,46800.0,
2020-05-04,3.54,3.54,3.54,3.54,21240.0,
2020-05-05,3.54,3.54,3.54,3.54,42480.0,
2020-05-06,3.54,3.54,3.5,3.5,161350.0,
2020-05-07,3.5,3.5,3.5,3.5,17500.0,
2020-05-08,,,,,,
2020-05-11,,,,,,
2020-05-12,,,,,,
2020-05-13,3.4,3.5,3.4,3.5,71500.0,
2020-05-14,,,,,,
2020-05-15,,,,,,
2020-05-18,,,,,,
2020-05-19,3.5,3.5,3.5,3.5,42000.0,
2020-05-20,3.5,3.5,3.5,3.5,14000.0,
2020-05-21,,,,,,
2020-05-22,,,,,,
2020-05-26,3.45,3.45,3.45,3.45,10350.0,
2020-05-27,3.45,3.45,3.45,3.45,6900.0,
2020-05-28,3.45,3.45,3.4,3.45,68400.0,
2020-05-29,3.4,3.4,3.4,3.4,10200.0,
2020-06-01,,,,,,
2020-06-02,3.4,3.4,3.38,3.4,20360.0,
2020-06-03,,,,,,
2020-06-04,3.4,3.4,3.4,3.4,54400.0,
2020-06-05,3.5,3.5,3.5,3.5,17500.0,
2020-06-08,3.5,3.5,3.4,3.5,58100.0,
2020-06-09,3.5,3.55,3.5,3.55,35100.0,
2020-06-10,3.6,3.6,3.59,3.59,21570.0,
2020-06-11,3.59,3.64,3.59,3.64,32390.0,
2020-06-15,3.6,3.63,3.6,3.63,50570.0,
2020-06-16,3.63,3.63,3.6,3.63,28860.0,
2020-06-17,3.63,3.66,3.61,3.66,83850.0,
2020-06-18,,,,,,
2020-06-19,3.66,3.67,3.66,3.67,29290.0,
2020-06-22,3.6,3.6,3.5,3.5,24800.0,
2020-06-23,3.6,3.66,3.6,3.66,18240.0,
2020-06-24,,,,,,
2020-06-25,,,,,,
2020-06-26,3.66,3.67,3.66,3.67,11000.0,
2020-06-29,3.67,3.68,3.67,3.67,44060.0,
2020-06-30,3.68,3.68,3.65,3.65,66060.0,
2020-07-01,3.68,3.69,3.68,3.69,33140.0,
2020-07-02,,,,,,
2020-07-03,3.69,3.72,3.6,3.72,121400.0,
2020-07-06,3.72,3.73,3.72,3.73,230690.0,
2020-07-07,3.73,3.74,3.73,3.74,93300.0,
2020-07-08,3.73,3.74,3.66,3.74,85530.0,
2020-07-09,3.74,3.74,3.66,3.66,18410.0,
2020-07-10,3.75,3.75,3.66,3.74,37090.0,
2020-07-13,3.7,3.99,3.7,3.96,90920.0,
2020-07-14,3.95,3.95,3.7,3.92,41880.0,
2020-07-15,3.91,3.91,3.75,3.75,19070.0,
2020-07-16,3.76,3.94,3.75,3.94,42230.0,
2020-07-17,3.8,3.94,3.71,3.91,70350.0,
2020-07-20,3.91,3.93,3.91,3.91,19590.0,
2020-07-21,3.7,3.91,3.67,3.91,64990.0,
2020-07-22,,,,,,
2020-07-23,3.9,3.9,3.8,3.9,11600.0,
2020-07-24,3.81,3.81,3.81,3.81,11430.0,
2020-07-27,3.8,3.9,3.6,3.6,166630.0,
2020-07-28,3.56,3.84,3.56,3.84,14800.0,
2020-07-29,,,,,,
2020-07-30,,,,,,
2020-08-03,,,,,,
2020-08-05,,,,3.83,,2000.0
2020-08-06,,,,3.63,,36000.0
2020-08-07,,,,3.74,,16000.0
2020-08-11,,,,3.5,,26000.0
2020-08-12,,,,3.7,,11000.0
2020-08-13,,,,3.75,,11000.0
2020-08-14,,,,3.76,,30000.0
2020-08-17,,,,3.85,,5000.0
2020-08-18,,,,3.88,,12000.0
2020-08-19,,,,3.82,,5000.0
2020-08-20,,,,3.86,,21000.0
2020-08-24,,,,3.89,,4000.0
2020-08-25,,,,3.94,,2000.0
2020-08-27,,,,3.94,,4000.0
2020-08-28,,,,3.99,,2000.0
2020-09-01,,,,4.0,,15000.0
2020-09-03,,,,4.2,,32000.0
2020-09-04,,,,4.2,,6000.0
2020-09-07,,,,4.3,,80000.0
2020-09-08,,,,4.2,,38000.0
2020-09-09,,,,4.6,,18000.0
2020-09-10,,,,4.72,,7000.0
2020-09-11,,,,4.67,,13000.0
2020-09-14,,,,4.7,,10000.0
2020-09-15,,,,4.6,,12000.0
2020-09-16,,,,4.6,,25000.0
2020-09-17,,,,4.5,,35000.0
2020-09-18,,,,4.5,,8000.0
2020-09-21,,,,4.31,,5000.0
2020-09-22,,,,4.2,,17000.0
2020-09-23,,,,4.3,,18000.0
2020-09-24,,,,4.43,,9000.0
