dt,open,high,low,close,value,volume
2020-03-02,11.54,12.2,11.54,12.0,41849426.0,
2020-03-03,12.02,12.16,11.82,11.94,32672258.0,
2020-03-04,12.02,12.1,11.88,11.94,10873954.0,
2020-03-05,11.94,12.08,11.94,12.0,24715216.0,
2020-03-06,12.0,12.0,11.62,11.8,23426258.0,
2020-03-09,11.6,11.6,10.5,10.8,84775756.0,
2020-03-10,10.5,10.8,10.1,10.8,43364018.0,
2020-03-11,10.8,10.8,10.7,10.76,48682582.0,
2020-03-12,10.5,10.58,9.96,9.96,65750208.0,
2020-03-13,9.5,10.28,8.52,9.84,36348040.0,
2020-03-16,9.75,9.75,9.1,9.54,7859515.0,
2020-03-19,9.2,9.22,8.1,8.5,61352078.0,
2020-03-20,8.62,9.29,8.55,8.76,85746549.0,
2020-03-23,8.55,8.83,8.23,8.52,18784973.0,
2020-03-24,8.54,9.0,8.54,8.8,14189894.0,
2020-03-25,9.08,9.31,9.08,9.24,20001049.0,
2020-03-26,9.35,9.58,9.16,9.16,50849798.0,
2020-03-27,9.5,9.65,9.26,9.28,41047948.0,
2020-03-30,9.2,9.4,9.0,9.3,17582288.0,
2020-03-31,9.31,9.69,9.31,9.52,18594357.0,
2020-04-01,9.6,9.78,9.56,9.66,15819442.0,
2020-04-02,9.65,9.75,9.44,9.46,14606078.0,
2020-04-03,9.6,9.85,9.5,9.76,17899949.0,
2020-04-06,9.79,10.5,9.66,10.3,50882519.0,
2020-04-07,10.7,10.8,10.52,10.62,66254204.0,
2020-04-08,10.62,10.68,10.44,10.56,25882762.0,
2020-04-13,10.58,11.1,10.58,10.88,39307264.0,
2020-04-14,10.88,11.7,10.88,11.6,71243582.0,
2020-04-15,11.7,11.7,11.52,11.52,47234836.0,
2020-04-16,11.6,11.6,11.0,11.06,54640558.0,
2020-04-17,11.2,11.48,11.06,11.08,65111250.0,
2020-04-20,11.16,11.4,10.88,11.08,32780634.0,
2020-04-21,11.08,11.12,10.84,10.88,26789824.0,
2020-04-22,10.84,10.86,10.5,10.8,43955548.0,
2020-04-23,10.86,11.08,10.84,10.86,26306546.0,
2020-04-24,10.9,10.94,10.7,10.7,15382756.0,
2020-04-27,10.7,10.7,10.48,10.56,14601418.0,
2020-04-28,10.86,10.86,10.64,10.72,6772394.0,
2020-04-29,10.9,11.02,10.82,10.88,35770410.0,
2020-04-30,10.9,11.04,10.64,10.64,60886890.0,
2020-05-04,10.6,10.6,10.44,10.46,29615876.0,
2020-05-05,11.24,11.84,11.08,11.72,310622516.0,
2020-05-06,11.92,12.3,11.76,11.96,293421772.0,
2020-05-07,12.0,12.18,11.6,11.7,118556498.0,
2020-05-08,11.96,12.78,11.74,12.7,203710222.0,
2020-05-11,12.7,13.1,12.5,12.5,124388050.0,
2020-05-12,12.66,12.76,12.5,12.5,32168486.0,
2020-05-13,12.64,12.8,12.5,12.5,29717988.0,
2020-05-14,12.4,12.4,11.9,11.96,53903984.0,
2020-05-15,12.0,12.3,11.96,11.98,18814852.0,
2020-05-18,11.98,11.98,11.64,11.8,13737136.0,
2020-05-19,11.98,12.26,11.92,11.92,12951204.0,
2020-05-20,11.94,11.94,11.74,11.82,7796044.0,
2020-05-21,11.9,11.9,11.7,11.72,15258050.0,
2020-05-22,11.74,11.78,11.58,11.62,23963510.0,
2020-05-26,11.72,11.82,11.04,11.2,29446210.0,
2020-05-27,11.3,11.5,11.2,11.48,10620746.0,
2020-05-28,11.5,11.86,11.5,11.84,13118278.0,
2020-05-29,11.96,11.96,11.22,11.22,57857428.0,
2020-06-01,11.5,11.94,11.5,11.9,20347600.0,
2020-06-02,11.94,11.94,11.68,11.8,37907918.0,
2020-06-03,11.88,12.26,11.88,12.18,60717624.0,
2020-06-04,12.3,12.46,12.14,12.22,54786288.0,
2020-06-05,12.38,12.62,12.22,12.54,93869200.0,
2020-06-08,12.68,12.9,12.64,12.88,69542292.0,
2020-06-09,12.9,12.94,12.4,12.5,39445404.0,
2020-06-10,12.52,12.68,12.22,12.34,44623658.0,
2020-06-11,12.3,12.5,12.08,12.4,18084440.0,
2020-06-15,12.2,12.3,11.88,11.96,66133720.0,
2020-06-16,12.2,12.64,12.2,12.64,72333502.0,
2020-06-17,12.7,12.78,12.56,12.6,25289038.0,
2020-06-18,12.6,12.7,12.2,12.36,14846056.0,
2020-06-19,12.36,12.7,12.24,12.24,48956424.0,
2020-06-22,12.2,12.48,12.2,12.24,25847698.0,
2020-06-23,12.26,12.4,12.26,12.26,29640932.0,
2020-06-24,12.3,12.66,12.3,12.32,24433422.0,
2020-06-25,12.32,12.32,11.8,12.06,56367898.0,
2020-06-26,12.0,12.24,12.0,12.14,11274408.0,
2020-06-29,12.14,12.58,11.84,12.52,59144558.0,
2020-06-30,12.52,13.16,12.5,12.6,207829922.0,
2020-07-01,12.88,12.88,12.52,12.74,27853472.0,
2020-07-02,12.8,13.3,12.6,13.28,150215146.0,
2020-07-03,13.4,13.76,13.4,13.64,190777856.0,
2020-07-06,13.66,14.82,13.66,14.82,235005586.0,
2020-07-07,14.8,14.8,14.12,14.36,103658414.0,
2020-07-08,14.18,14.24,13.66,13.7,69237410.0,
2020-07-09,13.82,14.2,13.64,13.86,46315886.0,
2020-07-10,13.86,14.1,13.7,14.08,27317234.0,
2020-07-13,14.0,14.48,13.9,14.3,52623392.0,
2020-07-14,14.38,14.38,13.66,13.7,48577048.0,
2020-07-15,13.62,13.64,13.0,13.16,77134170.0,
2020-07-16,13.16,13.38,13.1,13.32,45988176.0,
2020-07-17,13.4,13.5,13.0,13.2,20195702.0,
