dt,open,high,low,close,value,volume
2020-03-02,12.5,12.5,12.14,12.28,25061448.0,
2020-03-03,12.5,13.0,12.06,12.5,7093562.0,
2020-03-04,12.3,12.5,12.02,12.14,17205622.0,
2020-03-05,12.14,12.4,11.72,11.9,16356066.0,
2020-03-06,11.9,12.0,11.7,11.8,37479196.0,
2020-03-09,11.6,11.8,11.0,11.8,16819418.0,
2020-03-10,11.1,11.94,11.08,11.94,7952076.0,
2020-03-11,11.94,12.0,11.38,11.8,11016150.0,
2020-03-12,11.52,11.52,11.0,11.5,6556240.0,
2020-03-13,11.02,11.18,10.52,10.8,10880704.0,
2020-03-16,10.52,10.7,10.04,10.7,3863594.0,
2020-03-19,10.8,10.8,7.2,7.2,7099539.0,
2020-03-20,7.7,7.9,6.56,6.82,6158599.0,
2020-03-23,6.82,6.82,6.1,6.33,1511030.0,
2020-03-24,6.33,6.5,6.31,6.31,2369975.0,
2020-03-25,6.41,6.84,6.33,6.33,2250626.0,
2020-03-26,6.57,6.82,6.33,6.42,7273695.0,
2020-03-27,6.69,6.89,5.35,5.84,14438652.0,
2020-03-30,5.97,6.4,5.64,6.19,7760147.0,
2020-03-31,6.5,6.59,6.3,6.3,12815041.0,
2020-04-01,6.4,6.42,6.2,6.27,8647264.0,
2020-04-02,6.38,6.38,6.02,6.19,2554381.0,
2020-04-03,6.11,6.15,6.09,6.1,6214833.0,
2020-04-06,6.11,6.35,6.09,6.27,3356383.0,
2020-04-07,6.35,6.45,6.15,6.26,12829303.0,
2020-04-08,6.37,6.37,6.15,6.3,5376684.0,
2020-04-13,6.37,6.96,6.34,6.6,14990036.0,
2020-04-14,6.81,7.51,6.81,7.3,16748281.0,
2020-04-15,7.9,8.18,7.52,7.8,29690203.0,
2020-04-16,7.8,7.8,7.28,7.66,11541454.0,
2020-04-17,7.66,8.25,7.66,8.0,10222495.0,
2020-04-20,7.9,7.94,7.68,7.68,13185794.0,
2020-04-21,7.5,7.5,7.1,7.17,15943218.0,
2020-04-22,7.0,7.0,6.75,6.81,11837099.0,
2020-04-23,6.96,7.16,6.88,6.98,5549423.0,
2020-04-24,7.2,7.2,6.55,6.65,12533703.0,
2020-04-27,6.7,6.7,6.15,6.2,10773463.0,
2020-04-28,6.46,6.79,6.31,6.44,30833484.0,
2020-04-29,6.6,6.6,6.39,6.39,12096262.0,
2020-04-30,6.64,6.71,6.5,6.55,13793373.0,
2020-05-04,6.5,6.5,6.21,6.21,14709284.0,
2020-05-05,6.3,6.3,6.16,6.19,16600684.0,
2020-05-06,6.24,6.3,6.14,6.15,8335703.0,
2020-05-07,6.15,6.15,5.85,6.0,11008047.0,
2020-05-08,6.17,6.17,5.92,5.92,7052834.0,
2020-05-11,6.21,6.77,6.1,6.38,67605350.0,
2020-05-12,6.61,6.65,6.39,6.39,23058087.0,
2020-05-13,6.25,6.3,6.0,6.03,27450925.0,
2020-05-14,6.0,6.0,5.75,5.8,28466081.0,
2020-05-15,5.83,5.85,5.58,5.65,20199249.0,
2020-05-18,5.66,5.66,4.9,5.06,45644246.0,
2020-05-19,5.1,5.2,4.9,5.2,48045867.0,
2020-05-20,5.41,5.7,5.05,5.1,92490387.0,
2020-05-21,5.21,5.3,5.05,5.1,18330246.0,
2020-05-22,5.15,5.2,5.05,5.05,10733801.0,
2020-05-26,5.06,5.06,4.6,4.7,31710809.0,
2020-05-27,4.79,4.8,4.54,4.63,12888790.0,
2020-05-28,4.79,5.09,4.66,5.0,34661140.0,
2020-05-29,5.05,5.1,4.75,4.75,69127693.0,
2020-06-01,4.89,5.18,4.88,5.18,34164240.0,
2020-06-02,5.3,5.69,5.24,5.69,60766247.0,
2020-06-03,5.76,6.41,5.76,6.38,102394465.0,
2020-06-04,6.5,6.7,6.05,6.45,111499683.0,
2020-06-05,6.4,7.05,6.06,7.0,106539225.0,
2020-06-08,7.2,7.8,7.2,7.8,109382437.0,
2020-06-09,7.99,8.36,7.5,7.9,157594801.0,
2020-06-10,7.9,7.9,7.31,7.37,100299539.0,
2020-06-11,7.21,7.78,6.9,7.61,89382869.0,
2020-06-15,7.19,7.55,6.99,7.34,58801362.0,
2020-06-16,7.4,7.65,7.2,7.35,39384539.0,
2020-06-17,7.48,7.51,7.2,7.26,24467419.0,
2020-06-18,7.26,7.26,7.0,7.06,30029810.0,
2020-06-19,7.0,7.2,6.8,7.13,21774691.0,
2020-06-22,7.14,7.18,6.9,6.93,22809248.0,
2020-06-23,6.96,7.0,6.7,6.75,34921935.0,
2020-06-24,6.7,7.78,6.55,7.71,114552768.0,
2020-06-25,7.59,7.6,7.2,7.3,63116441.0,
2020-06-26,7.16,7.58,7.0,7.17,36536511.0,
2020-06-29,7.0,7.06,6.8,7.06,41068114.0,
2020-06-30,7.17,7.44,7.15,7.25,35578594.0,
2020-07-01,7.34,7.5,7.13,7.33,22225993.0,
2020-07-02,7.38,7.5,7.05,7.5,30134175.0,
2020-07-03,7.6,7.75,7.3,7.3,46237306.0,
2020-07-06,7.3,7.6,7.16,7.35,30948386.0,
2020-07-07,7.44,7.6,7.35,7.45,39717204.0,
2020-07-08,7.5,7.64,7.0,7.0,47188925.0,
2020-07-09,7.15,7.38,7.06,7.3,31561765.0,
2020-07-10,7.21,7.4,7.05,7.35,36383074.0,
2020-07-13,7.47,7.48,7.25,7.34,12666553.0,
2020-07-14,7.34,7.35,6.88,7.07,25009483.0,
2020-07-15,7.07,7.21,6.85,7.2,19247633.0,
2020-07-16,7.19,7.45,7.02,7.27,17049472.0,
2020-07-17,7.27,7.27,7.04,7.24,8648126.0,
2020-07-20,8.0,8.1,7.43,7.5,194585667.0,
2020-07-21,7.59,7.59,7.3,7.37,24229202.0,
2020-07-22,7.4,7.43,7.11,7.27,15156471.0,
2020-07-23,7.19,7.26,6.7,7.0,44684668.0,
2020-07-24,6.9,7.17,6.8,7.0,7674410.0,
2020-07-27,7.0,7.1,6.86,6.94,11088595.0,
2020-07-28,7.06,7.06,6.7,6.73,11604192.0,
2020-07-29,6.64,6.85,6.52,6.7,8695087.0,
2020-07-30,6.71,6.83,6.6,6.83,7440339.0,
2020-08-03,6.5,6.62,6.12,6.6,17005910.0,
2020-08-04,,,,6.65,,661200.0
2020-08-05,,,,6.67,,1246100.0
2020-08-06,,,,6.5,,1426600.0
2020-08-07,,,,6.38,,1467100.0
2020-08-10,,,,6.15,,3334300.0
2020-08-11,,,,6.45,,2010600.0
2020-08-12,,,,6.47,,1470100.0
2020-08-13,,,,6.45,,972400.0
2020-08-14,,,,6.44,,734200.0
2020-08-17,,,,6.3,,1041300.0
2020-08-18,,,,6.43,,1657700.0
2020-08-19,,,,6.58,,1355100.0
2020-08-20,,,,6.41,,1610500.0
2020-08-24,,,,6.3,,1105600.0
2020-08-25,,,,6.33,,934200.0
2020-08-26,,,,6.53,,1317300.0
2020-08-27,,,,6.46,,530600.0
2020-08-28,,,,6.35,,535200.0
2020-09-01,,,,6.89,,3818800.0
2020-09-02,,,,6.72,,2023300.0
2020-09-03,,,,6.95,,2609100.0
2020-09-04,,,,7.16,,2427800.0
2020-09-07,,,,7.35,,1807100.0
2020-09-08,,,,7.29,,2316000.0
2020-09-09,,,,7.07,,3731200.0
2020-09-10,,,,7.24,,1810200.0
2020-09-11,,,,7.09,,1664900.0
2020-09-14,,,,7.42,,2600800.0
2020-09-15,,,,7.4,,2825900.0
2020-09-16,,,,7.21,,744900.0
2020-09-17,,,,7.3,,768300.0
2020-09-18,,,,7.2,,745600.0
2020-09-21,,,,7.5,,7519400.0
2020-09-22,,,,7.7,,6256400.0
2020-09-23,,,,7.48,,3178200.0
2020-09-24,,,,7.33,,1688800.0
2020-09-25,,,,7.43,,822900.0
2020-09-28,,,,7.17,,2440000.0
