dt,open,high,low,close,value,volume
2020-03-02,0.92,0.93,0.9,0.93,477070.0,
2020-03-03,0.98,0.98,0.93,0.93,11700.0,
2020-03-04,,,,,,
2020-03-05,0.93,0.95,0.93,0.95,24200.0,
2020-03-06,0.95,0.97,0.95,0.97,4830.0,
2020-03-09,0.95,0.95,0.84,0.84,1560090.0,
2020-03-10,0.85,0.89,0.84,0.87,68640.0,
2020-03-11,0.87,0.87,0.85,0.85,13850.0,
2020-03-12,0.85,0.85,0.8,0.8,1200900.0,
2020-03-13,0.8,0.86,0.8,0.83,87410.0,
2020-03-16,0.83,0.85,0.83,0.85,1680.0,
2020-03-19,0.89,0.89,0.77,0.78,230580.0,
2020-03-20,0.79,0.79,0.77,0.78,87690.0,
2020-03-23,0.77,0.78,0.77,0.78,119090.0,
2020-03-24,0.76,0.87,0.76,0.86,15134860.0,
2020-03-25,0.86,0.89,0.83,0.85,363870.0,
2020-03-26,0.85,0.9,0.84,0.86,27550.0,
2020-03-27,0.91,0.91,0.85,0.85,89100.0,
2020-03-30,0.82,0.86,0.82,0.86,52050.0,
2020-03-31,0.87,0.96,0.87,0.9,153320.0,
2020-04-01,0.9,0.9,0.86,0.86,8820.0,
2020-04-02,0.89,0.89,0.87,0.87,8840.0,
2020-04-03,0.86,0.94,0.86,0.9,58840.0,
2020-04-06,0.9,0.98,0.89,0.9,1185030.0,
2020-04-07,0.9,0.94,0.9,0.91,130990.0,
2020-04-08,0.91,0.93,0.9,0.91,144700.0,
2020-04-13,0.91,0.95,0.91,0.91,172360.0,
2020-04-14,0.95,0.97,0.92,0.94,89170.0,
2020-04-15,0.98,1.0,0.95,0.95,56060.0,
2020-04-16,0.99,0.99,0.94,0.95,119830.0,
2020-04-17,0.95,0.99,0.95,0.95,4790.0,
2020-04-20,0.95,0.99,0.95,0.95,108700.0,
2020-04-21,0.96,0.99,0.95,0.95,95240.0,
2020-04-22,0.95,0.98,0.89,0.95,15180.0,
2020-04-23,0.95,0.96,0.9,0.96,2810.0,
2020-04-24,0.89,0.96,0.89,0.96,11400.0,
2020-04-27,0.91,0.96,0.91,0.96,1870.0,
2020-04-28,0.96,0.96,0.91,0.91,12880.0,
2020-04-29,0.96,0.96,0.91,0.91,1870.0,
2020-04-30,0.96,0.96,0.91,0.91,144460.0,
2020-05-04,0.92,1.06,0.92,0.95,169370.0,
2020-05-05,0.95,1.05,0.95,1.0,136770.0,
2020-05-06,0.98,1.06,0.97,1.0,219680.0,
2020-05-07,1.05,1.05,0.98,0.98,47380.0,
2020-05-08,0.98,1.06,0.98,0.99,160830.0,
2020-05-11,0.99,1.05,0.99,1.0,30690.0,
2020-05-12,1.0,1.03,1.0,1.0,112300.0,
2020-05-13,1.03,1.05,1.0,1.0,102910.0,
2020-05-14,1.05,1.05,0.99,0.99,32040.0,
2020-05-15,1.03,1.05,0.97,0.99,816970.0,
2020-05-18,0.97,1.04,0.97,0.98,141900.0,
2020-05-19,0.98,1.05,0.98,1.0,16460.0,
2020-05-20,1.0,1.03,1.0,1.0,24110.0,
2020-05-21,1.0,1.03,1.0,1.0,58330.0,
2020-05-22,1.02,1.02,1.0,1.01,17040.0,
2020-05-26,1.01,1.03,0.99,1.0,86770.0,
2020-05-27,1.02,1.03,0.99,1.0,168920.0,
2020-05-28,1.0,1.02,0.99,1.0,197450.0,
2020-05-29,0.98,1.01,0.98,1.0,49000.0,
2020-06-01,1.0,1.05,0.99,1.0,69850.0,
2020-06-02,1.03,1.03,1.0,1.0,2030.0,
2020-06-03,1.0,1.02,1.0,1.0,52200.0,
2020-06-04,1.0,1.03,1.0,1.0,65130.0,
2020-06-05,1.0,1.05,1.0,1.02,23760.0,
2020-06-08,1.03,1.05,1.01,1.05,2981580.0,
2020-06-09,1.05,1.07,1.03,1.07,225540.0,
2020-06-10,1.05,1.07,1.05,1.07,23520.0,
2020-06-11,1.06,1.08,1.05,1.05,67190.0,
2020-06-15,1.05,1.37,1.05,1.2,56749100.0,
2020-06-16,1.21,1.26,1.16,1.21,30588570.0,
2020-06-17,1.2,1.43,1.19,1.3,37296860.0,
2020-06-18,1.32,1.32,1.22,1.25,1078190.0,
2020-06-19,1.2,1.31,1.2,1.27,595330.0,
2020-06-22,1.25,1.29,1.21,1.24,366390.0,
2020-06-23,1.24,1.35,1.23,1.28,703210.0,
2020-06-24,1.29,1.35,1.26,1.33,387000.0,
2020-06-25,1.32,1.35,1.3,1.32,477770.0,
2020-06-26,1.31,1.48,1.31,1.37,5081530.0,
2020-06-29,1.39,1.48,1.36,1.44,1868340.0,
2020-06-30,1.46,1.52,1.43,1.5,3298430.0,
2020-07-01,1.5,1.52,1.39,1.43,1173120.0,
2020-07-02,1.45,1.47,1.36,1.37,1004880.0,
2020-07-03,1.37,1.4,1.3,1.3,1439250.0,
2020-07-06,1.35,1.35,1.28,1.29,504210.0,
2020-07-07,1.3,1.4,1.3,1.31,632650.0,
2020-07-08,1.36,1.36,1.29,1.33,426380.0,
2020-07-09,1.3,1.38,1.3,1.32,901580.0,
2020-07-10,1.35,1.45,1.32,1.38,797230.0,
2020-07-13,1.37,1.45,1.37,1.39,1103190.0,
2020-07-14,1.36,1.42,1.33,1.41,593870.0,
2020-07-15,1.35,1.41,1.34,1.39,680920.0,
2020-07-16,1.39,1.39,1.3,1.33,232140.0,
2020-07-17,1.26,1.37,1.2,1.25,647570.0,
2020-07-20,1.25,1.25,1.14,1.19,380220.0,
2020-07-21,1.2,1.29,1.17,1.22,553320.0,
