dt,open,high,low,close,value,volume
2020-03-02,2.18,2.21,2.06,2.18,40640840.0,
2020-03-03,2.21,2.26,2.1,2.1,28288710.0,
2020-03-04,2.14,2.14,2.08,2.08,23040780.0,
2020-03-05,2.14,2.18,2.08,2.11,18292860.0,
2020-03-06,2.14,2.14,2.06,2.07,8535940.0,
2020-03-09,2.07,2.07,1.93,1.94,21512830.0,
2020-03-10,1.9,2.09,1.89,2.09,12312960.0,
2020-03-11,2.16,2.16,2.0,2.0,2174280.0,
2020-03-12,1.99,2.0,1.68,1.8,19080060.0,
2020-03-13,1.67,1.95,1.45,1.86,9793000.0,
2020-03-16,1.74,1.8,1.62,1.8,2931220.0,
2020-03-19,1.6,1.61,1.5,1.55,3541320.0,
2020-03-20,1.55,1.6,1.47,1.57,3957100.0,
2020-03-23,1.57,1.57,1.49,1.5,3901350.0,
2020-03-24,1.49,1.5,1.4,1.46,7294830.0,
2020-03-25,1.53,1.55,1.49,1.5,5204730.0,
2020-03-26,1.55,1.79,1.53,1.63,9137390.0,
2020-03-27,1.67,1.79,1.55,1.56,13719780.0,
2020-03-30,1.56,1.6,1.48,1.51,8409140.0,
2020-03-31,1.5,1.61,1.5,1.55,16474040.0,
2020-04-01,1.53,1.56,1.52,1.54,3931670.0,
2020-04-02,1.52,1.62,1.51,1.55,6988370.0,
2020-04-03,1.58,1.58,1.53,1.53,5463960.0,
2020-04-06,1.57,1.62,1.54,1.56,6614640.0,
2020-04-07,1.64,1.69,1.58,1.59,11584350.0,
2020-04-08,1.6,1.67,1.57,1.62,10529020.0,
2020-04-13,1.64,1.67,1.64,1.66,11326310.0,
2020-04-14,1.69,1.73,1.67,1.7,22041690.0,
2020-04-15,1.75,1.84,1.73,1.81,29586650.0,
2020-04-16,1.84,1.84,1.7,1.74,17493840.0,
2020-04-17,1.75,1.76,1.68,1.69,16382830.0,
2020-04-20,1.72,1.74,1.69,1.71,11617680.0,
2020-04-21,1.73,1.73,1.65,1.68,16237950.0,
2020-04-22,1.65,1.66,1.58,1.63,7946540.0,
2020-04-23,1.65,1.67,1.61,1.61,9662360.0,
2020-04-24,1.63,1.69,1.6,1.62,13122180.0,
2020-04-27,1.66,1.73,1.63,1.73,39062410.0,
2020-04-28,1.8,1.81,1.66,1.66,28458100.0,
2020-04-29,1.7,1.72,1.68,1.68,11366280.0,
2020-04-30,1.72,1.74,1.67,1.7,14165400.0,
2020-05-04,1.66,1.67,1.54,1.6,20626970.0,
2020-05-05,1.62,1.62,1.57,1.59,12550510.0,
2020-05-06,1.62,1.62,1.54,1.56,11665780.0,
2020-05-07,1.58,1.6,1.51,1.54,14495420.0,
2020-05-08,1.55,1.57,1.52,1.54,7788610.0,
2020-05-11,1.55,1.62,1.54,1.58,15815430.0,
2020-05-12,1.58,1.62,1.57,1.6,10222650.0,
2020-05-13,1.61,1.61,1.55,1.6,8516680.0,
2020-05-14,1.57,1.6,1.54,1.57,4095740.0,
2020-05-15,1.57,1.58,1.52,1.52,9481460.0,
2020-05-18,1.53,1.54,1.45,1.47,13259160.0,
2020-05-19,1.49,1.54,1.49,1.51,10078370.0,
2020-05-20,1.53,1.6,1.51,1.59,17270380.0,
2020-05-21,1.62,1.64,1.57,1.58,9497230.0,
2020-05-22,1.59,1.59,1.54,1.54,6534290.0,
2020-05-26,1.56,1.56,1.45,1.46,15617030.0,
2020-05-27,1.47,1.5,1.47,1.49,3045250.0,
2020-05-28,1.49,1.53,1.48,1.51,7077660.0,
2020-05-29,1.51,1.54,1.48,1.52,8765640.0,
2020-06-01,1.55,1.57,1.51,1.57,6503080.0,
2020-06-02,1.57,1.58,1.53,1.56,7967640.0,
2020-06-03,1.58,1.66,1.57,1.63,23352530.0,
2020-06-04,1.66,1.71,1.66,1.71,22374120.0,
2020-06-05,1.74,1.82,1.69,1.79,28516390.0,
2020-06-08,1.85,2.04,1.82,2.03,53357340.0,
2020-06-09,2.08,2.21,2.02,2.09,73256930.0,
2020-06-10,2.04,2.05,1.94,1.98,40034510.0,
2020-06-11,1.94,1.96,1.89,1.95,15554440.0,
2020-06-15,1.88,1.89,1.81,1.83,19046660.0,
2020-06-16,1.85,1.96,1.85,1.96,21660310.0,
2020-06-17,2.0,2.02,1.9,1.9,31313050.0,
2020-06-18,1.9,1.93,1.84,1.88,11283750.0,
2020-06-19,1.9,1.97,1.81,1.81,52947990.0,
2020-06-22,1.82,1.89,1.74,1.8,18881640.0,
2020-06-23,1.8,1.85,1.73,1.81,18024820.0,
2020-06-24,1.83,1.95,1.83,1.94,37528650.0,
2020-06-25,1.91,1.91,1.8,1.82,29164630.0,
2020-06-26,1.82,1.87,1.78,1.81,14470590.0,
2020-06-29,1.82,1.83,1.72,1.77,13756660.0,
2020-06-30,1.8,1.83,1.77,1.81,7216310.0,
2020-07-01,1.84,1.84,1.79,1.82,6039510.0,
2020-07-02,1.82,1.84,1.78,1.83,8630260.0,
2020-07-03,1.84,2.02,1.84,2.0,63861080.0,
2020-07-06,2.07,2.16,2.02,2.13,64463000.0,
2020-07-07,2.2,2.31,2.12,2.16,112135790.0,
2020-07-08,2.18,2.21,2.05,2.1,40723230.0,
2020-07-09,2.13,2.17,2.09,2.17,33017750.0,
2020-07-10,2.04,2.1,2.04,2.07,15177930.0,
2020-07-13,2.12,2.18,2.1,2.18,18031180.0,
2020-07-14,2.2,2.2,2.04,2.05,27357300.0,
2020-07-15,2.09,2.11,1.93,2.02,26770620.0,
2020-07-16,2.02,2.07,2.02,2.06,11584770.0,
2020-07-17,2.07,2.1,1.96,2.04,11970420.0,
2020-07-20,2.04,2.14,2.04,2.13,21635700.0,
2020-07-21,2.13,2.13,2.07,2.1,10672840.0,
2020-07-22,2.12,2.28,2.12,2.24,68765740.0,
2020-07-23,2.2,2.2,2.06,2.15,43694220.0,
2020-07-24,2.25,2.35,2.23,2.25,86611350.0,
2020-07-27,2.3,2.44,2.25,2.43,83846770.0,
2020-07-28,2.45,2.66,2.44,2.57,121363160.0,
2020-07-29,2.54,2.54,2.38,2.42,54769030.0,
2020-07-30,2.51,2.61,2.44,2.59,43006830.0,
2020-08-03,2.4,2.58,2.4,2.53,30549710.0,
2020-08-04,,,,2.7,,21176000.0
2020-08-05,,,,2.78,,25116000.0
2020-08-06,,,,2.68,,28341000.0
2020-08-07,,,,2.82,,23641000.0
2020-08-10,,,,3.03,,50229000.0
2020-08-11,,,,3.06,,17088000.0
2020-08-12,,,,3.02,,16659000.0
2020-08-13,,,,3.04,,9380000.0
2020-08-14,,,,3.25,,22358000.0
2020-08-17,,,,3.22,,26482000.0
2020-08-18,,,,3.13,,31014000.0
2020-08-19,,,,3.03,,12312000.0
2020-08-20,,,,2.93,,25047000.0
2020-08-24,,,,3.07,,12356000.0
2020-08-25,,,,3.07,,6990000.0
2020-08-26,,,,3.05,,6592000.0
2020-08-27,,,,3.26,,25218000.0
2020-08-28,,,,3.26,,17879000.0
2020-09-01,,,,3.36,,17219000.0
2020-09-02,,,,3.3,,7825000.0
2020-09-03,,,,3.27,,8963000.0
2020-09-04,,,,3.15,,15084000.0
2020-09-07,,,,3.22,,9595000.0
2020-09-08,,,,3.14,,9019000.0
2020-09-09,,,,3.06,,18504000.0
2020-09-10,,,,3.08,,5993000.0
2020-09-11,,,,3.07,,5232000.0
2020-09-14,,,,3.11,,7017000.0
2020-09-15,,,,3.09,,9763000.0
2020-09-16,,,,3.13,,3726000.0
2020-09-17,,,,3.07,,4916000.0
2020-09-18,,,,3.08,,2490000.0
2020-09-21,,,,3.05,,7261000.0
2020-09-22,,,,3.13,,12605000.0
2020-09-23,,,,3.1,,4718000.0
2020-09-24,,,,3.0,,7971000.0
2020-09-25,,,,3.01,,2182000.0
2020-09-28,,,,2.99,,4062000.0
