dt,open,high,low,close,value,volume
2020-03-02,1.91,1.98,1.91,1.92,1482290.0,
2020-03-03,1.93,2.01,1.93,1.97,3161160.0,
2020-03-04,2.0,2.0,1.93,1.96,2037270.0,
2020-03-05,2.0,2.01,1.96,1.96,978320.0,
2020-03-06,1.96,1.96,1.92,1.92,1451620.0,
2020-03-09,1.9,1.9,1.53,1.6,7685500.0,
2020-03-10,1.54,1.54,1.42,1.49,3428880.0,
2020-03-11,1.54,1.68,1.5,1.52,2464150.0,
2020-03-12,1.5,1.5,1.22,1.24,4109670.0,
2020-03-13,1.16,1.38,1.0,1.36,4543580.0,
2020-03-16,1.28,1.33,1.2,1.25,2015020.0,
2020-03-19,1.18,1.18,1.06,1.1,1703520.0,
2020-03-20,1.11,1.21,1.11,1.13,1614600.0,
2020-03-23,1.14,1.15,1.09,1.12,461370.0,
2020-03-24,1.2,1.25,1.15,1.18,1529890.0,
2020-03-25,1.18,1.34,1.18,1.28,4799180.0,
2020-03-26,1.35,1.38,1.31,1.35,4698350.0,
2020-03-27,1.44,1.45,1.34,1.39,3734410.0,
2020-03-30,1.32,1.35,1.3,1.33,1308740.0,
2020-03-31,1.36,1.42,1.36,1.41,1877810.0,
2020-04-01,1.41,1.62,1.41,1.54,5947540.0,
2020-04-02,1.54,1.54,1.46,1.51,2502550.0,
2020-04-03,1.51,1.61,1.51,1.56,3785580.0,
2020-04-06,1.61,1.65,1.58,1.6,2006370.0,
2020-04-07,1.65,1.72,1.62,1.62,5885100.0,
2020-04-08,1.6,1.66,1.57,1.6,2228130.0,
2020-04-13,1.61,1.66,1.6,1.66,3282750.0,
2020-04-14,1.67,1.78,1.66,1.72,7441380.0,
2020-04-15,1.76,1.76,1.7,1.73,3578720.0,
2020-04-16,1.73,1.73,1.64,1.66,2370400.0,
2020-04-17,1.65,1.72,1.64,1.7,2042270.0,
2020-04-20,1.75,1.82,1.69,1.81,4710790.0,
2020-04-21,1.83,1.93,1.81,1.9,9301270.0,
2020-04-22,1.9,1.9,1.78,1.85,4568550.0,
2020-04-23,1.85,1.94,1.85,1.9,8375010.0,
2020-04-24,1.9,1.91,1.85,1.88,3082600.0,
2020-04-27,1.84,1.84,1.74,1.74,4775020.0,
2020-04-28,1.76,1.79,1.74,1.77,1711560.0,
2020-04-29,1.8,1.84,1.77,1.83,2342890.0,
2020-04-30,1.9,1.98,1.88,1.92,14850670.0,
2020-05-04,1.92,1.92,1.81,1.82,4184430.0,
2020-05-05,1.81,1.87,1.8,1.83,1096300.0,
2020-05-06,1.83,1.95,1.82,1.9,8898520.0,
2020-05-07,1.94,1.94,1.82,1.9,4239700.0,
2020-05-08,1.89,1.89,1.82,1.84,3359660.0,
2020-05-11,1.82,1.83,1.75,1.78,4715800.0,
2020-05-12,1.77,1.81,1.76,1.81,1420610.0,
2020-05-13,1.81,1.85,1.78,1.79,758030.0,
2020-05-14,1.79,1.8,1.74,1.78,954170.0,
2020-05-15,1.76,1.76,1.74,1.74,988270.0,
2020-05-18,1.74,1.75,1.7,1.71,2101810.0,
2020-05-19,1.72,1.77,1.72,1.73,887560.0,
2020-05-20,1.79,1.79,1.71,1.72,1007080.0,
2020-05-21,1.72,1.75,1.72,1.72,672350.0,
2020-05-22,1.72,1.74,1.68,1.7,2238280.0,
2020-05-26,1.71,1.71,1.6,1.61,3261890.0,
2020-05-27,1.62,1.63,1.61,1.62,951090.0,
2020-05-28,1.62,1.7,1.62,1.7,1245390.0,
2020-05-29,1.7,1.7,1.65,1.7,830450.0,
2020-06-01,1.74,1.74,1.68,1.7,3897360.0,
2020-06-02,1.72,1.75,1.72,1.74,1334890.0,
2020-06-03,1.75,1.79,1.73,1.78,3521520.0,
2020-06-04,1.79,1.84,1.76,1.79,6348740.0,
2020-06-05,1.81,1.84,1.77,1.84,5763330.0,
2020-06-08,1.95,2.47,1.95,2.4,99911830.0,
2020-06-09,2.5,2.5,2.19,2.28,29752440.0,
2020-06-10,2.31,2.31,2.1,2.1,21608840.0,
2020-06-11,2.02,2.18,2.02,2.1,17213610.0,
2020-06-15,2.0,2.07,1.94,1.97,11334680.0,
2020-06-16,1.98,2.17,1.98,2.09,12162570.0,
2020-06-17,2.09,2.23,2.03,2.15,18589560.0,
2020-06-18,2.2,2.22,2.1,2.11,8928100.0,
2020-06-19,2.1,2.1,2.04,2.1,18548950.0,
2020-06-22,2.09,2.1,2.02,2.02,7728130.0,
2020-06-23,2.02,2.37,1.98,2.25,43224890.0,
2020-06-24,2.3,2.31,2.1,2.12,21931510.0,
2020-06-25,2.06,2.17,2.04,2.05,13293810.0,
2020-06-26,2.06,2.15,2.04,2.06,8327590.0,
2020-06-29,2.07,2.08,2.03,2.08,16592260.0,
2020-06-30,2.15,2.29,2.12,2.17,41318400.0,
2020-07-01,2.2,2.24,2.12,2.18,8127570.0,
