dt,open,high,low,close,value,volume
2020-03-02,0.75,0.75,0.75,0.75,750.0,
2020-03-03,0.73,0.74,0.71,0.73,136830.0,
2020-03-04,0.71,0.74,0.71,0.72,46820.0,
2020-03-05,0.7,0.73,0.7,0.7,26900.0,
2020-03-06,0.7,0.7,0.7,0.7,2100.0,
2020-03-09,0.71,0.71,0.68,0.68,189620.0,
2020-03-10,0.67,0.7,0.67,0.68,57180.0,
2020-03-11,0.67,0.68,0.67,0.68,6050.0,
2020-03-12,0.65,0.65,0.6,0.6,148050.0,
2020-03-13,0.55,0.6,0.54,0.58,174270.0,
2020-03-16,0.57,0.57,0.57,0.57,24510.0,
2020-03-19,,,,,,
2020-03-20,,,,,,
2020-03-23,,,,,,
2020-03-24,0.57,0.68,0.57,0.68,19560.0,
2020-03-25,,,,,,
2020-03-26,0.67,0.67,0.67,0.67,2010.0,
2020-03-27,0.67,0.68,0.67,0.68,116620.0,
2020-03-30,,,,,,
2020-03-31,0.52,0.67,0.52,0.67,11740.0,
2020-04-01,0.67,0.67,0.61,0.67,304990.0,
2020-04-02,,,,,,
2020-04-03,0.68,0.69,0.68,0.69,84630.0,
2020-04-06,0.68,0.68,0.68,0.68,680.0,
2020-04-07,0.62,0.68,0.62,0.68,1980.0,
2020-04-08,0.63,0.68,0.63,0.68,30920.0,
2020-04-13,0.65,0.65,0.65,0.65,105300.0,
2020-04-14,0.63,0.66,0.61,0.61,12550.0,
2020-04-15,0.62,0.64,0.61,0.64,100330.0,
2020-04-16,0.68,0.68,0.61,0.61,12910.0,
2020-04-17,,,,,,
2020-04-20,0.67,0.67,0.61,0.61,32390.0,
2020-04-21,0.59,0.59,0.59,0.59,29500.0,
2020-04-22,0.67,0.67,0.65,0.65,74800.0,
2020-04-23,,,,,,
2020-04-24,0.65,0.65,0.65,0.65,6500.0,
2020-04-27,,,,,,
2020-04-28,,,,,,
2020-04-29,0.64,0.64,0.64,0.64,640.0,
2020-04-30,0.64,0.64,0.64,0.64,12800.0,
2020-05-04,0.64,0.64,0.62,0.62,3800.0,
2020-05-05,,,,,,
2020-05-06,0.62,0.62,0.62,0.62,620.0,
2020-05-07,0.59,0.6,0.59,0.6,14360.0,
2020-05-08,0.6,0.6,0.58,0.6,973510.0,
2020-05-11,0.58,0.6,0.58,0.6,83960.0,
2020-05-12,0.6,0.6,0.6,0.6,61200.0,
2020-05-13,0.6,0.64,0.6,0.64,301280.0,
2020-05-14,0.63,0.72,0.61,0.7,1078550.0,
2020-05-15,0.68,0.72,0.63,0.72,1919680.0,
2020-05-18,0.72,0.75,0.68,0.74,155930.0,
2020-05-19,0.74,0.81,0.63,0.68,2095430.0,
2020-05-20,0.63,0.67,0.63,0.66,302520.0,
2020-05-21,0.66,0.66,0.66,0.66,30360.0,
2020-05-22,0.66,0.66,0.6,0.64,233450.0,
2020-05-26,0.63,0.63,0.6,0.62,424640.0,
2020-05-27,0.63,0.64,0.6,0.64,58000.0,
2020-05-28,0.6,0.64,0.6,0.64,4840.0,
2020-05-29,0.61,0.64,0.6,0.63,40180.0,
2020-06-01,0.6,0.63,0.6,0.63,37830.0,
2020-06-02,0.64,0.64,0.64,0.64,2560.0,
2020-06-03,0.6,0.64,0.6,0.64,5440.0,
2020-06-04,0.62,0.65,0.61,0.64,93560.0,
2020-06-05,0.64,0.64,0.62,0.64,37000.0,
2020-06-08,0.62,0.64,0.62,0.64,183320.0,
2020-06-09,0.64,0.64,0.57,0.61,1367270.0,
2020-06-10,0.61,0.61,0.58,0.61,238860.0,
2020-06-11,0.6,0.61,0.58,0.59,198620.0,
2020-06-15,0.59,0.59,0.56,0.56,357090.0,
2020-06-16,0.56,0.58,0.56,0.57,687690.0,
2020-06-17,0.59,0.59,0.56,0.58,331240.0,
2020-06-18,0.58,0.59,0.56,0.59,93680.0,
2020-06-19,0.59,0.59,0.57,0.59,73120.0,
2020-06-22,0.59,0.59,0.56,0.59,161260.0,
2020-06-23,0.57,0.59,0.56,0.58,56130.0,
2020-06-24,0.55,0.57,0.55,0.57,292050.0,
2020-06-25,0.56,0.57,0.55,0.57,75570.0,
2020-06-26,0.55,0.55,0.54,0.55,75250.0,
2020-06-29,0.55,0.57,0.55,0.55,58280.0,
2020-06-30,0.56,0.56,0.55,0.56,136300.0,
2020-07-01,0.59,0.59,0.56,0.58,256380.0,
2020-07-02,0.59,0.59,0.58,0.58,51070.0,
2020-07-03,0.59,0.59,0.57,0.59,107420.0,
2020-07-06,0.59,0.59,0.56,0.59,25810.0,
2020-07-07,0.59,0.59,0.58,0.58,64410.0,
2020-07-08,0.59,0.59,0.57,0.57,229360.0,
2020-07-09,0.59,0.59,0.57,0.58,16790.0,
2020-07-10,0.59,0.59,0.57,0.58,108930.0,
2020-07-13,0.59,0.59,0.57,0.58,11560.0,
2020-07-14,0.59,0.59,0.57,0.59,47660.0,
2020-07-15,0.59,0.63,0.59,0.61,1233860.0,
2020-07-16,0.61,0.62,0.59,0.61,45750.0,
2020-07-17,0.59,0.6,0.58,0.59,135070.0,
2020-07-20,0.61,0.61,0.59,0.6,78360.0,
2020-07-21,0.62,0.62,0.6,0.6,20460.0,
2020-07-22,0.61,0.62,0.6,0.61,11590.0,
2020-07-23,0.61,0.61,0.6,0.6,1810.0,
2020-07-24,0.61,0.61,0.58,0.6,278360.0,
2020-07-27,0.6,0.6,0.58,0.6,36050.0,
2020-07-28,0.6,0.6,0.59,0.59,2980.0,
2020-07-29,0.61,0.61,0.6,0.6,1210.0,
2020-07-30,0.6,0.61,0.6,0.61,15610.0,
2020-08-03,0.61,0.61,0.58,0.6,11240.0,
2020-08-04,,,,0.63,,44000.0
2020-08-05,,,,0.6,,53000.0
2020-08-06,,,,0.62,,472000.0
2020-08-07,,,,0.63,,325000.0
2020-08-10,,,,0.64,,190654000.0
2020-08-11,,,,0.65,,857000.0
2020-08-12,,,,0.64,,121000.0
2020-08-13,,,,0.64,,200000.0
2020-08-14,,,,0.65,,138000.0
2020-08-17,,,,0.65,,516000.0
2020-08-18,,,,0.64,,236000.0
2020-08-19,,,,0.64,,93000.0
2020-08-20,,,,0.64,,88000.0
2020-08-24,,,,0.63,,4000.0
2020-08-25,,,,0.63,,342000.0
2020-08-26,,,,0.62,,65000.0
2020-08-27,,,,0.62,,153000.0
2020-08-28,,,,0.6,,2164000.0
2020-09-01,,,,0.61,,22000.0
2020-09-02,,,,0.61,,638000.0
2020-09-03,,,,0.59,,171000.0
2020-09-04,,,,0.6,,94000.0
2020-09-07,,,,0.6,,128000.0
2020-09-08,,,,0.61,,91000.0
2020-09-09,,,,0.61,,4000.0
2020-09-10,,,,0.61,,31000.0
2020-09-11,,,,0.61,,11000.0
2020-09-14,,,,0.63,,139000.0
2020-09-15,,,,0.62,,14000.0
2020-09-16,,,,0.61,,33000.0
2020-09-17,,,,0.62,,12000.0
2020-09-18,,,,0.62,,50000.0
2020-09-21,,,,0.62,,11000.0
2020-09-22,,,,0.62,,16000.0
2020-09-23,,,,0.61,,5000.0
2020-09-24,,,,0.6,,129000.0
2020-09-25,,,,0.62,,1000.0
2020-09-28,,,,0.62,,1000.0
