dt,open,high,low,close,value,volume
2020-03-02,,,,,,
2020-03-03,0.42,0.425,0.42,0.425,16850.0,
2020-03-04,,,,,,
2020-03-05,0.45,0.45,0.425,0.425,21700.0,
2020-03-06,0.45,0.45,0.45,0.45,22500.0,
2020-03-09,0.425,0.425,0.4,0.42,453500.0,
2020-03-10,0.43,0.43,0.43,0.43,43000.0,
2020-03-11,,,,,,
2020-03-12,,,,,,
2020-03-13,,,,,,
2020-03-16,,,,,,
2020-03-19,0.275,0.275,0.275,0.275,2750.0,
2020-03-20,,,,,,
2020-03-23,,,,,,
2020-03-24,,,,,,
2020-03-25,0.31,0.33,0.31,0.33,9600.0,
2020-03-26,0.35,0.39,0.35,0.39,22200.0,
2020-03-27,0.39,0.39,0.39,0.39,3900.0,
2020-03-30,,,,,,
2020-03-31,,,,,,
2020-04-01,,,,,,
2020-04-02,,,,,,
2020-04-03,,,,,,
2020-04-06,0.34,0.34,0.34,0.34,527000.0,
2020-04-07,,,,,,
2020-04-08,0.355,0.355,0.355,0.355,49700.0,
2020-04-13,,,,,,
2020-04-14,0.355,0.355,0.355,0.355,3550.0,
2020-04-15,,,,,,
2020-04-16,,,,,,
2020-04-17,0.35,0.35,0.35,0.35,21000.0,
2020-04-20,,,,,,
2020-04-21,,,,,,
2020-04-22,,,,,,
2020-04-23,,,,,,
2020-04-24,,,,,,
2020-04-27,0.39,0.39,0.39,0.39,15600.0,
2020-04-28,,,,,,
2020-04-29,0.395,0.4,0.395,0.4,15950.0,
2020-04-30,0.4,0.4,0.4,0.4,8000.0,
2020-05-04,,,,,,
2020-05-05,0.41,0.43,0.41,0.43,16800.0,
2020-05-06,,,,,,
2020-05-07,,,,,,
2020-05-08,0.4,0.4,0.4,0.4,8000.0,
2020-05-11,,,,,,
2020-05-12,,,,,,
2020-05-13,,,,,,
2020-05-14,,,,,,
2020-05-15,,,,,,
2020-05-18,,,,,,
2020-05-19,,,,,,
2020-05-20,,,,,,
2020-05-21,,,,,,
2020-05-22,0.38,0.38,0.38,0.38,3800.0,
2020-05-26,,,,,,
2020-05-27,,,,,,
2020-05-28,0.36,0.36,0.36,0.36,36000.0,
2020-05-29,,,,,,
2020-06-01,,,,,,
2020-06-02,0.355,0.37,0.33,0.36,326350.0,
2020-06-03,0.35,0.36,0.35,0.36,57000.0,
2020-06-04,,,,,,
2020-06-05,,,,,,
2020-06-08,0.35,0.365,0.35,0.365,102600.0,
2020-06-09,0.375,0.38,0.375,0.38,33900.0,
2020-06-10,0.375,0.38,0.375,0.38,75100.0,
2020-06-11,0.38,0.38,0.38,0.38,7600.0,
2020-06-15,0.35,0.35,0.35,0.35,10500.0,
2020-06-16,0.35,0.35,0.35,0.35,38500.0,
2020-06-17,0.35,0.35,0.35,0.35,3500.0,
2020-06-18,0.4,0.4,0.4,0.4,20000.0,
2020-06-19,0.38,0.4,0.38,0.385,335650.0,
2020-06-22,0.38,0.38,0.38,0.38,307800.0,
2020-06-23,0.38,0.38,0.38,0.38,38000.0,
2020-06-24,,,,,,
2020-06-25,,,,,,
2020-06-26,0.35,0.375,0.35,0.375,42300.0,
2020-06-29,,,,,,
2020-06-30,,,,,,
2020-07-01,0.35,0.35,0.35,0.35,17500.0,
2020-07-02,0.35,0.355,0.35,0.355,14100.0,
2020-07-03,0.36,0.36,0.36,0.36,7200.0,
2020-07-06,0.38,0.385,0.38,0.385,15350.0,
2020-07-07,0.36,0.36,0.35,0.35,88700.0,
2020-07-08,,,,,,
2020-07-09,0.35,0.37,0.35,0.37,24700.0,
2020-07-10,,,,,,
2020-07-13,0.36,0.36,0.36,0.36,3600.0,
2020-07-14,,,,,,
2020-07-15,,,,,,
2020-07-16,,,,,,
2020-07-17,,,,,,
2020-07-20,0.385,0.44,0.375,0.41,617900.0,
2020-07-21,0.39,0.4,0.375,0.4,61400.0,
2020-07-22,0.4,0.43,0.4,0.4,589500.0,
2020-07-23,0.4,0.4,0.39,0.4,51000.0,
2020-07-24,0.37,0.38,0.37,0.38,48600.0,
2020-07-27,0.4,0.42,0.39,0.39,406200.0,
2020-07-28,0.39,0.39,0.39,0.39,62400.0,
2020-07-29,0.375,0.38,0.365,0.37,607900.0,
2020-07-30,0.37,0.38,0.37,0.37,111950.0,
2020-08-03,,,,,,
2020-08-04,,,,0.39,,400000.0
2020-08-05,,,,0.395,,60000.0
2020-08-07,,,,0.405,,40000.0
2020-08-10,,,,0.41,,41390000.0
2020-08-11,,,,0.425,,86970000.0
2020-08-12,,,,0.39,,1240000.0
2020-08-13,,,,0.39,,590000.0
2020-08-14,,,,0.395,,1040000.0
2020-08-17,,,,0.395,,400000.0
2020-08-18,,,,0.39,,3660000.0
2020-08-19,,,,0.385,,240000.0
2020-08-20,,,,0.38,,10000.0
2020-08-24,,,,0.38,,80000.0
2020-08-26,,,,0.38,,140000.0
2020-09-01,,,,0.365,,220000.0
2020-09-02,,,,0.375,,10000.0
2020-09-07,,,,0.375,,10000.0
2020-09-08,,,,0.385,,40000.0
2020-09-10,,,,0.38,,170000.0
2020-09-14,,,,0.385,,280000.0
2020-09-15,,,,0.39,,30000.0
2020-09-16,,,,0.385,,20000.0
2020-09-17,,,,0.375,,50000.0
2020-09-18,,,,0.37,,10000.0
2020-09-21,,,,0.38,,40000.0
2020-09-22,,,,0.38,,10000.0
2020-09-24,,,,0.365,,100000.0
2020-09-25,,,,0.38,,10000.0
2020-09-28,,,,0.36,,180000.0
