dt,open,high,low,close,value,volume
2020-03-02,0.0094,0.0094,0.0093,0.0093,37300.0,
2020-03-03,,,,,,
2020-03-04,0.0096,0.0096,0.0096,0.0096,19200.0,
2020-03-05,,,,,,
2020-03-06,0.0093,0.0093,0.0092,0.0092,55400.0,
2020-03-09,0.0091,0.0091,0.009000000000000001,0.009000000000000001,72100.0,
2020-03-10,,,,,,
2020-03-11,0.0083,0.0084,0.0083,0.0084,16700.0,
2020-03-12,0.0083,0.0083,0.0082,0.0083,74100.0,
2020-03-13,,,,,,
2020-03-16,0.0083,0.0089,0.0083,0.0083,191500.0,
2020-03-19,0.0083,0.0083,0.008,0.008,896500.0,
2020-03-20,0.0082,0.0082,0.008,0.0082,498200.0,
2020-03-23,,,,,,
2020-03-24,0.0082,0.0082,0.0082,0.0082,8200.0,
2020-03-25,0.0081,0.0081,0.0081,0.0081,16200.0,
2020-03-26,0.0094,0.0094,0.0082,0.0082,52800.0,
2020-03-27,,,,,,
2020-03-30,,,,,,
2020-03-31,,,,,,
2020-04-01,,,,,,
2020-04-02,0.0083,0.0083,0.0082,0.0083,165100.0,
2020-04-03,,,,,,
2020-04-06,0.0082,0.0082,0.0082,0.0082,65600.0,
2020-04-07,0.0083,0.0083,0.0082,0.0082,493100.0,
2020-04-08,0.0084,0.0084,0.0084,0.0084,84000.0,
2020-04-13,0.0083,0.0083,0.0083,0.0083,356900.0,
2020-04-14,0.0087,0.0087,0.0084,0.0084,51900.0,
2020-04-15,0.0087,0.0087,0.0083,0.0087,460200.0,
2020-04-16,0.0084,0.0084,0.0084,0.0084,25200.0,
2020-04-17,0.0086,0.0087,0.0086,0.0087,34600.0,
2020-04-20,,,,,,
2020-04-21,0.0087,0.0087,0.0087,0.0087,17400.0,
2020-04-22,0.0087,0.0087,0.0087,0.0087,8700.0,
2020-04-23,0.0085,0.0085,0.0085,0.0085,8500.0,
2020-04-24,,,,,,
2020-04-27,0.0085,0.0085,0.0085,0.0085,42500.0,
2020-04-28,0.0085,0.0085,0.0085,0.0085,25500.0,
2020-04-29,0.0084,0.0084,0.0084,0.0084,100800.0,
2020-04-30,0.0085,0.0085,0.0085,0.0085,68000.0,
2020-05-04,,,,,,
2020-05-05,0.0085,0.0085,0.0085,0.0085,17000.0,
2020-05-06,0.0084,0.0084,0.0084,0.0084,67200.0,
2020-05-07,0.0084,0.0084,0.0084,0.0084,16800.0,
2020-05-08,,,,,,
2020-05-11,0.0084,0.0084,0.0084,0.0084,25200.0,
2020-05-12,,,,,,
2020-05-13,,,,,,
2020-05-14,,,,,,
2020-05-15,0.0087,0.0087,0.0087,0.0087,8700.0,
2020-05-18,,,,,,
2020-05-19,0.0087,0.0087,0.0087,0.0087,8700.0,
2020-05-20,0.0087,0.0087,0.0087,0.0087,8700.0,
2020-05-21,,,,,,
2020-05-22,0.0086,0.0086,0.0084,0.0084,17000.0,
2020-05-26,0.0086,0.0086,0.0086,0.0086,8600.0,
2020-05-27,0.0084,0.0084,0.0084,0.0084,42000.0,
2020-05-28,,,,,,
2020-05-29,0.0086,0.0086,0.0086,0.0086,8600.0,
2020-06-01,0.0084,0.0084,0.0084,0.0084,42000.0,
2020-06-02,0.0084,0.0084,0.0084,0.0084,50400.0,
2020-06-03,0.0083,0.0083,0.0083,0.0083,190900.0,
2020-06-04,0.0083,0.0083,0.0083,0.0083,141100.0,
2020-06-05,0.0083,0.0084,0.0083,0.0083,158800.0,
2020-06-08,0.0083,0.0085,0.0083,0.0085,236200.0,
2020-06-09,0.0086,0.0086,0.0085,0.0085,68500.0,
2020-06-10,,,,,,
2020-06-11,,,,,,
2020-06-15,,,,,,
2020-06-16,,,,,,
2020-06-17,0.0084,0.0084,0.0083,0.0083,357700.0,
2020-06-18,,,,,,
2020-06-19,0.0082,0.0083,0.0082,0.0082,489300.0,
2020-06-22,0.0083,0.0083,0.0082,0.0082,123300.0,
2020-06-23,0.0083,0.0083,0.0082,0.0083,497400.0,
2020-06-24,0.0082,0.0082,0.0082,0.0082,16400.0,
2020-06-25,0.0082,0.0083,0.0082,0.0082,207000.0,
2020-06-26,0.0085,0.0085,0.0085,0.0085,833000.0,
2020-06-29,0.0085,0.0085,0.0083,0.0084,297200.0,
2020-06-30,0.0084,0.0085,0.0084,0.0085,101900.0,
2020-07-01,0.0083,0.0085,0.0083,0.0085,33600.0,
2020-07-02,0.0086,0.0086,0.0086,0.0086,146200.0,
2020-07-03,0.0087,0.0091,0.0087,0.0088,795700.0,
2020-07-06,0.0089,0.0094,0.0089,0.0094,914400.0,
2020-07-07,0.0095,0.0095,0.0092,0.0094,384300.0,
2020-07-08,0.0096,0.0096,0.0091,0.0091,427700.0,
2020-07-09,0.009000000000000001,0.0092,0.0089,0.009000000000000001,223600.0,
2020-07-10,0.0088,0.0088,0.0087,0.0087,70200.0,
2020-07-13,0.0087,0.0087,0.0086,0.0087,78200.0,
2020-07-14,0.0087,0.0087,0.0087,0.0087,8700.0,
2020-07-15,0.009000000000000001,0.009000000000000001,0.0086,0.009000000000000001,115000.0,
2020-07-16,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,45000.0,
2020-07-17,0.0089,0.0089,0.0089,0.0089,106800.0,
2020-07-20,0.009000000000000001,0.009000000000000001,0.0086,0.0086,104800.0,
2020-07-21,0.0085,0.0086,0.0085,0.0086,17100.0,
2020-07-22,0.0084,0.0085,0.0082,0.0083,267800.0,
2020-07-23,0.0083,0.0085,0.0082,0.0085,213800.0,
2020-07-24,0.0082,0.0082,0.0082,0.0082,16400.0,
2020-07-27,0.0083,0.0083,0.0082,0.0082,115000.0,
2020-07-28,,,,,,
2020-07-29,,,,,,
2020-07-30,0.0083,0.0083,0.0083,0.0083,24900.0,
2020-08-03,,,,,,
2020-08-04,,,,0.008,,48000000.0
2020-08-05,,,,0.0086,,50000000.0
2020-08-06,,,,0.0088,,13000000.0
2020-08-07,,,,0.0086,,10000000.0
2020-08-10,,,,0.0092,,151000000.0
2020-08-11,,,,0.009,,22000000.0
2020-08-12,,,,0.009,,70000000.0
2020-08-13,,,,0.0089,,1000000.0
2020-08-14,,,,0.0084,,19000000.0
2020-08-18,,,,0.0086,,11000000.0
2020-08-19,,,,0.0087,,6000000.0
2020-08-20,,,,0.009,,9000000.0
2020-08-24,,,,0.009,,4000000.0
2020-08-25,,,,0.0086,,8000000.0
2020-08-26,,,,0.0088,,2000000.0
2020-08-27,,,,0.0085,,20000000.0
2020-08-28,,,,0.0086,,2000000.0
2020-09-02,,,,0.0086,,13000000.0
2020-09-04,,,,0.0086,,3000000.0
2020-09-07,,,,0.0085,,61000000.0
2020-09-08,,,,0.0084,,11000000.0
2020-09-09,,,,0.0087,,1000000.0
2020-09-10,,,,0.0085,,2000000.0
2020-09-11,,,,0.0084,,34000000.0
2020-09-14,,,,0.0083,,11000000.0
2020-09-21,,,,0.0086,,10000000.0
2020-09-24,,,,0.0084,,2000000.0
2020-09-25,,,,0.0083,,2000000.0
2020-09-28,,,,0.0083,,2000000.0
