dt,open,high,low,close,value,volume
2020-03-02,0.59,0.62,0.59,0.62,35920.0,
2020-03-03,0.62,0.62,0.59,0.62,88670.0,
2020-03-04,,,,,,
2020-03-05,0.59,0.64,0.58,0.63,113790.0,
2020-03-06,0.59,0.63,0.59,0.63,8020.0,
2020-03-09,0.61,0.61,0.52,0.58,236440.0,
2020-03-10,0.52,0.56,0.52,0.56,38690.0,
2020-03-11,,,,,,
2020-03-12,0.51,0.54,0.5,0.54,103990.0,
2020-03-13,0.495,0.495,0.49,0.495,21245.0,
2020-03-16,0.495,0.54,0.495,0.54,30150.0,
2020-03-19,0.56,0.56,0.43,0.45,42900.0,
2020-03-20,,,,,,
2020-03-23,0.435,0.445,0.4,0.445,37850.0,
2020-03-24,0.51,0.51,0.43,0.43,51250.0,
2020-03-25,0.45,0.45,0.45,0.45,36000.0,
2020-03-26,0.53,0.53,0.46,0.46,51900.0,
2020-03-27,0.48,0.48,0.44,0.44,68850.0,
2020-03-30,,,,,,
2020-03-31,0.475,0.475,0.46,0.465,23200.0,
2020-04-01,0.46,0.475,0.46,0.475,46650.0,
2020-04-02,0.475,0.475,0.46,0.46,32650.0,
2020-04-03,0.465,0.465,0.46,0.46,18450.0,
2020-04-06,0.46,0.46,0.455,0.455,974150.0,
2020-04-07,0.46,0.47,0.46,0.47,50900.0,
2020-04-08,0.475,0.475,0.45,0.45,222700.0,
2020-04-13,0.46,0.46,0.46,0.46,36800.0,
2020-04-14,0.46,0.47,0.455,0.465,83900.0,
2020-04-15,0.465,0.485,0.46,0.485,344950.0,
2020-04-16,0.475,0.475,0.47,0.47,75500.0,
2020-04-17,0.48,0.51,0.48,0.5,64300.0,
2020-04-20,0.495,0.52,0.495,0.52,95225.0,
2020-04-21,0.5,0.52,0.495,0.52,105170.0,
2020-04-22,0.52,0.52,0.49,0.52,89380.0,
2020-04-23,0.5,0.52,0.495,0.495,110295.0,
2020-04-24,0.495,0.495,0.48,0.48,236400.0,
2020-04-27,0.475,0.5,0.475,0.475,90650.0,
2020-04-28,0.475,0.495,0.475,0.495,9700.0,
2020-04-29,0.51,0.52,0.49,0.49,40700.0,
