dt,open,high,low,close,value,volume
2020-03-02,0.01,0.011000000000000001,0.0099,0.0099,2159500.0,
2020-03-03,0.01,0.011000000000000001,0.0099,0.0099,593400.0,
2020-03-04,0.0099,0.01,0.0099,0.01,39900.0,
2020-03-05,0.01,0.01,0.0094,0.0095,4852590.0,
2020-03-06,0.0096,0.0096,0.0096,0.0096,57600.0,
2020-03-09,0.008,0.008,0.008,0.008,24000.0,
2020-03-10,0.006,0.0065,0.006,0.0064,25300.0,
2020-03-11,0.0072,0.009000000000000001,0.0072,0.0085,58200.0,
2020-03-12,0.0082,0.0085,0.0082,0.0085,41700.0,
2020-03-13,,,,,,
2020-03-16,0.0077,0.0077,0.0077,0.0077,30800.0,
2020-03-19,0.0078,0.0078,0.0072,0.0072,68400.0,
2020-03-20,0.0067,0.0067,0.0067,0.0067,46900.0,
2020-03-23,0.0067,0.0067,0.0067,0.0067,73700.0,
2020-03-24,0.0068,0.0068,0.0066,0.0068,167300.0,
2020-03-25,0.006999999999999999,0.006999999999999999,0.0068,0.006999999999999999,136800.0,
2020-03-26,,,,,,
2020-03-27,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,7000.0,
2020-03-30,,,,,,
2020-03-31,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,21000.0,
2020-04-01,0.006999999999999999,0.0077,0.006999999999999999,0.006999999999999999,154700.0,
2020-04-02,0.0074,0.0075,0.0074,0.0075,14900.0,
2020-04-03,0.008,0.008,0.008,0.008,8000.0,
2020-04-06,0.008,0.008,0.008,0.008,200000.0,
2020-04-07,0.0082,0.0082,0.0082,0.0082,8200.0,
2020-04-08,,,,,,
2020-04-13,0.0082,0.0082,0.0082,0.0082,24600.0,
2020-04-14,0.0086,0.0089,0.0086,0.0088,121700.0,
2020-04-15,0.0086,0.0086,0.0082,0.0082,50800.0,
2020-04-16,0.0082,0.0082,0.0082,0.0082,65600.0,
2020-04-17,0.0086,0.0086,0.0083,0.0083,117300.0,
2020-04-20,0.0083,0.0083,0.0083,0.0083,8300.0,
2020-04-21,,,,,,
2020-04-22,0.0083,0.0083,0.0083,0.0083,166000.0,
2020-04-23,,,,,,
2020-04-24,0.0083,0.0084,0.0083,0.0084,117300.0,
2020-04-27,,,,,,
2020-04-28,,,,,,
2020-04-29,0.0083,0.0083,0.0083,0.0083,8300.0,
2020-04-30,0.0084,0.0084,0.0084,0.0084,8400.0,
2020-05-04,0.0084,0.0084,0.0084,0.0084,8400.0,
2020-05-05,,,,,,
2020-05-06,,,,,,
2020-05-07,,,,,,
2020-05-08,,,,,,
2020-05-11,0.0084,0.0084,0.0084,0.0084,8400.0,
2020-05-12,,,,,,
2020-05-13,,,,,,
2020-05-14,0.0083,0.0083,0.0082,0.0082,319900.0,
2020-05-15,0.0083,0.0083,0.0083,0.0083,8300.0,
2020-05-18,0.0084,0.0084,0.0083,0.0083,25100.0,
2020-05-19,,,,,,
2020-05-20,0.0081,0.0081,0.0081,0.0081,81000.0,
2020-05-21,0.008,0.008,0.008,0.008,128000.0,
2020-05-22,0.0081,0.0081,0.008,0.008,24100.0,
2020-05-26,0.008,0.008,0.008,0.008,184000.0,
2020-05-27,,,,,,
2020-05-28,,,,,,
2020-05-29,0.0079,0.008,0.0079,0.008,47900.0,
2020-06-01,0.008,0.008,0.008,0.008,48000.0,
2020-06-02,,,,,,
2020-06-03,0.0079,0.0079,0.0078,0.0078,173500.0,
2020-06-04,0.0078,0.0078,0.0075,0.0075,68100.0,
2020-06-05,,,,,,
2020-06-08,0.0078,0.0078,0.0078,0.0078,312000.0,
2020-06-09,0.0079,0.0079,0.0079,0.0079,7900.0,
2020-06-10,0.008,0.008,0.0079,0.0079,23800.0,
2020-06-11,0.0079,0.0079,0.0079,0.0079,7900.0,
2020-06-15,0.0079,0.008,0.0079,0.0079,31800.0,
2020-06-16,0.0079,0.0079,0.0079,0.0079,7900.0,
2020-06-17,0.0079,0.0079,0.0076,0.0076,891600.0,
2020-06-18,0.0078,0.0078,0.0077,0.0077,31100.0,
2020-06-19,0.0076,0.0076,0.0076,0.0076,68400.0,
2020-06-22,,,,,,
2020-06-23,0.0075,0.0077,0.0075,0.0077,283900.0,
2020-06-24,0.0077,0.0077,0.0077,0.0077,154000.0,
2020-06-25,0.0075,0.0075,0.0075,0.0075,7500.0,
2020-06-26,0.0075,0.0077,0.0075,0.0077,169000.0,
2020-06-29,,,,,,
2020-06-30,0.0077,0.0077,0.0075,0.0075,433100.0,
2020-07-01,,,,,,
2020-07-02,,,,,,
2020-07-03,0.0075,0.0075,0.0075,0.0075,15000.0,
2020-07-06,0.0076,0.0076,0.0075,0.0075,22700.0,
2020-07-07,0.0075,0.0075,0.0075,0.0075,37500.0,
2020-07-08,0.0077,0.0078,0.0077,0.0078,1285500.0,
2020-07-09,0.0075,0.0076,0.0075,0.0075,105100.0,
2020-07-10,0.0078,0.0078,0.0078,0.0078,7800.0,
2020-07-13,0.0075,0.0076,0.0075,0.0076,52600.0,
2020-07-14,,,,,,
2020-07-15,0.0078,0.0078,0.0078,0.0078,7800.0,
2020-07-16,0.0075,0.0075,0.0075,0.0075,90000.0,
2020-07-17,,,,,,
2020-07-20,,,,,,
2020-07-21,0.0078,0.0079,0.0076,0.0076,180600.0,
2020-07-22,0.0076,0.0076,0.0076,0.0076,7600.0,
2020-07-23,0.0078,0.0079,0.0078,0.0079,165800.0,
2020-07-24,0.008,0.008,0.008,0.008,88000.0,
2020-07-27,0.008,0.008,0.0079,0.0079,71900.0,
2020-07-28,0.0079,0.008,0.0079,0.008,31800.0,
2020-07-29,0.0079,0.0079,0.0079,0.0079,39500.0,
2020-07-30,0.008,0.008,0.0079,0.008,166800.0,
2020-08-03,0.008,0.009000000000000001,0.008,0.0082,1770200.0,
2020-08-04,,,,0.0087,,43000000.0
2020-08-05,,,,0.0096,,193000000.0
2020-08-06,,,,0.0095,,76000000.0
2020-08-07,,,,0.0097,,100000000.0
2020-08-10,,,,0.0099,,4307000000.0
2020-08-11,,,,0.01,,86000000.0
2020-08-12,,,,0.01,,43100000.0
2020-08-13,,,,0.01,,3700000.0
2020-08-14,,,,0.01,,51700000.0
2020-08-17,,,,0.01,,13000000.0
2020-08-18,,,,0.0099,,30300000.0
2020-08-19,,,,0.01,,13000000.0
2020-08-20,,,,0.01,,3400000.0
2020-08-24,,,,0.01,,81000000.0
2020-08-25,,,,0.0098,,51600000.0
2020-08-26,,,,0.0097,,16000000.0
2020-08-27,,,,0.0094,,64000000.0
2020-08-28,,,,0.0094,,11000000.0
2020-09-01,,,,0.0093,,32000000.0
2020-09-02,,,,0.0091,,81000000.0
2020-09-03,,,,0.0087,,75000000.0
2020-09-04,,,,0.009,,33000000.0
2020-09-07,,,,0.0093,,296000000.0
2020-09-08,,,,0.0088,,36000000.0
2020-09-09,,,,0.009,,32000000.0
2020-09-10,,,,0.0093,,29000000.0
2020-09-11,,,,0.0094,,9000000.0
2020-09-14,,,,0.0088,,70000000.0
2020-09-15,,,,0.0087,,29000000.0
2020-09-16,,,,0.0084,,37000000.0
2020-09-17,,,,0.0082,,31000000.0
2020-09-18,,,,0.0083,,23000000.0
2020-09-21,,,,0.008,,34000000.0
2020-09-22,,,,0.0081,,7000000.0
2020-09-23,,,,0.0082,,6000000.0
2020-09-24,,,,0.0083,,12000000.0
2020-09-25,,,,0.0081,,24000000.0
2020-09-28,,,,0.008,,36000000.0
