dt,open,high,low,close,value,volume
2020-03-02,6.9,6.9,6.5,6.6,260382.0,
2020-03-03,6.64,6.8,6.6,6.8,103950.0,
2020-03-04,6.8,6.8,6.7,6.8,38970.0,
2020-03-05,6.8,6.8,6.7,6.8,33310.0,
2020-03-06,6.8,6.8,6.5,6.8,134120.0,
2020-03-09,6.5,6.8,6.3,6.48,77222.0,
2020-03-10,6.35,6.35,5.76,5.99,262514.0,
2020-03-11,6.1,6.25,5.76,6.25,120244.0,
2020-03-12,6.2,6.2,5.75,6.2,194478.0,
2020-03-13,6.1,6.2,5.5,5.99,182313.0,
2020-03-16,5.98,5.99,5.85,5.99,69046.0,
2020-03-19,6.0,6.0,5.0,5.0,280599.0,
2020-03-20,5.0,6.05,5.0,6.05,99455.0,
2020-03-23,6.0,6.0,5.5,5.5,101889.0,
2020-03-24,6.0,6.3,5.6,6.1,97490.0,
2020-03-25,5.61,6.5,5.61,6.5,142710.0,
2020-03-26,6.8,6.8,6.25,6.3,338865.0,
2020-03-27,6.78,6.78,6.31,6.6,124079.0,
2020-03-30,6.75,6.75,6.5,6.69,77779.0,
2020-03-31,6.69,6.69,6.3,6.6,78818.0,
2020-04-01,6.6,6.6,6.5,6.6,40605.0,
2020-04-02,6.6,6.65,6.0,6.6,35810.0,
2020-04-03,6.6,6.6,6.0,6.49,121300.0,
2020-04-06,6.49,6.8,6.38,6.75,357603.0,
2020-04-07,6.5,6.75,6.5,6.75,322721.0,
2020-04-08,6.75,6.75,6.7,6.7,61950.0,
2020-04-13,6.7,7.0,6.6,7.0,545630.0,
2020-04-14,7.0,7.1,6.9,7.0,169830.0,
2020-04-15,7.1,7.2,7.1,7.1,95500.0,
2020-04-16,7.19,7.19,7.0,7.1,94626.0,
2020-04-17,7.1,7.2,7.0,7.19,29043.0,
2020-04-20,7.19,7.2,6.8,7.2,155052.0,
2020-04-21,7.2,7.2,6.76,7.0,44820.0,
2020-04-22,7.2,7.2,6.8,6.85,52989.0,
2020-04-23,7.1,7.32,7.0,7.28,655310.0,
2020-04-24,7.29,7.35,7.0,7.3,122763.0,
2020-04-27,7.3,7.3,6.77,7.3,363573.0,
2020-04-28,7.3,7.3,7.0,7.1,105067.0,
2020-04-29,7.2,7.3,7.0,7.25,64571.0,
2020-04-30,7.3,7.3,7.25,7.25,44367.0,
2020-05-04,7.19,7.2,6.7,7.19,121108.0,
2020-05-05,7.0,7.2,7.0,7.05,97545.0,
2020-05-06,7.24,7.24,7.0,7.05,204320.0,
2020-05-07,7.05,7.1,6.88,7.0,324953.0,
2020-05-08,7.2,7.2,6.95,6.95,61610.0,
2020-05-11,7.1,7.1,6.88,7.07,456409.0,
2020-05-12,7.04,7.05,6.9,7.01,115515.0,
2020-05-13,6.95,7.0,6.91,6.92,68461.0,
2020-05-14,6.93,7.0,6.93,6.96,30633.0,
2020-05-15,6.98,7.0,6.9,6.95,125645.0,
2020-05-18,7.0,7.0,6.9,6.98,63181.0,
2020-05-19,6.98,7.0,6.93,6.94,61939.0,
2020-05-20,6.7,6.97,6.7,6.95,56469.0,
2020-05-21,6.7,6.75,6.6,6.61,246856.0,
2020-05-22,6.6,6.6,5.99,6.28,649997.0,
2020-05-26,6.28,6.28,6.0,6.15,110295.0,
2020-05-27,6.0,6.18,6.0,6.0,228958.0,
2020-05-28,6.2,6.48,6.0,6.05,266190.0,
2020-05-29,6.0,7.05,6.0,6.71,1374348.0,
2020-06-01,6.92,7.15,6.92,7.11,1741196.0,
2020-06-02,7.12,7.25,7.0,7.0,777686.0,
2020-06-03,7.11,7.3,7.11,7.3,905851.0,
2020-06-04,7.35,7.35,7.0,7.08,451430.0,
2020-06-05,7.35,7.4,7.1,7.26,1015619.0,
2020-06-08,7.25,7.25,7.05,7.23,664883.0,
2020-06-09,7.23,7.23,7.15,7.17,244829.0,
2020-06-10,7.16,7.16,7.0,7.11,226502.0,
2020-06-11,7.14,7.15,7.0,7.15,621023.0,
2020-06-15,7.15,7.15,6.9,7.0,74777.0,
2020-06-16,6.89,7.0,6.5,6.9,1058096.0,
2020-06-17,6.95,7.0,6.6,6.8,350815.0,
2020-06-18,6.8,6.9,6.75,6.88,184760.0,
2020-06-19,6.89,6.89,6.75,6.75,85910.0,
2020-06-22,6.75,6.75,6.6,6.7,116152.0,
2020-06-23,6.75,6.75,6.55,6.6,176965.0,
2020-06-24,6.6,7.0,6.6,6.9,383151.0,
2020-06-25,6.6,6.8,6.6,6.7,100120.0,
2020-06-26,6.6,6.8,6.5,6.55,363129.0,
2020-06-29,6.55,7.05,6.55,6.56,446309.0,
2020-06-30,6.6,6.9,6.5,6.8,38015.0,
2020-07-01,6.8,6.8,6.4,6.55,132341.0,
2020-07-02,6.8,6.8,6.5,6.5,1042914.0,
2020-07-03,6.8,6.8,6.5,6.7,267292.0,
2020-07-06,6.74,6.75,6.68,6.68,502366.0,
2020-07-07,6.7,6.7,6.6,6.6,1208498.0,
2020-07-08,6.7,6.7,6.55,6.6,452013.0,
2020-07-09,6.52,6.65,6.5,6.6,67367.0,
2020-07-10,6.5,6.6,6.1,6.48,99502.0,
2020-07-13,6.13,6.5,6.13,6.4,209478.0,
2020-07-14,6.3,6.3,6.11,6.12,520858.0,
2020-07-15,6.12,6.19,6.1,6.15,119339.0,
2020-07-16,6.15,6.58,6.15,6.2,301044.0,
2020-07-17,6.1,6.5,6.1,6.25,180578.0,
2020-07-20,6.48,6.5,6.15,6.3,158650.0,
2020-07-21,6.15,6.43,6.1,6.4,164506.0,
2020-07-22,6.1,6.3,6.1,6.3,38980.0,
