dt,open,high,low,close,value,volume
2020-03-02,12.0,12.0,12.0,12.0,176400.0,
2020-03-03,,,,,,
2020-03-04,11.98,11.98,11.98,11.98,47920.0,
2020-03-05,11.8,11.8,11.5,11.5,139100.0,
2020-03-06,11.8,11.8,11.5,11.5,1543018.0,
2020-03-09,11.22,11.3,11.2,11.2,712246.0,
2020-03-10,11.0,11.0,10.62,10.62,93836.0,
2020-03-11,10.7,10.7,10.62,10.62,33002.0,
2020-03-12,10.64,10.64,10.6,10.6,631760.0,
2020-03-13,10.22,10.6,5.32,10.6,1506949.0,
2020-03-16,9.4,9.42,9.4,9.4,600712.0,
2020-03-19,8.2,8.2,8.2,8.2,221400.0,
2020-03-20,8.2,8.2,8.0,8.0,122206.0,
2020-03-23,8.0,8.2,8.0,8.2,186002.0,
2020-03-24,,,,,,
2020-03-25,,,,,,
2020-03-26,7.81,7.81,7.81,7.81,781.0,
2020-03-27,8.1,9.0,8.1,8.9,59257.0,
2020-03-30,,,,,,
2020-03-31,,,,,,
2020-04-01,,,,,,
2020-04-02,8.5,8.5,8.5,8.5,850.0,
2020-04-03,,,,,,
2020-04-06,,,,,,
2020-04-07,8.61,8.65,8.61,8.65,9487.0,
2020-04-08,8.71,8.71,8.65,8.65,34631.0,
2020-04-13,8.65,8.65,8.65,8.65,5190.0,
2020-04-14,8.65,8.65,8.65,8.65,208465.0,
2020-04-15,,,,,,
2020-04-16,8.8,8.95,8.8,8.8,463800.0,
2020-04-17,,,,,,
2020-04-20,8.21,8.79,8.21,8.79,144933.0,
2020-04-21,8.24,8.26,8.24,8.26,25586.0,
2020-04-22,,,,,,
2020-04-23,8.4,8.65,8.4,8.5,233779.0,
2020-04-24,8.65,8.65,8.5,8.5,223027.0,
2020-04-27,8.52,8.52,8.5,8.5,61202.0,
2020-04-28,,,,,,
2020-04-29,,,,,,
2020-04-30,8.5,8.5,8.5,8.5,90950.0,
2020-05-04,,,,,,
2020-05-05,,,,,,
2020-05-06,8.5,8.79,8.5,8.79,1729.0,
2020-05-07,,,,,,
2020-05-08,,,,,,
2020-05-11,8.79,9.0,8.79,9.0,403231.0,
2020-05-12,10.0,10.0,10.0,10.0,2000.0,
2020-05-13,10.0,10.0,9.94,9.94,11988.0,
2020-05-14,,,,,,
2020-05-15,,,,,,
2020-05-18,,,,,,
2020-05-19,,,,,,
2020-05-20,,,,,,
2020-05-21,,,,,,
2020-05-22,9.02,9.07,9.0,9.0,369633.0,
2020-05-26,9.63,9.63,9.5,9.5,2876.0,
2020-05-27,9.89,9.89,9.8,9.8,1969.0,
2020-05-28,9.02,9.06,8.9,8.9,95439.0,
2020-05-29,8.75,9.89,8.75,9.89,106339.0,
2020-06-01,9.88,9.88,9.0,9.02,27480.0,
2020-06-02,9.89,9.89,9.14,9.77,168732.0,
2020-06-03,,,,,,
2020-06-04,9.5,9.58,9.06,9.11,204755.0,
2020-06-05,9.5,9.8,9.11,9.31,1901618.0,
2020-06-08,9.45,9.8,9.45,9.47,81378.0,
2020-06-09,9.33,9.38,9.33,9.38,815093.0,
2020-06-10,9.51,9.51,9.51,9.51,1902.0,
2020-06-11,9.81,9.88,9.81,9.88,27553.0,
2020-06-15,9.88,9.88,9.79,9.79,3931.0,
2020-06-16,9.89,9.89,9.5,9.5,21193.0,
2020-06-17,9.35,9.35,9.3,9.3,558125.0,
2020-06-18,9.86,9.87,9.32,9.32,8713.0,
2020-06-19,9.32,9.32,9.32,9.32,1864.0,
2020-06-22,9.3,9.3,9.3,9.3,20460.0,
2020-06-23,9.0,9.0,8.64,8.66,115859.0,
2020-06-24,,,,,,
2020-06-25,9.89,9.89,9.0,9.0,26255.0,
2020-06-26,,,,,,
2020-06-29,,,,,,
2020-06-30,,,,,,
2020-07-01,9.1,9.1,8.72,8.72,41589.0,
2020-07-02,8.7,8.7,8.5,8.5,297353.0,
2020-07-03,8.52,8.52,8.52,8.52,8520.0,
2020-07-06,,,,,,
2020-07-07,8.54,8.54,8.2,8.2,809308.0,
2020-07-08,8.37,8.37,8.35,8.35,2509.0,
2020-07-09,9.14,9.19,9.1,9.1,52282.0,
2020-07-10,9.09,9.22,8.4,9.22,1583984.0,
2020-07-13,8.5,8.5,8.11,8.5,18037.0,
2020-07-14,8.4,8.4,8.4,8.4,840.0,
2020-07-15,,,,,,
2020-07-16,,,,,,
2020-07-17,,,,,,
2020-07-20,,,,,,
2020-07-21,8.4,8.4,8.2,8.2,573514.0,
2020-07-22,,,,,,
2020-07-23,8.14,8.14,8.0,8.0,374428.0,
2020-07-24,8.01,8.01,8.0,8.0,400003.0,
2020-07-27,8.11,8.11,8.1,8.1,39692.0,
2020-07-28,8.1,8.1,8.1,8.1,366930.0,
2020-07-29,,,,,,
2020-07-30,8.2,8.2,8.2,8.2,7380.0,
2020-08-03,8.2,8.2,8.2,8.2,1640.0,
2020-08-04,,,,8.0,,46800.0
2020-08-05,,,,8.0,,6000.0
2020-08-06,,,,8.0,,11200.0
2020-08-07,,,,8.1,,8400.0
2020-08-12,,,,8.1,,900.0
2020-08-18,,,,8.45,,120800.0
2020-08-20,,,,8.12,,276700.0
2020-08-25,,,,8.21,,15000.0
2020-09-01,,,,7.88,,3000.0
2020-09-02,,,,7.9,,40300.0
2020-09-03,,,,8.49,,2400.0
2020-09-04,,,,8.79,,12800.0
2020-09-07,,,,8.88,,2200.0
2020-09-09,,,,8.88,,2000.0
2020-09-10,,,,8.99,,3900.0
2020-09-11,,,,9.88,,6900.0
2020-09-14,,,,9.86,,31900.0
2020-09-15,,,,8.88,,119300.0
2020-09-16,,,,9.11,,4400.0
2020-09-17,,,,9.11,,17300.0
2020-09-18,,,,9.55,,19900.0
2020-09-21,,,,9.49,,22400.0
2020-09-22,,,,9.0,,5600.0
2020-09-23,,,,9.48,,13900.0
2020-09-24,,,,9.47,,38500.0
2020-09-25,,,,9.46,,7500.0
2020-09-28,,,,9.35,,11900.0
