dt,open,high,low,close,value,volume
2020-03-02,3.35,3.39,3.35,3.38,4343540.0,
2020-03-03,3.38,3.44,3.37,3.38,8485790.0,
2020-03-04,3.38,3.39,3.37,3.37,6936780.0,
2020-03-05,3.38,3.4,3.37,3.38,3628450.0,
2020-03-06,3.38,3.39,3.35,3.37,2910360.0,
2020-03-09,3.3,3.3,3.13,3.13,15070850.0,
2020-03-10,3.1,3.1,3.0,3.07,8473040.0,
2020-03-11,3.07,3.11,3.05,3.07,9155660.0,
2020-03-12,3.05,3.05,2.83,2.85,11670870.0,
2020-03-13,2.76,2.76,2.56,2.66,11593510.0,
2020-03-16,2.63,2.63,2.4,2.49,5860060.0,
2020-03-19,2.45,2.45,2.01,2.05,9016650.0,
2020-03-20,2.1,2.31,2.08,2.1,8415130.0,
2020-03-23,2.09,2.09,2.0,2.04,10388580.0,
2020-03-24,2.04,2.12,2.04,2.05,11412350.0,
2020-03-25,2.11,2.17,2.09,2.1,7840410.0,
2020-03-26,2.15,2.28,2.13,2.26,6772400.0,
2020-03-27,2.29,2.69,2.29,2.4,25913970.0,
2020-03-30,2.3,2.4,2.17,2.4,4162110.0,
2020-03-31,2.4,2.53,2.37,2.53,7692560.0,
2020-04-01,2.53,2.61,2.5,2.56,6053500.0,
2020-04-02,2.56,2.6,2.51,2.6,3933310.0,
2020-04-03,2.71,2.79,2.59,2.59,9072570.0,
2020-04-06,2.6,2.61,2.48,2.58,9526680.0,
2020-04-07,2.61,2.63,2.58,2.61,3432190.0,
2020-04-08,2.6,2.6,2.5,2.57,15465410.0,
2020-04-13,2.6,2.83,2.59,2.82,12128210.0,
2020-04-14,2.86,3.1,2.86,3.0,17206370.0,
2020-04-15,3.2,3.2,3.0,3.02,17845490.0,
2020-04-16,3.02,3.14,3.0,3.14,10191610.0,
2020-04-17,3.1,3.25,3.1,3.21,22462530.0,
2020-04-20,3.25,3.36,3.21,3.29,11250170.0,
2020-04-21,3.11,3.21,2.89,3.1,27354150.0,
2020-04-22,3.08,3.16,3.0,3.13,6636950.0,
2020-04-23,3.21,3.29,3.15,3.18,10457700.0,
2020-04-24,3.2,3.26,3.12,3.14,7972900.0,
2020-04-27,3.15,3.15,3.1,3.15,2756000.0,
2020-04-28,3.18,3.21,3.14,3.16,5635650.0,
2020-04-29,3.17,3.17,3.13,3.15,8576020.0,
2020-04-30,3.2,3.22,3.15,3.19,4753920.0,
2020-05-04,3.21,3.21,3.15,3.17,8551510.0,
2020-05-05,3.18,3.21,3.1,3.11,13498420.0,
2020-05-06,3.15,3.18,3.12,3.15,2143520.0,
2020-05-07,3.15,3.16,3.1,3.1,4665150.0,
2020-05-08,3.11,3.15,3.05,3.07,4795820.0,
2020-05-11,3.14,3.14,3.07,3.07,5366560.0,
2020-05-12,3.12,3.14,3.05,3.08,3896650.0,
2020-05-13,3.12,3.12,3.08,3.1,2924700.0,
2020-05-14,3.1,3.1,3.02,3.05,6137900.0,
2020-05-15,3.07,3.08,3.0,3.03,2866590.0,
2020-05-18,3.05,3.05,2.99,3.0,5968660.0,
2020-05-19,3.05,3.06,3.0,3.0,3042580.0,
2020-05-20,3.05,3.05,2.98,3.0,2770240.0,
2020-05-21,3.01,3.01,2.95,2.95,5453450.0,
2020-05-22,3.0,3.01,2.93,2.96,2006860.0,
2020-05-26,3.0,3.0,2.9,2.93,1916830.0,
2020-05-27,2.95,2.95,2.9,2.92,1831470.0,
2020-05-28,2.98,2.98,2.9,2.9,4601410.0,
2020-05-29,2.9,2.95,2.82,2.82,13198730.0,
2020-06-01,2.97,2.97,2.9,2.92,6266240.0,
2020-06-02,2.92,3.07,2.92,3.0,9412070.0,
2020-06-03,3.05,3.06,3.0,3.01,10091430.0,
2020-06-04,3.07,3.07,3.01,3.04,6680590.0,
2020-06-05,3.06,3.32,3.05,3.23,14544430.0,
2020-06-08,3.3,3.47,3.25,3.39,21503630.0,
2020-06-09,3.45,3.49,3.27,3.36,14854500.0,
2020-06-10,3.39,3.45,3.22,3.24,9539160.0,
2020-06-11,3.24,3.24,3.13,3.21,8332710.0,
2020-06-15,3.2,3.2,3.07,3.16,11494350.0,
2020-06-16,3.18,3.26,3.17,3.19,2876940.0,
2020-06-17,3.19,3.19,3.1,3.11,7303010.0,
2020-06-18,3.11,3.13,3.09,3.1,3146320.0,
2020-06-19,3.17,3.18,3.02,3.02,12343130.0,
2020-06-22,3.09,3.15,3.09,3.09,3563340.0,
2020-06-23,3.11,3.2,3.11,3.15,5172060.0,
2020-06-24,3.18,3.18,3.15,3.16,4966920.0,
2020-06-25,3.17,3.17,3.02,3.04,8340260.0,
2020-06-26,3.08,3.08,3.04,3.06,2192360.0,
2020-06-29,3.07,3.07,3.06,3.06,6242610.0,
2020-06-30,3.07,3.1,3.06,3.09,2323120.0,
2020-07-01,3.09,3.1,3.07,3.08,1640780.0,
2020-07-02,3.09,3.1,3.07,3.07,7647900.0,
2020-07-03,3.07,3.11,3.06,3.09,5126760.0,
2020-07-06,3.11,3.19,3.11,3.19,13547610.0,
2020-07-07,3.21,3.25,3.14,3.14,10842920.0,
2020-07-08,3.14,3.19,3.13,3.16,6967060.0,
2020-07-09,3.13,3.16,3.08,3.14,16991440.0,
2020-07-10,3.14,3.14,3.08,3.1,3675330.0,
2020-07-13,3.1,3.1,3.08,3.08,2155020.0,
