dt,open,high,low,close,value,volume
2020-03-02,,,,,,
2020-03-03,3.75,3.75,3.24,3.24,118290.0,
2020-03-04,3.26,3.58,3.26,3.58,83100.0,
2020-03-05,3.75,3.75,3.74,3.74,22470.0,
2020-03-06,,,,,,
2020-03-09,3.74,3.8,3.74,3.8,71230.0,
2020-03-10,3.25,3.46,3.25,3.46,33120.0,
2020-03-11,3.76,3.76,3.25,3.25,30460.0,
2020-03-12,3.24,3.24,3.0,3.0,364600.0,
2020-03-13,3.3,3.3,3.3,3.3,9900.0,
2020-03-16,3.29,3.29,3.29,3.29,29610.0,
2020-03-19,,,,,,
2020-03-20,2.7,3.28,2.7,3.15,66460.0,
2020-03-23,3.28,3.28,3.28,3.28,6560.0,
2020-03-24,2.73,3.01,2.73,3.0,34120.0,
2020-03-25,3.0,3.0,2.73,2.73,17730.0,
2020-03-26,2.95,2.95,2.95,2.95,8850.0,
2020-03-27,3.0,3.0,3.0,3.0,141000.0,
2020-03-30,2.99,2.99,2.5,2.5,36980.0,
2020-03-31,2.5,2.5,2.5,2.5,80000.0,
2020-04-01,2.42,2.45,2.02,2.38,736290.0,
2020-04-02,2.55,2.55,2.2,2.3,92340.0,
2020-04-03,2.3,2.44,2.3,2.44,9340.0,
2020-04-06,2.55,2.55,2.4,2.44,29600.0,
2020-04-07,2.44,2.44,2.44,2.44,31720.0,
2020-04-08,2.4,2.45,2.4,2.42,94540.0,
2020-04-13,2.63,2.63,2.49,2.5,53210.0,
2020-04-14,2.4,2.5,2.4,2.5,89620.0,
2020-04-15,2.58,2.64,2.03,2.45,352820.0,
2020-04-16,2.43,2.43,2.4,2.4,29010.0,
2020-04-17,2.4,2.4,2.28,2.35,268190.0,
2020-04-20,2.4,2.4,2.31,2.31,85850.0,
2020-04-21,2.37,2.57,2.26,2.57,177650.0,
2020-04-22,2.33,2.56,2.33,2.56,94810.0,
2020-04-23,2.56,2.63,2.5,2.5,126630.0,
2020-04-24,2.5,2.5,2.35,2.35,59050.0,
2020-04-27,2.5,2.5,2.4,2.4,66200.0,
2020-04-28,2.4,2.4,2.31,2.39,49130.0,
2020-04-29,2.47,2.47,2.4,2.4,43300.0,
2020-04-30,2.44,2.47,2.38,2.45,64730.0,
2020-05-04,2.42,2.5,2.42,2.5,149230.0,
2020-05-05,2.5,2.5,2.45,2.46,39480.0,
2020-05-06,2.58,2.58,2.47,2.48,47500.0,
2020-05-07,2.48,2.48,2.48,2.48,12400.0,
2020-05-08,2.48,2.51,2.48,2.51,134960.0,
2020-05-11,2.52,2.58,2.52,2.57,63730.0,
2020-05-12,2.58,2.59,2.5,2.5,60350.0,
2020-05-13,2.62,2.62,2.12,2.32,280250.0,
2020-05-14,2.44,2.62,2.4,2.5,108920.0,
2020-05-15,2.5,2.5,2.25,2.43,225950.0,
2020-05-18,2.43,2.43,2.2,2.33,103920.0,
2020-05-19,2.4,2.4,2.38,2.38,26360.0,
2020-05-20,2.38,2.4,2.38,2.4,47980.0,
2020-05-21,2.39,2.46,2.38,2.46,21650.0,
2020-05-22,2.4,2.42,2.4,2.42,74430.0,
2020-05-26,2.46,2.46,2.38,2.43,374220.0,
2020-05-27,,,,,,
2020-05-28,2.42,2.42,2.42,2.42,72600.0,
2020-05-29,2.42,2.46,2.4,2.4,622430.0,
2020-06-01,2.21,2.43,2.2,2.43,48830.0,
2020-06-02,2.45,2.45,2.27,2.45,16610.0,
2020-06-03,2.46,2.48,2.45,2.48,199690.0,
2020-06-04,2.49,2.55,2.4,2.55,100680.0,
2020-06-05,2.6,2.6,2.4,2.54,132020.0,
2020-06-08,2.6,2.6,2.52,2.6,841250.0,
2020-06-09,2.6,2.69,2.55,2.65,137140.0,
2020-06-10,2.54,2.55,2.54,2.55,55900.0,
2020-06-11,2.6,2.9,2.5,2.89,161760.0,
2020-06-15,2.89,2.89,2.6,2.75,209730.0,
2020-06-16,2.8,2.95,2.75,2.75,163570.0,
2020-06-17,2.99,2.99,2.66,2.93,984120.0,
2020-06-18,2.99,2.99,2.92,2.93,88670.0,
2020-06-19,2.9,2.93,2.75,2.93,122870.0,
2020-06-22,2.99,2.99,2.7,2.99,86950.0,
2020-06-23,2.75,2.98,2.75,2.96,27990.0,
2020-06-24,2.9,2.96,2.85,2.95,119650.0,
2020-06-25,2.86,2.88,2.85,2.85,88580.0,
2020-06-26,2.7,2.97,2.7,2.96,56410.0,
2020-06-29,2.98,2.98,2.72,2.9,50700.0,
2020-06-30,2.9,3.29,2.9,3.0,635240.0,
2020-07-01,3.05,3.2,3.0,3.0,406750.0,
2020-07-02,3.25,3.25,3.0,3.2,65900.0,
2020-07-03,3.2,3.2,3.0,3.15,669410.0,
2020-07-06,3.17,3.29,3.15,3.28,1505510.0,
2020-07-07,3.01,3.19,3.0,3.19,55390.0,
2020-07-08,3.2,3.49,3.02,3.26,363410.0,
2020-07-09,3.26,3.3,3.05,3.3,990110.0,
2020-07-10,3.12,3.22,3.12,3.22,368560.0,
2020-07-13,3.22,3.29,3.05,3.05,449340.0,
2020-07-14,3.09,3.22,3.08,3.18,132940.0,
2020-07-15,3.11,3.24,3.1,3.24,177300.0,
2020-07-16,3.3,3.34,3.3,3.34,175140.0,
