dt,open,high,low,close,value,volume
2020-03-02,36.0,37.2,35.6,36.6,10839460.0,
2020-03-03,36.4,37.1,35.5,35.5,50700530.0,
2020-03-04,36.2,36.3,35.4,36.0,27465070.0,
2020-03-05,35.5,36.8,35.35,35.5,151300395.0,
2020-03-06,34.9,35.2,34.05,34.05,40655075.0,
2020-03-09,33.4,34.05,32.2,34.05,63951200.0,
2020-03-10,33.4,34.0,32.3,33.0,103758930.0,
2020-03-11,33.0,34.0,33.0,34.0,127055375.0,
2020-03-12,33.15,33.95,31.6,32.55,71537430.0,
2020-03-13,30.6,33.0,29.85,31.9,147616365.0,
2020-03-16,31.9,33.15,30.1,32.5,34683725.0,
2020-03-19,31.0,31.0,26.0,29.0,63981025.0,
2020-03-20,30.0,32.0,29.65,32.0,61963500.0,
2020-03-23,30.5,31.7,30.5,30.65,27266920.0,
2020-03-24,31.1,31.75,30.65,31.0,62246595.0,
2020-03-25,32.0,32.3,31.6,31.7,102866175.0,
2020-03-26,32.5,35.15,32.5,34.2,112991985.0,
2020-03-27,35.4,39.0,35.4,39.0,253345820.0,
2020-03-30,35.9,37.5,35.5,36.0,151250105.0,
2020-03-31,35.95,37.8,35.85,36.45,197285320.0,
2020-04-01,36.95,39.8,36.5,38.0,177123870.0,
2020-04-02,38.0,38.1,36.4,36.4,144929220.0,
2020-04-03,37.4,39.75,36.65,38.7,281174285.0,
2020-04-06,39.1,41.0,38.0,41.0,167058230.0,
2020-04-07,41.5,43.1,40.2,40.2,267801140.0,
2020-04-08,40.2,41.5,39.6,41.4,188025275.0,
2020-04-13,42.0,44.5,41.7,44.0,215268535.0,
2020-04-14,44.1,46.95,44.1,46.95,286666890.0,
2020-04-15,47.0,48.0,44.5,45.8,287167655.0,
2020-04-16,44.9,46.0,43.1,44.1,219421400.0,
2020-04-17,45.0,47.0,44.35,45.75,461951805.0,
2020-04-20,46.2,47.5,46.2,46.5,229292360.0,
2020-04-21,46.5,46.9,45.7,46.5,232407585.0,
2020-04-22,46.35,46.9,45.9,46.5,75850215.0,
2020-04-23,46.55,47.2,46.4,46.65,195387140.0,
2020-04-24,46.95,46.95,45.95,46.4,184528275.0,
2020-04-27,47.25,48.0,46.95,47.0,316472835.0,
2020-04-28,47.4,47.5,46.65,47.0,187891210.0,
2020-04-29,46.9,46.9,45.8,46.4,345326435.0,
2020-04-30,46.85,46.85,45.8,46.3,206763050.0,
2020-05-04,46.3,46.75,45.75,45.8,166334240.0,
2020-05-05,46.6,46.95,45.9,46.4,198727330.0,
2020-05-06,46.5,46.5,45.95,46.4,219833065.0,
2020-05-07,46.35,46.5,45.9,46.0,148896800.0,
2020-05-08,46.45,47.9,46.05,47.8,343925115.0,
2020-05-11,48.05,49.95,48.05,49.0,489302825.0,
2020-05-12,49.0,49.0,46.95,48.0,339350345.0,
2020-05-13,49.4,50.0,47.7,48.0,472004430.0,
2020-05-14,48.0,48.05,46.2,46.5,182827855.0,
2020-05-15,47.35,47.35,46.0,46.0,194285505.0,
2020-05-18,45.95,46.65,44.15,45.5,273359575.0,
2020-05-19,46.6,46.8,45.55,45.8,201127480.0,
2020-05-20,45.9,46.0,44.6,45.0,90915405.0,
2020-05-21,46.2,46.4,45.3,46.35,335974295.0,
2020-05-22,45.8,46.35,45.8,46.15,132230060.0,
2020-05-26,46.35,46.9,46.05,46.5,316352030.0,
2020-05-27,47.0,47.0,46.1,46.35,104272430.0,
2020-05-28,46.5,46.5,45.5,46.35,231251170.0,
2020-05-29,46.0,46.0,45.0,46.0,3755471505.0,
2020-06-01,47.0,47.0,44.0,44.1,193231385.0,
2020-06-02,44.4,44.9,44.1,44.3,273677850.0,
2020-06-03,45.0,46.35,45.0,45.5,181900405.0,
2020-06-04,46.3,46.4,45.65,46.4,212208005.0,
2020-06-05,46.4,46.5,45.5,46.4,128841815.0,
2020-06-08,46.5,47.75,46.3,47.25,99733465.0,
2020-06-09,47.2,47.2,44.8,45.55,204143055.0,
2020-06-10,46.0,46.4,45.15,46.4,81301160.0,
2020-06-11,46.7,46.8,45.3,46.4,65058035.0,
2020-06-15,45.8,46.35,44.9,45.2,90686595.0,
2020-06-16,45.1,45.5,44.4,44.5,159103410.0,
2020-06-17,44.6,46.0,44.6,45.4,131486110.0,
2020-06-18,45.0,46.4,44.55,46.4,44282465.0,
2020-06-19,46.25,46.25,45.4,45.4,57758110.0,
2020-06-22,45.5,46.1,44.75,44.8,23777630.0,
2020-06-23,45.2,45.5,44.75,44.75,96702100.0,
2020-06-24,44.75,45.4,44.75,44.75,14216595.0,
2020-06-25,44.75,45.0,43.4,43.5,27937740.0,
2020-06-26,43.6,44.0,43.1,44.0,23794845.0,
2020-06-29,44.0,45.2,42.5,45.0,158427570.0,
2020-06-30,45.35,46.35,45.3,46.35,89059345.0,
2020-07-01,46.4,46.4,45.5,46.3,31624185.0,
2020-07-02,46.4,46.6,46.25,46.4,106545500.0,
2020-07-03,46.6,46.8,46.4,46.6,120602570.0,
2020-07-06,46.6,46.95,46.25,46.6,112132290.0,
2020-07-07,46.6,46.85,46.25,46.6,264479730.0,
2020-07-08,46.6,46.8,46.3,46.6,260238265.0,
2020-07-09,46.6,46.9,46.05,46.9,163511970.0,
2020-07-10,46.9,47.9,46.55,47.75,204543570.0,
2020-07-13,47.75,47.8,46.2,46.6,83207700.0,
