dt,open,high,low,close,value,volume
2020-03-02,0.27,0.27,0.26,0.27,489100.0,
2020-03-03,0.275,0.28,0.255,0.26,1020400.0,
2020-03-04,0.26,0.285,0.26,0.285,2518100.0,
2020-03-05,0.28,0.285,0.27,0.28,1549600.0,
2020-03-06,0.28,0.28,0.265,0.275,4200700.0,
2020-03-09,0.265,0.265,0.235,0.235,1376410.0,
2020-03-10,0.23399999999999999,0.23399999999999999,0.20600000000000002,0.225,1594510.0,
2020-03-11,0.226,0.248,0.226,0.23,916910.0,
2020-03-12,0.22699999999999998,0.23,0.21,0.22,1225320.0,
2020-03-13,0.20600000000000002,0.21,0.18100000000000002,0.21,587760.0,
2020-03-16,0.21,0.21,0.185,0.2,166450.0,
2020-03-19,0.182,0.2,0.17,0.185,405980.0,
2020-03-20,0.196,0.196,0.185,0.19,369530.0,
2020-03-23,0.19,0.19,0.17300000000000001,0.17600000000000002,291340.0,
2020-03-24,0.18,0.18,0.17600000000000002,0.17800000000000002,302990.0,
2020-03-25,0.18,0.19,0.18,0.185,774870.0,
2020-03-26,0.191,0.21,0.19,0.209,405980.0,
2020-03-27,0.22,0.22,0.195,0.20199999999999999,763950.0,
2020-03-30,0.20199999999999999,0.20199999999999999,0.19,0.195,81320.0,
2020-03-31,0.20199999999999999,0.203,0.195,0.2,220020.0,
2020-04-01,0.2,0.2,0.195,0.196,161890.0,
2020-04-02,0.196,0.2,0.191,0.192,121760.0,
2020-04-03,0.196,0.198,0.195,0.195,167790.0,
2020-04-06,0.198,0.201,0.195,0.201,149730.0,
2020-04-07,0.201,0.205,0.2,0.2,317540.0,
2020-04-08,0.2,0.205,0.2,0.2,104370.0,
2020-04-13,0.2,0.212,0.19699999999999998,0.212,460380.0,
2020-04-14,0.212,0.215,0.20199999999999999,0.21,620960.0,
2020-04-15,0.21,0.22,0.21,0.21899999999999997,1933130.0,
2020-04-16,0.21899999999999997,0.21899999999999997,0.205,0.21,505180.0,
2020-04-17,0.215,0.215,0.204,0.21,586870.0,
2020-04-20,0.214,0.22,0.21,0.215,622290.0,
2020-04-21,0.225,0.225,0.21100000000000002,0.217,229070.0,
