dt,open,high,low,close,value,volume
2020-03-02,0.41,0.435,0.41,0.41,182000.0,
2020-03-03,0.41,0.41,0.395,0.4,192600.0,
2020-03-04,0.395,0.43,0.395,0.43,50950.0,
2020-03-05,0.4,0.4,0.4,0.4,4000.0,
2020-03-06,,,,,,
2020-03-09,0.4,0.4,0.36,0.365,9865150.0,
2020-03-10,0.36,0.36,0.35,0.35,14300.0,
2020-03-11,0.325,0.395,0.32,0.34,2078900.0,
2020-03-12,0.32,0.32,0.32,0.32,28800.0,
2020-03-13,0.3,0.36,0.3,0.36,1167900.0,
2020-03-16,0.35,0.35,0.35,0.35,105000.0,
2020-03-19,,,,,,
2020-03-20,0.3,0.32,0.3,0.32,39600.0,
2020-03-23,,,,,,
2020-03-24,,,,,,
2020-03-25,0.3,0.3,0.3,0.3,3000.0,
2020-03-26,0.31,0.31,0.31,0.31,6200.0,
2020-03-27,0.315,0.315,0.315,0.315,69300.0,
2020-03-30,0.305,0.305,0.305,0.305,6100.0,
2020-03-31,,,,,,
2020-04-01,0.38,0.38,0.35,0.35,1082500.0,
2020-04-02,0.38,0.38,0.38,0.38,19000.0,
2020-04-03,,,,,,
2020-04-06,0.37,0.37,0.37,0.37,59200.0,
2020-04-07,0.33,0.365,0.33,0.34,361400.0,
2020-04-08,,,,,,
2020-04-13,0.32,0.32,0.32,0.32,3200.0,
2020-04-14,0.315,0.32,0.315,0.32,89300.0,
2020-04-15,,,,,,
2020-04-16,0.34,0.34,0.33,0.33,700600.0,
2020-04-17,0.33,0.33,0.33,0.33,6600.0,
2020-04-20,,,,,,
2020-04-21,,,,,,
2020-04-22,0.33,0.33,0.32,0.33,644300.0,
2020-04-23,0.33,0.33,0.3,0.325,320500.0,
2020-04-24,0.325,0.325,0.325,0.325,3250.0,
2020-04-27,0.33,0.33,0.3,0.305,681000.0,
2020-04-28,0.325,0.325,0.32,0.32,41650.0,
2020-04-29,0.32,0.32,0.3,0.3,6200.0,
2020-04-30,0.325,0.325,0.3,0.31,69800.0,
2020-05-04,0.33,0.33,0.3,0.31,129900.0,
2020-05-05,0.31,0.31,0.31,0.31,24800.0,
2020-05-06,0.315,0.315,0.3,0.3,18150.0,
2020-05-07,,,,,,
2020-05-08,0.3,0.3,0.3,0.3,69000.0,
2020-05-11,0.315,0.315,0.315,0.315,3150.0,
2020-05-12,,,,,,
2020-05-13,0.3,0.315,0.3,0.315,405550.0,
2020-05-14,0.285,0.285,0.285,0.285,2850.0,
2020-05-15,,,,,,
2020-05-18,0.3,0.31,0.29,0.31,303200.0,
2020-05-19,0.285,0.3,0.26,0.3,140550.0,
2020-05-20,0.31,0.31,0.31,0.31,31000.0,
2020-05-21,,,,,,
2020-05-22,0.28,0.285,0.28,0.285,101600.0,
2020-05-26,0.27,0.29,0.255,0.285,79250.0,
2020-05-27,0.265,0.29,0.265,0.29,5550.0,
2020-05-28,0.265,0.29,0.265,0.29,5550.0,
2020-05-29,,,,,,
2020-06-01,,,,,,
2020-06-02,0.285,0.295,0.285,0.295,17200.0,
2020-06-03,0.285,0.285,0.285,0.285,65550.0,
2020-06-04,0.28,0.32,0.28,0.315,256250.0,
2020-06-05,,,,,,
2020-06-08,0.315,0.32,0.315,0.32,70300.0,
2020-06-09,,,,,,
2020-06-10,,,,,,
2020-06-11,,,,,,
2020-06-15,,,,,,
2020-06-16,,,,,,
2020-06-17,0.31,0.31,0.3,0.3,183900.0,
2020-06-18,0.3,0.3,0.3,0.3,6000.0,
2020-06-19,0.3,0.3,0.3,0.3,18000.0,
2020-06-22,0.31,0.31,0.295,0.295,178500.0,
2020-06-23,,,,,,
2020-06-24,0.295,0.295,0.295,0.295,14750.0,
2020-06-25,,,,,,
2020-06-26,0.315,0.315,0.315,0.315,94500.0,
2020-06-29,,,,,,
2020-06-30,,,,,,
2020-07-01,0.3,0.3,0.3,0.3,153000.0,
2020-07-02,,,,,,
2020-07-03,0.29,0.29,0.29,0.29,145000.0,
2020-07-06,,,,,,
2020-07-07,0.29,0.29,0.29,0.29,60900.0,
2020-07-08,,,,,,
2020-07-09,,,,,,
2020-07-10,0.285,0.285,0.285,0.285,14250.0,
2020-07-13,0.28,0.28,0.28,0.28,5600.0,
2020-07-14,0.285,0.305,0.285,0.285,98950.0,
2020-07-15,0.285,0.285,0.285,0.285,17100.0,
2020-07-16,,,,,,
2020-07-17,0.31,0.31,0.31,0.31,15500.0,
2020-07-20,0.29,0.29,0.29,0.29,2900.0,
2020-07-21,,,,,,
2020-07-22,0.29,0.29,0.29,0.29,31900.0,
2020-07-23,0.29,0.29,0.29,0.29,281300.0,
2020-07-24,0.3,0.3,0.3,0.3,90000.0,
2020-07-27,0.29,0.29,0.29,0.29,8700.0,
2020-07-28,0.29,0.34,0.29,0.31,292750.0,
2020-07-29,0.29,0.29,0.29,0.29,8700.0,
2020-07-30,0.29,0.29,0.29,0.29,124700.0,
2020-08-03,0.29,0.29,0.285,0.29,258050.0,
2020-08-05,,,,0.29,,90000.0
2020-08-07,,,,0.29,,90000.0
2020-08-10,,,,0.3,,100000.0
2020-08-11,,,,0.3,,100000.0
2020-08-12,,,,0.3,,200000.0
2020-08-13,,,,0.3,,300000.0
2020-08-18,,,,0.29,,50000.0
2020-08-19,,,,0.29,,70000.0
2020-08-20,,,,0.285,,570000.0
2020-08-25,,,,0.285,,60000.0
2020-08-26,,,,0.29,,30000.0
2020-08-27,,,,0.285,,30000.0
2020-09-02,,,,0.285,,70000.0
2020-09-04,,,,0.285,,100000.0
2020-09-07,,,,0.285,,600000.0
2020-09-08,,,,0.285,,20000.0
2020-09-09,,,,0.285,,150000.0
2020-09-11,,,,0.285,,80000.0
2020-09-15,,,,0.305,,10000.0
2020-09-16,,,,0.285,,30000.0
2020-09-17,,,,0.29,,150000.0
2020-09-18,,,,0.29,,210000.0
2020-09-21,,,,0.28,,20000.0
2020-09-22,,,,0.28,,80000.0
2020-09-23,,,,0.29,,240000.0
2020-09-24,,,,0.295,,150000.0
2020-09-28,,,,0.3,,350000.0
