dt,open,high,low,close,value,volume
2020-03-02,9.8,9.8,9.8,9.8,9800.0,
2020-03-03,9.85,9.9,9.66,9.8,196713.0,
2020-03-04,9.65,9.65,9.6,9.65,106045.0,
2020-03-05,9.75,9.8,9.4,9.49,377020.0,
2020-03-06,9.8,9.8,9.4,9.5,213380.0,
2020-03-09,9.32,9.32,8.8,8.98,585122.0,
2020-03-10,8.89,9.0,8.89,8.9,271906.0,
2020-03-11,9.5,9.5,8.8,8.9,553809.0,
2020-03-12,8.79,8.79,8.02,8.02,49660.0,
2020-03-13,8.0,9.4,7.9,9.4,149200.0,
2020-03-16,,,,,,
2020-03-19,8.0,8.79,8.0,8.79,66390.0,
2020-03-20,8.0,9.38,8.0,9.38,27338.0,
2020-03-23,,,,,,
2020-03-24,,,,,,
2020-03-25,8.9,8.95,8.9,8.95,28490.0,
2020-03-26,9.0,9.38,8.95,9.38,106090.0,
2020-03-27,9.1,9.1,9.1,9.1,9100.0,
2020-03-30,,,,,,
2020-03-31,8.95,8.95,8.2,8.2,25495.0,
2020-04-01,8.95,8.95,8.2,8.95,87395.0,
2020-04-02,,,,,,
2020-04-03,,,,,,
2020-04-06,8.8,8.8,8.8,8.8,4400.0,
2020-04-07,8.5,8.7,8.5,8.7,63100.0,
2020-04-08,8.95,8.95,8.95,8.95,895.0,
2020-04-13,,,,,,
2020-04-14,8.7,8.95,8.7,8.95,18670.0,
2020-04-15,8.95,8.95,8.95,8.95,4475.0,
2020-04-16,8.95,8.95,8.95,8.95,9845.0,
2020-04-17,,,,,,
2020-04-20,,,,,,
2020-04-21,8.9,8.9,8.9,8.9,8010.0,
2020-04-22,,,,,,
2020-04-23,8.8,8.8,8.8,8.8,2640.0,
2020-04-24,8.88,8.88,8.88,8.88,11544.0,
2020-04-27,8.88,8.88,8.88,8.88,888.0,
2020-04-28,,,,,,
2020-04-29,8.88,8.88,8.88,8.88,1776.0,
2020-04-30,8.5,8.88,8.5,8.88,54774.0,
2020-05-04,8.82,8.86,8.25,8.86,22103.0,
2020-05-05,8.27,8.48,8.26,8.48,44897.0,
2020-05-06,8.3,8.3,8.3,8.3,23240.0,
2020-05-07,8.48,8.48,8.48,8.48,1696.0,
2020-05-08,8.48,8.48,8.48,8.48,848.0,
2020-05-11,8.48,8.48,8.48,8.48,4240.0,
2020-05-12,8.26,8.26,8.26,8.26,4956.0,
2020-05-13,8.3,8.32,8.3,8.3,29882.0,
2020-05-14,8.26,8.29,8.25,8.29,67755.0,
2020-05-15,8.29,8.29,8.29,8.29,3316.0,
2020-05-18,8.29,8.29,8.2,8.25,136025.0,
2020-05-19,8.84,8.84,8.84,8.84,884.0,
2020-05-20,8.84,8.84,8.25,8.25,105659.0,
2020-05-21,8.25,8.25,8.25,8.25,825.0,
2020-05-22,,,,,,
2020-05-26,,,,,,
2020-05-27,8.76,8.76,8.76,8.76,876.0,
2020-05-28,8.76,8.76,8.76,8.76,876.0,
2020-05-29,8.5,8.77,8.5,8.77,9377.0,
2020-06-01,8.5,8.77,8.5,8.77,11131.0,
2020-06-02,,,,,,
2020-06-03,8.34,8.8,8.34,8.8,19320.0,
2020-06-04,8.33,8.8,8.33,8.8,10502.0,
2020-06-05,8.8,8.8,8.8,8.8,3520.0,
2020-06-08,8.8,8.8,8.79,8.79,5279.0,
2020-06-09,8.78,8.8,8.41,8.8,34230.0,
