dt,open,high,low,close,value,volume
2020-03-02,4.0,4.7,3.9,4.7,393810.0,
2020-03-03,4.7,4.7,4.7,4.7,9400.0,
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,,,,,,
2020-03-09,4.0,4.55,4.0,4.55,26740.0,
2020-03-10,3.45,4.4,3.45,3.75,78000.0,
2020-03-11,3.25,4.17,3.2,4.17,165500.0,
2020-03-12,3.26,3.95,3.26,3.95,70590.0,
2020-03-13,3.21,3.22,3.2,3.22,73890.0,
2020-03-16,,,,,,
2020-03-19,3.2,3.2,3.0,3.2,80400.0,
2020-03-20,3.1,3.22,3.1,3.22,12640.0,
2020-03-23,3.22,4.5,3.22,4.5,19720.0,
2020-03-24,4.3,4.3,3.25,4.0,146810.0,
2020-03-25,3.8,3.99,3.8,3.99,19570.0,
2020-03-26,3.96,3.96,3.96,3.96,19800.0,
2020-03-27,3.93,3.93,3.8,3.8,50420.0,
2020-03-30,3.8,3.94,3.8,3.94,45990.0,
2020-03-31,3.94,4.0,3.9,4.0,207520.0,
2020-04-01,4.0,4.0,4.0,4.0,4000.0,
2020-04-02,,,,,,
2020-04-03,,,,,,
2020-04-06,3.99,3.99,3.99,3.99,3990.0,
2020-04-07,3.41,4.0,3.41,4.0,25180.0,
2020-04-08,3.6,3.99,3.6,3.99,18780.0,
2020-04-13,3.35,3.55,3.34,3.55,171360.0,
2020-04-14,3.75,3.75,3.25,3.63,604840.0,
2020-04-15,3.45,3.62,3.39,3.62,399810.0,
2020-04-16,3.4,3.4,3.35,3.4,88200.0,
2020-04-17,3.49,3.49,3.3,3.3,92590.0,
2020-04-20,3.3,3.44,3.06,3.06,239330.0,
2020-04-21,3.14,3.14,2.9,2.91,1119570.0,
2020-04-22,2.91,3.09,2.7,3.08,206010.0,
2020-04-23,3.08,3.15,3.08,3.14,34310.0,
2020-04-24,2.81,3.1,2.81,2.99,103920.0,
2020-04-27,3.03,3.09,2.83,3.06,81070.0,
2020-04-28,2.86,2.9,2.82,2.9,410200.0,
2020-04-29,2.82,2.97,2.82,2.94,435230.0,
2020-04-30,2.94,2.94,2.81,2.91,20130.0,
2020-05-04,2.81,2.87,2.79,2.87,53540.0,
2020-05-05,2.9,3.05,2.87,2.95,2309980.0,
2020-05-06,3.09,3.09,2.92,2.99,1664740.0,
2020-05-07,3.0,3.08,2.9,2.98,505740.0,
2020-05-08,2.98,2.98,2.81,2.9,159080.0,
2020-05-11,2.72,2.74,2.71,2.74,419590.0,
2020-05-12,2.73,2.78,2.58,2.69,1241580.0,
2020-05-13,2.69,2.69,2.54,2.65,35970.0,
2020-05-14,2.54,2.65,2.54,2.65,5190.0,
2020-05-15,2.56,2.59,2.56,2.58,28360.0,
2020-05-18,2.55,2.55,2.51,2.51,93500.0,
2020-05-19,2.5,2.5,2.26,2.37,201810.0,
2020-05-20,2.35,2.35,2.14,2.3,752560.0,
2020-05-21,2.28,2.29,2.28,2.29,13710.0,
2020-05-22,2.28,2.28,2.28,2.28,4560.0,
2020-05-26,2.2,2.2,2.09,2.09,228220.0,
2020-05-27,1.66,2.47,1.66,2.44,639600.0,
2020-05-28,2.4,2.66,2.4,2.59,222830.0,
2020-05-29,2.5,2.61,2.5,2.61,92150.0,
2020-06-01,2.31,2.49,2.21,2.45,333930.0,
2020-06-02,2.43,2.53,2.21,2.44,182630.0,
2020-06-03,2.37,2.42,2.12,2.39,162100.0,
2020-06-04,2.21,2.49,2.15,2.41,337980.0,
2020-06-05,2.41,2.41,2.18,2.36,234980.0,
2020-06-08,2.31,2.5,2.31,2.49,389390.0,
2020-06-09,2.37,2.69,2.37,2.68,849830.0,
2020-06-10,2.69,2.69,2.44,2.67,433720.0,
2020-06-11,2.48,2.86,2.43,2.85,941860.0,
2020-06-15,2.84,2.84,2.4,2.79,407950.0,
2020-06-16,2.5,2.87,2.5,2.84,553820.0,
2020-06-17,2.61,2.87,2.51,2.78,754360.0,
2020-06-18,2.7,2.94,2.61,2.79,2000830.0,
2020-06-19,2.8,2.87,2.32,2.5,1281420.0,
2020-06-22,2.5,2.91,2.4,2.85,1643440.0,
2020-06-23,2.92,3.49,2.92,3.09,9906680.0,
2020-06-24,3.16,3.26,2.85,2.87,3466480.0,
2020-06-25,2.85,2.93,2.6,2.86,2533640.0,
2020-06-26,2.86,2.94,2.62,2.64,957640.0,
2020-06-29,2.65,2.73,2.61,2.61,622530.0,
2020-06-30,2.6,2.7,2.39,2.7,1717630.0,
2020-07-01,2.7,2.7,2.45,2.6,516980.0,
2020-07-02,2.5,2.54,2.45,2.54,375130.0,
2020-07-03,2.59,2.59,2.46,2.52,241230.0,
2020-07-06,2.45,2.5,2.34,2.5,531860.0,
2020-07-07,2.39,2.48,2.21,2.38,1653160.0,
2020-07-08,2.38,2.38,2.3,2.36,353030.0,
2020-07-09,2.35,2.36,2.35,2.36,44800.0,
2020-07-10,2.35,2.35,2.23,2.35,78400.0,
2020-07-13,2.24,2.24,2.15,2.23,339210.0,
2020-07-14,2.2,2.2,2.12,2.15,159680.0,
2020-07-15,2.12,2.2,2.12,2.2,190350.0,
2020-07-16,2.1,2.33,2.1,2.25,72230.0,
2020-07-17,2.2,2.31,2.2,2.29,57090.0,
2020-07-20,2.29,2.32,2.29,2.3,20710.0,
2020-07-21,2.3,2.3,2.18,2.29,181700.0,
2020-07-22,2.29,2.29,2.29,2.29,61830.0,
2020-07-23,2.41,2.59,2.18,2.36,600500.0,
2020-07-24,2.36,2.36,2.29,2.36,93350.0,
2020-07-27,2.3,2.36,2.3,2.36,16400.0,
2020-07-28,2.15,2.34,2.12,2.34,34440.0,
2020-07-29,2.2,2.3,2.2,2.3,20050.0,
2020-07-30,2.19,2.29,2.18,2.28,77610.0,
2020-08-03,2.12,2.2,2.11,2.18,188390.0,
2020-08-04,,,,2.18,,10000.0
2020-08-05,,,,2.1,,19000.0
2020-08-06,,,,2.1,,28000.0
2020-08-07,,,,2.06,,69000.0
2020-08-10,,,,2.14,,17000.0
2020-08-11,,,,2.22,,49000.0
2020-08-12,,,,2.08,,28000.0
2020-08-13,,,,2.1,,17000.0
2020-08-14,,,,2.13,,274000.0
2020-08-17,,,,2.15,,32000.0
2020-08-18,,,,2.21,,2000.0
2020-08-19,,,,2.15,,36000.0
2020-08-20,,,,2.2,,8000.0
2020-08-25,,,,2.12,,12000.0
2020-08-26,,,,2.27,,33000.0
2020-08-27,,,,2.14,,14000.0
2020-08-28,,,,2.13,,11000.0
2020-09-01,,,,2.12,,23000.0
2020-09-02,,,,2.25,,2000.0
2020-09-03,,,,2.22,,6000.0
2020-09-04,,,,2.36,,22000.0
2020-09-07,,,,2.25,,26000.0
2020-09-08,,,,2.3,,24000.0
2020-09-10,,,,2.3,,5000.0
2020-09-11,,,,2.29,,16000.0
2020-09-14,,,,2.28,,3000.0
2020-09-15,,,,2.24,,20000.0
2020-09-16,,,,2.27,,43000.0
2020-09-17,,,,2.26,,3000.0
2020-09-18,,,,2.3,,13000.0
2020-09-21,,,,2.16,,23000.0
2020-09-22,,,,2.19,,61000.0
2020-09-23,,,,2.2,,94000.0
2020-09-24,,,,2.3,,49000.0
2020-09-25,,,,2.31,,17000.0
2020-09-28,,,,2.35,,57000.0
