dt,open,high,low,close,value,volume
2020-03-02,8.5,8.58,8.02,8.1,1034484.0,
2020-03-03,8.1,8.3,7.95,8.08,17077446.0,
2020-03-04,8.08,8.08,7.9,8.0,1452439.0,
2020-03-05,8.0,8.06,7.84,7.95,2068512.0,
2020-03-06,7.95,7.96,7.75,7.95,2640695.0,
2020-03-09,7.54,7.56,7.38,7.43,1454641.0,
2020-03-10,7.4,7.4,7.29,7.29,2342836.0,
2020-03-11,7.29,7.4,7.05,7.15,1494222.0,
2020-03-12,7.25,7.25,6.7,6.85,12009192.0,
2020-03-13,6.38,6.8,6.24,6.29,1327981.0,
2020-03-16,6.29,6.97,5.85,6.07,81956742.0,
2020-03-19,6.15,6.15,5.0,6.0,4514755.0,
2020-03-20,6.0,6.0,5.2,5.24,818002.0,
2020-03-23,5.24,5.24,4.55,5.0,1799513.0,
2020-03-24,5.5,5.5,4.71,4.71,4869446.0,
2020-03-25,5.01,5.01,4.9,4.95,2704850.0,
2020-03-26,5.05,5.09,5.0,5.03,3341070.0,
2020-03-27,5.21,5.3,5.0,5.11,6906985.0,
2020-03-30,5.04,5.04,4.88,4.91,1005858.0,
2020-03-31,5.11,5.27,4.91,4.93,1661780.0,
2020-04-01,5.0,5.02,4.54,4.7,17734910.0,
2020-04-02,4.79,4.89,4.7,4.75,2498060.0,
2020-04-03,4.89,4.95,4.79,4.84,2651710.0,
2020-04-06,4.91,4.91,4.85,4.9,5320300.0,
2020-04-07,5.01,5.18,5.01,5.1,29402640.0,
2020-04-08,5.18,5.18,5.01,5.12,28570713.0,
2020-04-13,5.2,5.62,5.2,5.36,33085673.0,
2020-04-14,5.46,5.79,5.4,5.58,66871283.0,
2020-04-15,5.85,6.5,5.85,6.08,73652626.0,
2020-04-16,6.27,6.28,5.85,6.0,39316372.0,
2020-04-17,6.12,6.2,6.0,6.0,15803758.0,
2020-04-20,6.03,6.14,6.01,6.12,8893767.0,
2020-04-21,6.14,6.18,5.75,5.84,15840614.0,
2020-04-22,5.8,5.8,5.59,5.8,6707308.0,
2020-04-23,5.85,6.07,5.85,6.02,5997422.0,
2020-04-24,6.12,6.12,5.87,5.97,2312577.0,
2020-04-27,6.03,6.43,6.0,6.41,17613390.0,
2020-04-28,6.6,6.68,6.42,6.5,14677128.0,
2020-04-29,6.62,6.85,6.4,6.82,9742241.0,
2020-04-30,6.96,6.99,6.71,6.78,7287932.0,
2020-05-04,6.68,6.68,6.3,6.4,11363051.0,
2020-05-05,6.4,6.8,6.39,6.8,13253702.0,
2020-05-06,6.8,6.84,6.5,6.6,3061069.0,
2020-05-07,6.6,6.6,6.41,6.47,2837446.0,
2020-05-08,6.5,6.5,6.38,6.47,4856496.0,
2020-05-11,6.54,6.7,6.48,6.5,4507596.0,
2020-05-12,6.61,6.61,6.48,6.49,2077154.0,
2020-05-13,6.5,6.54,6.4,6.52,2637113.0,
2020-05-14,6.59,6.6,6.33,6.37,4375790.0,
2020-05-15,6.37,6.45,6.05,6.07,9554917.0,
2020-05-18,6.1,6.29,5.6,5.75,10227053.0,
2020-05-19,5.99,5.99,5.8,5.84,1033908.0,
2020-05-20,5.83,5.84,5.65,5.69,4140145.0,
2020-05-21,5.8,5.83,5.69,5.75,4006247.0,
2020-05-22,5.8,5.8,5.67,5.67,2077721.0,
2020-05-26,5.67,5.68,5.47,5.51,5182603.0,
2020-05-27,5.51,5.6,5.51,5.57,981854.0,
2020-05-28,5.59,5.73,5.55,5.72,6186692.0,
2020-05-29,5.61,6.0,5.61,5.8,11376778.0,
2020-06-01,5.91,6.1,5.8,6.07,1551708.0,
2020-06-02,6.1,6.4,6.1,6.3,4765352.0,
2020-06-03,6.46,6.6,6.33,6.51,10014455.0,
2020-06-04,6.6,6.65,6.35,6.5,6082681.0,
2020-06-05,6.55,6.9,6.24,6.77,10322807.0,
2020-06-08,6.8,7.01,6.8,6.95,15426291.0,
2020-06-09,6.96,6.97,6.72,6.92,5140025.0,
2020-06-10,6.95,6.96,6.6,6.69,29219555.0,
2020-06-11,6.65,6.65,6.12,6.36,11303467.0,
2020-06-15,6.0,6.2,6.0,6.17,4393394.0,
2020-06-16,6.2,6.38,6.06,6.3,5805751.0,
2020-06-17,6.39,6.4,6.23,6.25,4313107.0,
2020-06-18,6.3,6.31,6.17,6.19,3372179.0,
2020-06-19,6.39,6.39,6.19,6.2,21805880.0,
2020-06-22,6.21,6.21,6.02,6.03,3956424.0,
2020-06-23,6.07,6.22,6.07,6.12,2796761.0,
2020-06-24,6.12,6.22,6.12,6.17,1542446.0,
2020-06-25,6.15,6.15,5.91,5.98,2185679.0,
2020-06-26,5.98,6.0,5.92,5.93,4892924.0,
2020-06-29,5.95,5.95,5.85,5.92,21642221.0,
2020-06-30,6.0,6.0,5.92,5.92,1722358.0,
2020-07-01,6.0,6.02,5.94,5.94,3457404.0,
2020-07-02,5.94,6.1,5.92,6.05,481294.0,
2020-07-03,6.05,6.11,6.05,6.07,2107934.0,
2020-07-06,6.12,6.14,6.05,6.07,6940854.0,
2020-07-07,6.14,6.17,6.1,6.15,5028484.0,
2020-07-08,6.17,6.3,6.15,6.3,6370565.0,
2020-07-09,6.34,6.39,6.2,6.2,3580477.0,
2020-07-10,6.2,6.2,6.01,6.01,11687338.0,
2020-07-13,6.1,6.1,6.04,6.05,16093085.0,
2020-07-14,6.05,6.12,6.05,6.12,9801203.0,
2020-07-15,6.14,6.2,6.08,6.1,4090996.0,
2020-07-16,6.05,6.18,6.05,6.06,3187250.0,
2020-07-17,6.06,6.18,6.05,6.05,8363233.0,
2020-07-20,6.05,6.21,6.01,6.2,6386354.0,
2020-07-21,6.19,6.3,6.13,6.2,2096593.0,
2020-07-22,6.1,6.2,6.1,6.14,4277931.0,
2020-07-23,6.14,6.14,6.0,6.0,5341569.0,
2020-07-24,6.0,6.07,6.0,6.07,280097.0,
2020-07-27,6.0,6.07,6.0,6.0,6649120.0,
2020-07-28,6.0,6.0,5.91,6.0,3278218.0,
2020-07-29,5.95,5.97,5.95,5.95,4234645.0,
2020-07-30,5.95,5.96,5.9,5.9,6902353.0,
2020-08-03,5.9,5.9,5.7,5.72,11784662.0,
2020-08-04,,,,5.62,,2232300.0
2020-08-05,,,,5.6,,2753800.0
2020-08-06,,,,5.6,,1634400.0
2020-08-07,,,,5.55,,1162800.0
2020-08-10,,,,5.4,,2192000.0
2020-08-11,,,,5.34,,500300.0
2020-08-12,,,,5.5,,345900.0
2020-08-13,,,,5.35,,2317200.0
2020-08-14,,,,5.31,,691100.0
2020-08-17,,,,5.34,,342300.0
2020-08-18,,,,5.5,,4105900.0
2020-08-19,,,,5.75,,1060900.0
2020-08-20,,,,5.55,,1090000.0
2020-08-24,,,,5.57,,264700.0
2020-08-25,,,,5.66,,507100.0
2020-08-26,,,,5.7,,512900.0
2020-08-27,,,,5.7,,743700.0
2020-08-28,,,,5.62,,235300.0
2020-09-01,,,,5.62,,397200.0
2020-09-02,,,,5.61,,386300.0
2020-09-03,,,,5.64,,368500.0
2020-09-04,,,,5.61,,1228500.0
2020-09-07,,,,5.8,,153500.0
2020-09-08,,,,5.84,,419700.0
2020-09-09,,,,6.05,,413000.0
2020-09-10,,,,6.04,,148900.0
2020-09-11,,,,5.91,,87000.0
2020-09-14,,,,6.05,,183600.0
2020-09-15,,,,5.98,,129500.0
2020-09-16,,,,5.92,,79500.0
2020-09-17,,,,5.85,,219800.0
2020-09-18,,,,5.93,,31600.0
2020-09-21,,,,5.93,,161400.0
2020-09-22,,,,5.94,,924400.0
2020-09-23,,,,5.98,,156900.0
2020-09-24,,,,5.82,,97300.0
2020-09-25,,,,5.9,,152100.0
2020-09-28,,,,5.84,,31500.0
