dt,open,high,low,close,value,volume
2020-03-02,0.52,0.53,0.51,0.52,24666780.0,
2020-03-03,0.475,0.495,0.465,0.475,13974980.0,
2020-03-04,0.46,0.485,0.45,0.46,2466850.0,
2020-03-05,0.475,0.475,0.465,0.47,4056400.0,
2020-03-06,0.465,0.465,0.445,0.445,3119200.0,
2020-03-09,0.445,0.445,0.37,0.38,3625950.0,
2020-03-10,0.38,0.39,0.3,0.37,2509200.0,
2020-03-11,0.37,0.38,0.35,0.37,2668550.0,
2020-03-12,0.37,0.37,0.325,0.33,8967350.0,
2020-03-13,0.325,0.35,0.305,0.34,3504750.0,
2020-03-16,0.315,0.33,0.3,0.33,2414500.0,
2020-03-19,0.3,0.31,0.28,0.29,2128150.0,
2020-03-20,0.315,0.315,0.29,0.3,465750.0,
2020-03-23,0.3,0.3,0.255,0.26,3287550.0,
2020-03-24,0.26,0.275,0.26,0.26,3576600.0,
2020-03-25,0.275,0.295,0.27,0.295,2166450.0,
2020-03-26,0.29,0.32,0.285,0.305,2242350.0,
2020-03-27,0.31,0.325,0.295,0.31,2817600.0,
2020-03-30,0.3,0.31,0.28,0.295,916950.0,
2020-03-31,0.31,0.315,0.295,0.305,392650.0,
2020-04-01,0.305,0.305,0.29,0.3,571650.0,
2020-04-02,0.3,0.3,0.295,0.3,611200.0,
2020-04-03,0.3,0.3,0.285,0.3,483250.0,
2020-04-06,0.3,0.3,0.29,0.3,1139300.0,
2020-04-07,0.3,0.31,0.295,0.3,2078450.0,
2020-04-08,0.3,0.305,0.295,0.3,1967550.0,
2020-04-13,0.31,0.31,0.295,0.305,3253050.0,
2020-04-14,0.3,0.315,0.295,0.31,4518800.0,
2020-04-15,0.315,0.33,0.315,0.33,4445850.0,
2020-04-16,0.335,0.335,0.315,0.32,1867850.0,
2020-04-17,0.325,0.33,0.315,0.315,1083450.0,
2020-04-20,0.32,0.33,0.315,0.315,1852850.0,
2020-04-21,0.325,0.325,0.3,0.315,4330650.0,
2020-04-22,0.305,0.315,0.305,0.315,1727550.0,
