dt,open,high,low,close,value,volume
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,,,,,,
2020-03-09,,,,,,
2020-03-10,,,,,,
2020-03-11,5.09,5.09,5.09,5.09,15270.0,
2020-03-12,,,,,,
2020-03-13,2.56,4.98,2.56,4.98,4078.0,
2020-03-16,,,,,,
2020-03-19,,,,,,
2020-03-20,4.95,4.95,4.95,4.95,4950.0,
2020-03-23,,,,,,
2020-03-24,4.94,4.94,4.94,4.94,9880.0,
2020-03-25,,,,,,
2020-03-26,,,,,,
2020-03-27,,,,,,
2020-03-30,,,,,,
2020-03-31,4.9,4.9,4.9,4.9,9800.0,
2020-04-01,,,,,,
2020-04-02,,,,,,
2020-04-03,,,,,,
2020-04-06,,,,,,
2020-04-07,,,,,,
2020-04-08,4.94,4.94,4.94,4.94,4940.0,
2020-04-13,,,,,,
2020-04-14,,,,,,
2020-04-15,,,,,,
2020-04-16,3.5,3.5,3.5,3.5,262500.0,
2020-04-17,4.01,4.01,4.0,4.0,20020.0,
2020-04-20,,,,,,
2020-04-21,,,,,,
2020-04-22,,,,,,
2020-04-23,,,,,,
2020-04-24,,,,,,
2020-04-27,,,,,,
2020-04-28,4.3,4.3,4.3,4.3,8600.0,
2020-04-29,,,,,,
2020-04-30,4.3,4.3,3.81,4.3,32930.0,
2020-05-04,3.83,3.83,3.83,3.83,15320.0,
2020-05-05,,,,,,
2020-05-06,,,,,,
2020-05-07,,,,,,
2020-05-08,4.02,4.02,4.02,4.02,4020.0,
2020-05-11,4.94,4.94,4.89,4.9,39270.0,
2020-05-12,4.9,4.9,4.89,4.89,29390.0,
2020-05-13,4.89,4.89,4.8,4.8,9690.0,
2020-05-14,,,,,,
2020-05-15,4.75,4.75,4.75,4.75,33250.0,
2020-05-18,4.7,4.7,3.96,4.55,36970.0,
2020-05-19,,,,,,
2020-05-20,,,,,,
2020-05-21,4.55,4.6,4.0,4.6,427250.0,
2020-05-22,,,,,,
2020-05-26,,,,,,
2020-05-27,4.6,4.6,4.6,4.6,23000.0,
2020-05-28,4.0,4.0,4.0,4.0,8000.0,
2020-05-29,4.5,4.5,4.5,4.5,9000.0,
2020-06-01,,,,,,
2020-06-02,,,,,,
2020-06-03,,,,,,
2020-06-04,4.05,4.05,4.05,4.05,4050.0,
2020-06-05,4.13,4.13,4.13,4.13,4130.0,
2020-06-08,,,,,,
2020-06-09,4.21,4.28,4.21,4.28,46660.0,
2020-06-10,,,,,,
2020-06-11,,,,,,
2020-06-15,3.97,3.97,3.97,3.97,23820.0,
2020-06-16,,,,,,
2020-06-17,4.01,4.01,4.01,4.01,16040.0,
2020-06-18,4.1,4.1,4.1,4.1,32800.0,
2020-06-19,4.2,4.2,4.2,4.2,4200.0,
2020-06-22,,,,,,
2020-06-23,,,,,,
2020-06-24,,,,,,
2020-06-25,,,,,,
2020-06-26,,,,,,
2020-06-29,,,,,,
2020-06-30,4.01,4.01,4.01,4.01,24060.0,
2020-07-01,,,,,,
2020-07-02,4.05,4.05,4.05,4.05,8100.0,
2020-07-03,,,,,,
2020-07-06,4.5,6.07,4.5,6.07,1491160.0,
2020-07-07,6.97,6.98,5.14,5.24,3285461.0,
2020-07-08,4.74,5.2,4.72,4.72,694415.0,
2020-07-09,4.73,4.73,4.47,4.5,158760.0,
2020-07-10,4.51,5.1,4.51,4.89,466080.0,
2020-07-13,4.99,4.99,4.41,4.86,303540.0,
2020-07-14,4.44,4.46,4.43,4.43,79960.0,
2020-07-15,4.42,4.57,4.41,4.56,75690.0,
2020-07-16,4.56,4.89,4.56,4.89,28030.0,
2020-07-17,,,,,,
2020-07-20,4.3,4.78,4.22,4.68,108300.0,
2020-07-21,4.86,4.86,4.3,4.73,23050.0,
2020-07-22,,,,,,
2020-07-23,4.72,5.48,4.36,4.88,174770.0,
2020-07-24,,,,,,
2020-07-27,4.01,4.87,4.01,4.87,13480.0,
2020-07-28,,,,,,
2020-07-29,,,,,,
2020-07-30,,,,,,
2020-08-03,4.01,4.83,4.01,4.83,21470.0,
2020-08-05,,,,4.78,,3000.0
2020-08-07,,,,4.75,,3000.0
2020-08-10,,,,4.7,,2000.0
2020-08-11,,,,4.67,,2000.0
2020-08-12,,,,4.76,,3000.0
2020-08-20,,,,4.68,,4000.0
2020-08-24,,,,4.64,,1000.0
2020-08-25,,,,4.62,,3000.0
2020-08-27,,,,4.71,,19000.0
2020-08-28,,,,4.64,,16000.0
2020-09-01,,,,4.39,,55000.0
2020-09-02,,,,4.43,,19000.0
2020-09-03,,,,4.69,,8000.0
2020-09-08,,,,4.96,,50000.0
2020-09-14,,,,4.94,,1000.0
2020-09-16,,,,4.9,,1000.0
2020-09-21,,,,4.88,,4000.0
2020-09-23,,,,4.88,,4000.0
2020-09-28,,,,4.87,,2000.0
