dt,open,high,low,close,value,volume
2020-03-02,28.65,28.65,27.9,28.25,5456370.0,
2020-03-03,28.6,28.6,28.1,28.15,10152535.0,
2020-03-04,28.15,28.25,27.85,28.15,15182175.0,
2020-03-05,28.2,28.35,28.1,28.2,13586935.0,
2020-03-06,28.95,28.95,28.0,28.0,5023150.0,
2020-03-09,28.0,28.0,26.4,26.9,4343185.0,
2020-03-10,26.5,27.35,25.0,26.9,3749735.0,
2020-03-11,27.8,28.0,27.0,27.5,1559055.0,
2020-03-12,27.7,27.7,25.5,25.6,23773400.0,
2020-03-13,25.0,25.0,22.0,24.35,27026590.0,
2020-03-16,24.15,24.35,23.0,24.0,3774325.0,
2020-03-19,23.0,23.0,19.9,20.45,13377770.0,
2020-03-20,24.7,24.7,19.0,20.0,8338353.0,
2020-03-23,20.0,20.0,18.5,18.6,14047296.0,
2020-03-24,20.8,20.9,18.5,18.54,44742660.0,
2020-03-25,18.8,19.46,18.8,19.24,7910892.0,
2020-03-26,19.46,20.05,19.42,19.98,2805867.0,
2020-03-27,20.0,21.5,19.82,20.0,14316815.0,
2020-03-30,21.0,21.0,19.62,19.62,1836576.0,
2020-03-31,20.1,20.75,19.9,20.05,14373375.0,
2020-04-01,20.2,20.95,19.42,19.42,26853342.0,
2020-04-02,19.44,19.44,18.8,19.12,6704820.0,
2020-04-03,19.12,19.2,18.9,19.0,58295204.0,
2020-04-06,19.46,19.5,19.08,19.4,7178658.0,
2020-04-07,19.52,20.2,19.52,19.82,9077000.0,
2020-04-08,19.98,20.15,19.6,19.86,28942460.0,
2020-04-13,20.0,21.9,20.0,21.0,13601480.0,
2020-04-14,21.1,23.3,21.1,22.85,15838310.0,
2020-04-15,23.0,24.2,23.0,24.0,49785940.0,
2020-04-16,23.9,24.0,22.5,23.8,19435715.0,
2020-04-17,23.8,24.8,23.8,24.75,27657605.0,
2020-04-20,25.1,25.6,24.55,24.9,8276175.0,
2020-04-21,24.6,24.6,23.5,24.2,11695140.0,
2020-04-22,23.7,23.7,23.0,23.5,4525540.0,
2020-04-23,23.6,24.5,23.05,23.4,6041025.0,
2020-04-24,23.4,23.9,23.4,23.5,1614620.0,
2020-04-27,23.4,23.5,22.6,22.75,4105520.0,
2020-04-28,22.85,23.25,22.8,23.15,1515900.0,
2020-04-29,23.15,23.4,23.15,23.4,247330.0,
2020-04-30,23.5,24.0,23.5,23.8,3641100.0,
2020-05-04,23.5,23.5,22.8,22.85,5783505.0,
2020-05-05,22.85,23.5,22.8,22.9,931460.0,
2020-05-06,23.0,23.3,22.8,23.1,1738150.0,
2020-05-07,23.15,23.15,22.6,22.6,1777170.0,
2020-05-08,23.15,23.15,22.75,22.85,1906360.0,
2020-05-11,22.85,23.1,22.75,22.85,1241885.0,
2020-05-12,22.8,22.8,22.2,22.25,5186795.0,
2020-05-13,23.0,23.0,21.7,21.75,4780415.0,
2020-05-14,22.4,22.4,20.75,21.0,9953340.0,
2020-05-15,21.0,22.1,20.5,20.5,9317455.0,
2020-05-18,21.2,21.2,20.4,20.5,1166525.0,
2020-05-19,20.85,21.1,20.75,20.75,11339395.0,
2020-05-20,21.2,21.2,19.12,20.2,13947460.0,
2020-05-21,20.45,20.75,20.0,20.05,4985990.0,
2020-05-22,20.1,20.55,20.0,20.0,3554050.0,
2020-05-26,20.3,20.5,19.5,19.56,2475970.0,
2020-05-27,19.7,19.7,19.5,19.62,1799416.0,
2020-05-28,19.7,20.8,19.7,20.75,1713463.0,
2020-05-29,20.85,21.95,20.8,21.5,3552670.0,
2020-06-01,21.75,21.9,21.6,21.7,4667585.0,
2020-06-02,22.0,22.0,21.3,21.3,6186070.0,
2020-06-03,21.3,22.8,21.3,22.8,10266930.0,
2020-06-04,23.0,24.2,22.95,23.1,36458870.0,
2020-06-05,23.9,23.9,22.5,23.45,18946905.0,
2020-06-08,23.8,23.9,22.2,23.3,36685395.0,
2020-06-09,23.3,23.7,22.95,23.2,11221685.0,
2020-06-10,23.7,24.15,22.05,22.3,12929905.0,
2020-06-11,22.3,22.4,21.9,22.0,18732000.0,
2020-06-15,22.0,22.0,20.8,21.0,19429080.0,
2020-06-16,21.0,21.35,20.9,21.0,13347420.0,
2020-06-17,21.3,22.0,21.3,21.4,6412660.0,
2020-06-18,21.5,21.5,21.0,21.2,25683080.0,
2020-06-19,21.5,21.5,21.05,21.1,5462135.0,
2020-06-22,21.25,21.25,20.85,21.0,18790325.0,
2020-06-23,21.15,21.25,21.0,21.1,2304510.0,
2020-06-24,21.15,21.25,20.9,21.05,25314760.0,
2020-06-25,21.05,21.05,20.25,20.25,20308055.0,
2020-06-26,21.0,21.0,20.3,20.6,3637310.0,
2020-06-29,20.5,20.5,19.92,20.0,15801828.0,
2020-06-30,20.1,20.5,20.05,20.05,9859180.0,
2020-07-01,20.1,21.25,20.0,21.0,34811915.0,
2020-07-02,21.25,21.5,21.05,21.2,14407240.0,
2020-07-03,21.25,21.55,21.2,21.25,10224910.0,
2020-07-06,21.25,21.3,20.4,20.7,2797555.0,
2020-07-07,20.75,22.05,20.75,21.6,20061670.0,
2020-07-08,21.8,21.8,21.4,21.4,1731255.0,
2020-07-09,21.35,21.4,20.6,20.75,57754160.0,
2020-07-10,20.8,20.95,20.1,20.9,5088125.0,
2020-07-13,20.9,21.0,20.05,20.1,38661325.0,
2020-07-14,20.5,20.8,20.1,20.1,13446595.0,
2020-07-15,20.1,20.15,19.98,19.98,61461515.0,
2020-07-16,20.15,20.3,20.05,20.15,3699050.0,
2020-07-17,20.5,20.5,19.96,19.96,6389542.0,
2020-07-20,19.98,20.3,19.96,20.3,6765827.0,
2020-07-21,20.2,20.5,20.0,20.0,4005175.0,
2020-07-22,20.1,20.45,20.0,20.1,1250320.0,
2020-07-23,20.05,20.1,19.82,20.0,21174325.0,
2020-07-24,20.0,20.0,19.88,19.9,2321434.0,
2020-07-27,19.9,20.25,19.7,19.78,4107934.0,
2020-07-28,19.7,19.8,19.68,19.78,1572624.0,
2020-07-29,20.1,20.1,19.76,19.76,1666382.0,
2020-07-30,19.8,19.8,19.76,19.8,1165442.0,
2020-08-03,19.7,19.7,19.56,19.58,2511770.0,
2020-08-04,,,,19.8,,31600.0
2020-08-05,,,,19.74,,62600.0
2020-08-06,,,,19.98,,31600.0
2020-08-07,,,,19.96,,53100.0
2020-08-10,,,,20.0,,58000.0
2020-08-11,,,,20.0,,127900.0
2020-08-12,,,,20.1,,1066100.0
2020-08-13,,,,19.98,,458400.0
2020-08-14,,,,20.25,,288400.0
2020-08-17,,,,19.9,,260400.0
2020-08-18,,,,19.86,,1356200.0
2020-08-19,,,,19.86,,135800.0
2020-08-20,,,,19.8,,135800.0
2020-08-24,,,,19.78,,89400.0
2020-08-25,,,,19.7,,227000.0
2020-08-26,,,,19.68,,94900.0
2020-08-27,,,,19.8,,87300.0
2020-08-28,,,,19.66,,150600.0
2020-09-01,,,,19.7,,251700.0
2020-09-02,,,,19.68,,49000.0
2020-09-03,,,,19.7,,672100.0
2020-09-04,,,,19.72,,15100.0
2020-09-07,,,,19.76,,240300.0
2020-09-08,,,,19.98,,174700.0
2020-09-09,,,,19.86,,2094800.0
2020-09-10,,,,22.9,,3031500.0
2020-09-11,,,,23.9,,5629000.0
2020-09-14,,,,23.85,,1156000.0
2020-09-15,,,,24.05,,3014500.0
2020-09-16,,,,24.0,,1069300.0
2020-09-17,,,,23.95,,1636200.0
2020-09-18,,,,23.95,,964100.0
2020-09-21,,,,23.45,,580200.0
2020-09-22,,,,23.9,,416700.0
