dt,open,high,low,close,value,volume
2020-03-02,10.42,10.42,10.12,10.24,2660684.0,
2020-03-03,10.36,10.5,10.36,10.5,107960.0,
2020-03-04,10.2,10.48,10.2,10.48,748600.0,
2020-03-05,10.18,10.5,10.18,10.5,1717896.0,
2020-03-06,10.22,10.5,10.22,10.4,1912594.0,
2020-03-09,10.24,10.24,10.0,10.18,499326.0,
2020-03-10,10.0,10.08,10.0,10.08,1504636.0,
2020-03-11,9.55,10.16,9.55,10.0,561495.0,
2020-03-12,9.52,9.94,9.5,9.88,1976320.0,
2020-03-13,9.0,9.8,6.61,9.64,2529087.0,
2020-03-16,9.6,9.8,8.8,9.77,2439274.0,
2020-03-19,9.5,9.5,9.3,9.45,278676.0,
2020-03-20,9.0,9.7,9.0,9.7,3675416.0,
2020-03-23,9.66,9.66,9.0,9.5,1237953.0,
2020-03-24,9.5,9.5,9.1,9.5,50310.0,
2020-03-25,9.4,9.65,9.3,9.65,2171092.0,
2020-03-26,9.5,10.0,9.01,10.0,3486252.0,
2020-03-27,9.5,9.98,9.4,9.98,1816118.0,
2020-03-30,9.5,10.0,9.1,10.0,1919145.0,
2020-03-31,9.5,10.2,9.5,10.2,1449300.0,
2020-04-01,10.2,10.5,10.2,10.5,145658.0,
2020-04-02,10.4,10.4,10.4,10.4,364000.0,
2020-04-03,10.3,10.7,10.3,10.3,123776.0,
2020-04-06,10.4,10.4,10.0,10.28,940980.0,
2020-04-07,10.0,10.5,10.0,10.28,767316.0,
2020-04-08,10.0,10.18,10.0,10.18,241856.0,
2020-04-13,10.0,10.18,9.8,10.18,438000.0,
2020-04-14,10.18,10.4,9.55,10.4,458453.0,
2020-04-15,10.4,10.98,10.16,10.98,1245356.0,
2020-04-16,10.98,10.98,10.2,10.5,427984.0,
2020-04-17,10.5,10.86,10.5,10.86,12426780.0,
2020-04-20,10.86,11.14,10.2,11.0,5154532.0,
2020-04-21,10.86,10.86,10.0,10.48,3579790.0,
2020-04-22,10.1,10.4,10.0,10.3,2900158.0,
2020-04-23,10.1,12.0,10.1,12.0,9245828.0,
2020-04-24,11.96,11.96,11.1,11.38,5852878.0,
2020-04-27,11.38,11.38,11.1,11.36,4532830.0,
2020-04-28,11.26,11.36,11.16,11.36,3227564.0,
2020-04-29,11.26,11.26,11.16,11.16,2388928.0,
2020-04-30,11.16,11.8,11.14,11.58,3132340.0,
2020-05-04,11.5,11.8,11.18,11.8,5990374.0,
2020-05-05,11.8,11.8,11.32,11.76,3919856.0,
2020-05-06,11.38,11.58,11.16,11.44,4095350.0,
2020-05-07,11.38,11.38,10.8,10.8,3371964.0,
2020-05-08,10.8,11.36,10.54,11.36,5288538.0,
2020-05-11,11.36,11.6,10.8,11.6,4182938.0,
2020-05-12,11.58,11.58,11.3,11.58,1192734.0,
2020-05-13,11.54,11.58,11.54,11.54,361894.0,
2020-05-14,11.54,11.54,11.22,11.5,945292.0,
2020-05-15,11.5,11.5,11.36,11.36,333842.0,
2020-05-18,11.1,11.3,11.0,11.14,824018.0,
2020-05-19,11.14,11.44,10.92,11.36,1023298.0,
2020-05-20,11.2,11.32,11.1,11.32,267694.0,
2020-05-21,11.4,11.4,11.32,11.32,71440.0,
2020-05-22,11.28,11.28,11.28,11.28,1128.0,
2020-05-26,11.28,11.28,11.0,11.18,1263950.0,
2020-05-27,11.18,11.2,10.92,11.08,1342992.0,
2020-05-28,11.0,11.18,11.0,11.18,617300.0,
2020-05-29,11.18,11.5,11.16,11.5,2513916.0,
2020-06-01,11.2,11.28,11.0,11.28,1316576.0,
2020-06-02,10.9,11.4,10.9,11.4,1139430.0,
2020-06-03,11.38,11.38,11.04,11.38,239598.0,
2020-06-04,11.38,11.5,11.2,11.5,3374802.0,
2020-06-05,11.4,11.4,10.8,10.9,12431094.0,
2020-06-08,11.0,11.3,10.9,11.0,14254514.0,
2020-06-09,10.92,11.26,10.9,11.26,1945860.0,
2020-06-10,11.28,11.28,11.0,11.2,222158.0,
2020-06-11,11.2,11.2,11.0,11.2,664498.0,
2020-06-15,11.2,11.2,11.0,11.0,31100.0,
2020-06-16,10.84,11.2,10.84,11.1,648738.0,
2020-06-17,10.9,11.18,10.9,11.18,1287568.0,
2020-06-18,10.64,11.2,10.64,11.2,1319810.0,
2020-06-19,11.0,11.2,11.0,11.2,2116262.0,
2020-06-22,11.0,11.5,11.0,11.5,3466048.0,
2020-06-23,11.16,11.5,11.12,11.5,1329764.0,
2020-06-24,11.5,11.5,11.14,11.46,2490378.0,
2020-06-25,11.06,11.46,11.06,11.46,151094.0,
2020-06-26,11.06,11.5,11.06,11.3,1128634.0,
2020-06-29,11.3,11.46,11.02,11.46,1291672.0,
2020-06-30,11.46,11.46,11.44,11.46,1732750.0,
2020-07-01,11.44,11.44,11.1,11.44,1618298.0,
2020-07-02,11.4,11.44,11.22,11.44,827700.0,
2020-07-03,11.44,11.44,11.16,11.44,935310.0,
2020-07-06,11.4,11.44,11.2,11.44,537848.0,
2020-07-07,11.36,11.4,11.2,11.4,1944608.0,
2020-07-08,11.36,11.44,11.36,11.44,113864.0,
2020-07-09,11.4,11.44,11.16,11.44,1940338.0,
2020-07-10,11.44,11.44,11.16,11.42,2739650.0,
2020-07-13,11.3,11.44,11.2,11.44,1947552.0,
2020-07-14,11.4,11.44,11.14,11.4,1839122.0,
2020-07-15,11.38,11.42,11.36,11.42,1717322.0,
2020-07-16,11.1,11.42,11.1,11.4,2634356.0,
2020-07-17,11.4,11.4,11.0,11.38,6553810.0,
2020-07-20,11.38,11.4,11.38,11.4,187784.0,
2020-07-21,11.1,11.38,11.1,11.36,684278.0,
2020-07-22,11.02,11.4,11.02,11.38,2280706.0,
2020-07-23,11.2,11.38,11.08,11.38,698210.0,
2020-07-24,11.34,11.4,11.34,11.4,13082814.0,
2020-07-27,11.38,11.4,11.38,11.4,689496.0,
2020-07-28,11.4,11.4,11.16,11.38,30564.0,
2020-07-29,11.1,11.4,11.1,11.4,848740.0,
2020-07-30,11.1,11.4,11.1,11.4,193714.0,
2020-08-03,11.02,11.4,11.02,11.4,212254.0,
2020-08-04,,,,11.4,,10200.0
2020-08-05,,,,11.4,,89000.0
2020-08-06,,,,11.4,,68100.0
2020-08-07,,,,11.38,,18100.0
2020-08-10,,,,11.4,,22000.0
2020-08-11,,,,11.4,,108100.0
2020-08-12,,,,11.3,,163900.0
2020-08-13,,,,11.4,,123400.0
2020-08-14,,,,11.34,,65400.0
2020-08-17,,,,11.34,,72700.0
2020-08-18,,,,11.36,,185900.0
2020-08-19,,,,11.34,,100000.0
2020-08-20,,,,11.28,,240900.0
2020-08-24,,,,11.2,,27000.0
2020-08-25,,,,11.2,,30600.0
2020-08-26,,,,11.18,,132000.0
2020-08-27,,,,11.2,,81200.0
2020-08-28,,,,11.3,,67800.0
2020-09-01,,,,11.0,,302800.0
2020-09-02,,,,11.0,,80600.0
2020-09-03,,,,11.0,,84300.0
2020-09-04,,,,11.0,,148100.0
2020-09-07,,,,11.0,,14800.0
2020-09-08,,,,11.0,,143400.0
2020-09-09,,,,11.0,,104500.0
2020-09-10,,,,11.0,,9500.0
2020-09-11,,,,11.0,,186400.0
2020-09-14,,,,10.98,,125500.0
2020-09-15,,,,10.96,,82200.0
2020-09-16,,,,10.96,,10100.0
2020-09-17,,,,10.96,,148300.0
2020-09-18,,,,10.98,,83200.0
2020-09-21,,,,10.98,,65100.0
2020-09-22,,,,10.98,,75300.0
2020-09-23,,,,10.96,,80100.0
2020-09-24,,,,10.96,,200.0
2020-09-25,,,,10.98,,70300.0
2020-09-28,,,,10.96,,49000.0
