dt,open,high,low,close,value,volume
2020-03-02,4.73,4.73,4.7,4.7,5208540.0,
2020-03-03,4.88,4.88,4.88,4.88,9760.0,
2020-03-04,4.85,4.85,4.85,4.85,4850.0,
2020-03-05,,,,,,
2020-03-06,4.75,4.75,4.75,4.75,712500.0,
2020-03-09,4.62,4.62,4.5,4.5,1762020.0,
2020-03-10,,,,,,
2020-03-11,4.5,4.5,4.5,4.5,3078000.0,
2020-03-12,4.3,4.49,4.2,4.2,2109240.0,
2020-03-13,3.8,4.0,3.8,3.9,105400.0,
2020-03-16,3.9,3.9,3.9,3.9,58500.0,
2020-03-19,,,,,,
2020-03-20,3.82,3.82,3.82,3.82,7640.0,
2020-03-23,3.85,3.85,3.82,3.82,103380.0,
2020-03-24,,,,,,
2020-03-25,3.9,4.0,3.9,4.0,39800.0,
2020-03-26,3.9,4.1,3.9,4.1,16000.0,
2020-03-27,,,,,,
2020-03-30,4.09,4.1,4.09,4.1,24580.0,
2020-03-31,4.1,4.1,4.1,4.1,24600.0,
2020-04-01,4.28,4.3,4.28,4.3,60160.0,
2020-04-02,4.3,4.3,4.3,4.3,51600.0,
2020-04-03,,,,,,
2020-04-06,4.38,4.4,4.38,4.4,571200.0,
2020-04-07,4.4,4.5,4.38,4.5,164780.0,
2020-04-08,,,,,,
2020-04-13,,,,,,
2020-04-14,4.77,4.77,4.6,4.6,14070.0,
2020-04-15,4.77,4.77,4.6,4.6,127140.0,
2020-04-16,4.23,4.23,4.23,4.23,4230.0,
2020-04-17,4.23,4.23,4.23,4.23,42300.0,
2020-04-20,,,,,,
2020-04-21,4.24,4.24,4.03,4.22,358250.0,
2020-04-22,4.24,4.24,4.04,4.04,192390.0,
2020-04-23,4.22,4.23,4.19,4.2,732510.0,
2020-04-24,,,,,,
2020-04-27,4.2,4.2,4.2,4.2,3234000.0,
2020-04-28,4.2,4.21,4.2,4.21,25210.0,
2020-04-29,4.21,4.21,4.2,4.2,1247420.0,
2020-04-30,,,,,,
2020-05-04,4.23,4.23,4.23,4.23,59220.0,
2020-05-05,4.23,4.24,4.2,4.2,155820.0,
2020-05-06,4.21,4.21,4.21,4.21,4210.0,
2020-05-07,4.2,4.2,4.2,4.2,449400.0,
2020-05-08,,,,,,
2020-05-11,,,,,,
2020-05-12,,,,,,
2020-05-13,4.41,4.41,4.23,4.23,116730.0,
2020-05-14,4.23,4.36,4.22,4.22,107000.0,
2020-05-15,,,,,,
2020-05-18,4.59,4.59,4.3,4.5,40620.0,
2020-05-19,,,,,,
2020-05-20,,,,,,
2020-05-21,,,,,,
2020-05-22,4.5,4.5,4.3,4.3,99500.0,
2020-05-26,4.3,4.3,4.3,4.3,8600.0,
2020-05-27,4.3,4.3,4.29,4.3,21310770.0,
2020-05-28,4.4,4.4,4.3,4.3,1225600.0,
2020-05-29,4.32,4.32,4.3,4.3,619680.0,
2020-06-01,4.4,4.4,4.3,4.4,21668960.0,
2020-06-02,4.38,4.38,4.3,4.3,12037340.0,
