dt,open,high,low,close,value,volume
2020-03-02,1.03,1.03,1.01,1.01,92950.0,
2020-03-03,1.05,1.05,1.0,1.0,134220.0,
2020-03-04,1.05,1.15,0.99,1.04,822650.0,
2020-03-05,1.06,1.06,1.02,1.02,23620.0,
2020-03-06,1.0,1.03,0.99,0.99,158570.0,
2020-03-09,1.04,1.04,1.01,1.01,14440.0,
2020-03-10,0.82,0.95,0.82,0.95,7510.0,
2020-03-11,1.0,1.0,0.95,0.95,10600.0,
2020-03-12,0.87,0.9,0.76,0.76,435350.0,
2020-03-13,0.75,0.79,0.75,0.79,51840.0,
2020-03-16,,,,,,
2020-03-19,,,,,,
2020-03-20,,,,,,
2020-03-23,0.9,0.9,0.68,0.7,107280.0,
2020-03-24,,,,,,
2020-03-25,0.73,0.74,0.7,0.7,5830.0,
2020-03-26,0.74,0.83,0.74,0.75,50320.0,
2020-03-27,0.75,0.76,0.75,0.75,6770.0,
2020-03-30,0.83,0.83,0.83,0.83,830.0,
2020-03-31,0.83,0.83,0.8,0.82,8870.0,
2020-04-01,,,,,,
2020-04-02,0.75,0.75,0.75,0.75,97500.0,
2020-04-03,,,,,,
2020-04-06,0.69,0.75,0.69,0.75,221370.0,
2020-04-07,0.72,0.72,0.72,0.72,19440.0,
2020-04-08,,,,,,
2020-04-13,0.72,0.74,0.71,0.72,39080.0,
2020-04-14,0.72,0.79,0.72,0.77,25880.0,
2020-04-15,0.79,0.8,0.75,0.79,178320.0,
2020-04-16,0.75,0.78,0.72,0.75,79820.0,
2020-04-17,0.73,0.76,0.73,0.75,72180.0,
2020-04-20,0.73,0.74,0.73,0.74,139800.0,
2020-04-21,0.72,0.73,0.72,0.73,94700.0,
2020-04-22,0.73,0.79,0.71,0.77,641820.0,
2020-04-23,0.82,0.88,0.8,0.8,875640.0,
2020-04-24,0.81,0.81,0.72,0.8,317860.0,
2020-04-27,0.82,0.9,0.76,0.86,1259870.0,
2020-04-28,0.89,0.89,0.81,0.84,375410.0,
2020-04-29,0.84,0.85,0.81,0.85,94160.0,
2020-04-30,0.8,0.83,0.8,0.82,88970.0,
2020-05-04,0.82,0.82,0.77,0.81,273210.0,
2020-05-05,0.78,0.81,0.78,0.81,96210.0,
2020-05-06,0.89,0.98,0.83,0.88,1267040.0,
2020-05-07,0.88,0.88,0.82,0.84,241200.0,
2020-05-08,0.83,0.83,0.81,0.83,119310.0,
2020-05-11,0.83,0.85,0.81,0.85,220910.0,
2020-05-12,0.85,0.85,0.8,0.84,41850.0,
2020-05-13,,,,,,
2020-05-14,0.78,0.8,0.78,0.8,52160.0,
