dt,open,high,low,close,value,volume
2020-03-02,2.09,2.09,2.04,2.05,1400380.0,
2020-03-03,2.05,2.08,2.05,2.05,162000.0,
2020-03-04,2.05,2.06,2.04,2.06,2152440.0,
2020-03-05,2.06,2.09,2.05,2.06,4262660.0,
2020-03-06,2.07,2.08,2.05,2.05,3620610.0,
2020-03-09,2.05,2.06,2.04,2.05,5461690.0,
2020-03-10,2.05,2.05,2.03,2.03,939030.0,
2020-03-11,2.04,2.05,2.03,2.05,728290.0,
2020-03-12,2.04,2.04,1.3,1.42,7285630.0,
2020-03-13,1.3,1.89,1.08,1.8,1178750.0,
2020-03-16,1.69,1.7,1.5,1.7,33390.0,
2020-03-19,1.65,1.65,1.55,1.64,186500.0,
2020-03-20,1.63,1.65,1.5,1.62,22850.0,
2020-03-23,1.5,1.62,1.45,1.6,67200.0,
2020-03-24,,,,,,
2020-03-25,1.6,1.7,1.6,1.7,46500.0,
2020-03-26,,,,,,
2020-03-27,,,,,,
2020-03-30,1.7,1.7,1.69,1.69,86300.0,
2020-03-31,1.75,1.75,1.6,1.71,75790.0,
2020-04-01,1.7,1.71,1.7,1.7,42560.0,
2020-04-02,1.7,1.7,1.7,1.7,1700.0,
2020-04-03,1.7,1.7,1.7,1.7,6800.0,
2020-04-06,1.73,1.74,1.55,1.73,41920.0,
2020-04-07,1.73,1.73,1.73,1.73,8650.0,
2020-04-08,1.73,1.74,1.73,1.74,17310.0,
2020-04-13,1.74,1.75,1.74,1.75,10450.0,
2020-04-14,1.74,1.75,1.74,1.75,34900.0,
2020-04-15,1.6,1.77,1.6,1.74,81490.0,
2020-04-16,1.74,1.77,1.63,1.74,55590.0,
2020-04-17,1.72,1.73,1.72,1.73,70880.0,
2020-04-20,1.74,1.77,1.74,1.77,19200.0,
2020-04-21,1.77,1.77,1.57,1.6,558420.0,
2020-04-22,1.6,1.6,1.6,1.6,96000.0,
2020-04-23,1.68,1.68,1.53,1.65,49650.0,
2020-04-24,1.52,1.65,1.49,1.51,1043380.0,
2020-04-27,1.52,1.52,1.48,1.5,87070.0,
2020-04-28,1.51,1.52,1.5,1.5,177810.0,
2020-04-29,1.52,1.52,1.52,1.52,1520.0,
2020-04-30,1.51,1.51,1.49,1.51,13510.0,
2020-05-04,1.48,1.5,1.43,1.5,90610.0,
2020-05-05,1.51,1.51,1.5,1.5,9040.0,
2020-05-06,1.47,1.49,1.46,1.48,23690.0,
2020-05-07,1.5,1.5,1.4,1.49,137410.0,
2020-05-08,1.48,1.49,1.48,1.49,13330.0,
2020-05-11,1.49,1.49,1.48,1.48,25190.0,
2020-05-12,1.49,1.5,1.49,1.49,37260.0,
2020-05-13,1.46,1.49,1.46,1.49,16090.0,
2020-05-14,1.49,1.49,1.49,1.49,5960.0,
2020-05-15,,,,,,
2020-05-18,1.46,1.5,1.43,1.5,60360.0,
2020-05-19,1.43,1.5,1.4,1.5,50310.0,
2020-05-20,,,,,,
2020-05-21,1.46,1.5,1.46,1.5,7340.0,
2020-05-22,,,,,,
2020-05-26,1.45,1.5,1.45,1.5,16000.0,
2020-05-27,1.45,1.49,1.44,1.49,8700.0,
2020-05-28,1.44,1.49,1.44,1.49,7250.0,
2020-05-29,1.44,1.48,1.44,1.48,15970.0,
2020-06-01,1.48,1.48,1.47,1.47,148480.0,
2020-06-02,1.45,1.45,1.41,1.42,109820.0,
2020-06-03,1.4,1.5,1.4,1.45,31200.0,
2020-06-04,1.47,1.47,1.44,1.44,178600.0,
2020-06-05,1.44,1.51,1.4,1.51,318850.0,
2020-06-08,1.52,1.52,1.42,1.5,159270.0,
2020-06-09,1.5,1.5,1.45,1.5,64200.0,
2020-06-10,1.43,1.49,1.43,1.49,35810.0,
