dt,open,high,low,close,value,volume
2020-03-02,50.0,51.0,49.0,50.0,87920.0,
2020-03-03,51.9,51.9,50.0,50.4,24865.0,
2020-03-04,,,,,,
2020-03-05,50.35,51.4,50.0,51.4,18143.5,
2020-03-06,50.05,50.05,50.0,50.05,36535.0,
2020-03-09,50.05,50.05,46.0,49.5,184868.5,
2020-03-10,47.0,49.4,47.0,49.3,38530.0,
2020-03-11,49.0,49.0,49.0,49.0,24500.0,
2020-03-12,49.0,49.0,45.1,45.1,93540.0,
2020-03-13,45.0,45.0,34.05,43.95,75240.0,
2020-03-16,43.95,43.95,40.1,40.15,60585.0,
2020-03-19,40.15,40.15,38.0,38.0,74545.0,
2020-03-20,36.55,39.0,36.0,36.0,315095.0,
2020-03-23,,,,,,
2020-03-24,,,,,,
2020-03-25,36.05,36.15,34.2,34.2,213715.0,
2020-03-26,38.95,40.0,36.0,38.5,70660.0,
2020-03-27,38.5,46.15,38.5,45.75,26095.0,
2020-03-30,45.4,45.4,44.65,44.65,40330.0,
2020-03-31,,,,,,
2020-04-01,44.9,44.9,44.9,44.9,17960.0,
2020-04-02,42.5,42.5,42.45,42.45,25490.0,
2020-04-03,42.45,42.45,42.0,42.0,101710.0,
2020-04-06,42.0,42.0,42.0,42.0,4200.0,
2020-04-07,43.95,43.95,43.95,43.95,13185.0,
2020-04-08,43.5,43.5,43.45,43.45,34780.0,
2020-04-13,43.0,43.0,43.0,43.0,12900.0,
2020-04-14,43.0,43.0,42.95,43.0,68780.0,
2020-04-15,42.5,44.0,42.1,44.0,78150.0,
2020-04-16,43.95,43.95,43.95,43.95,57135.0,
2020-04-17,,,,,,
2020-04-20,43.0,43.0,42.5,42.5,59680.0,
2020-04-21,42.5,42.5,42.0,42.0,84150.0,
2020-04-22,42.5,42.5,41.0,41.0,209045.0,
2020-04-23,41.1,41.1,40.7,40.7,535580.0,
2020-04-24,41.2,42.45,41.0,41.0,103735.0,
2020-04-27,41.0,41.0,40.1,40.1,333670.0,
2020-04-28,40.5,40.5,40.45,40.5,149830.0,
2020-04-29,42.45,42.5,42.45,42.5,259160.0,
2020-04-30,42.5,43.9,42.5,43.9,621890.0,
2020-05-04,43.1,43.25,43.0,43.0,81800.0,
2020-05-05,43.45,43.45,43.45,43.45,8690.0,
2020-05-06,43.45,43.45,42.65,42.65,17140.0,
2020-05-07,42.65,42.65,42.65,42.65,25590.0,
2020-05-08,42.7,43.5,42.7,42.7,124540.0,
2020-05-11,42.7,42.7,42.65,42.7,247590.0,
2020-05-12,42.7,43.5,42.0,43.0,47160.0,
2020-05-13,,,,,,
2020-05-14,43.45,43.45,42.6,43.45,73395.0,
2020-05-15,42.1,42.5,42.1,42.15,97290.0,
2020-05-18,,,,,,
2020-05-19,42.0,43.45,42.0,43.45,34095.0,
2020-05-20,,,,,,
2020-05-21,43.5,43.5,43.45,43.5,86985.0,
2020-05-22,43.45,43.5,42.95,43.0,142035.0,
2020-05-26,43.5,43.5,43.0,43.05,211030.0,
2020-05-27,,,,,,
2020-05-28,43.5,43.5,43.5,43.5,34800.0,
2020-05-29,43.5,43.5,43.5,43.5,43500.0,
2020-06-01,43.5,44.0,43.5,44.0,35150.0,
2020-06-02,44.0,44.0,44.0,44.0,30800.0,
2020-06-03,44.0,44.25,44.0,44.25,145410.0,
2020-06-04,44.8,53.0,44.8,52.0,71660.0,
2020-06-05,52.0,52.0,47.5,48.0,906526.5,
2020-06-08,49.3,49.3,48.8,49.0,151830.0,
2020-06-09,46.3,49.45,46.3,49.25,38895.0,
2020-06-10,48.5,49.0,48.3,48.3,48660.0,
2020-06-11,48.0,48.85,47.15,47.2,90405.0,
2020-06-15,48.35,48.35,47.0,47.0,193105.0,
2020-06-16,47.1,47.1,47.1,47.1,47100.0,
2020-06-17,47.25,47.25,47.1,47.1,28275.0,
2020-06-18,47.15,47.5,47.15,47.5,9465.0,
2020-06-19,49.45,49.45,48.0,48.25,43420.0,
2020-06-22,48.2,49.0,48.2,49.0,53820.0,
2020-06-23,48.05,48.05,47.9,47.9,28780.0,
2020-06-24,47.9,49.3,47.9,49.3,24250.0,
2020-06-25,49.25,49.25,49.25,49.25,14775.0,
2020-06-26,49.25,49.25,48.6,48.8,97605.0,
2020-06-29,48.5,48.5,48.05,48.45,125525.0,
2020-06-30,48.5,49.0,48.15,48.15,43630.0,
2020-07-01,48.3,48.3,48.15,48.2,72305.0,
2020-07-02,48.2,48.95,48.05,48.95,33830.0,
2020-07-03,48.95,48.95,48.0,48.0,91635.0,
2020-07-06,48.95,48.95,47.0,47.2,360330.0,
2020-07-07,47.2,47.5,47.0,47.0,522230.0,
2020-07-08,47.25,47.85,47.0,47.85,423195.0,
2020-07-09,47.85,47.85,47.85,47.85,28710.0,
2020-07-10,47.95,47.95,47.95,47.95,9590.0,
2020-07-13,47.95,48.0,47.95,47.95,62360.0,
2020-07-14,47.95,47.95,47.95,47.95,9590.0,
2020-07-15,47.95,48.0,47.95,48.0,57590.0,
2020-07-16,,,,,,
2020-07-17,47.3,48.0,47.0,47.15,499135.0,
2020-07-20,47.5,47.5,47.2,47.2,56760.0,
2020-07-21,47.5,48.0,47.05,47.05,245180.0,
2020-07-22,47.95,48.0,47.95,47.95,33570.0,
2020-07-23,47.1,47.1,47.05,47.05,61185.0,
2020-07-24,47.2,47.5,47.2,47.5,9470.0,
2020-07-27,47.1,48.5,47.1,47.5,115100.0,
2020-07-28,48.0,48.0,47.5,47.95,42950.0,
2020-07-29,48.0,48.0,48.0,48.0,14400.0,
2020-07-30,48.0,48.95,48.0,48.05,116290.0,
2020-08-03,48.05,48.95,48.0,48.0,207130.0,
2020-08-04,,,,47.0,,3000.0
2020-08-05,,,,47.25,,600.0
2020-08-07,,,,47.2,,600.0
2020-08-10,,,,47.5,,600.0
2020-08-11,,,,47.95,,400.0
2020-08-12,,,,47.8,,200.0
2020-08-13,,,,47.7,,300.0
2020-08-17,,,,48.0,,300.0
2020-08-18,,,,48.0,,200.0
2020-08-19,,,,48.75,,600.0
2020-08-24,,,,48.0,,100.0
2020-08-25,,,,48.6,,200.0
2020-08-26,,,,48.95,,800.0
2020-08-27,,,,48.95,,1300.0
2020-08-28,,,,48.3,,800.0
2020-09-01,,,,49.0,,1400.0
2020-09-02,,,,49.75,,500.0
2020-09-03,,,,49.7,,1000.0
2020-09-04,,,,49.7,,200.0
2020-09-07,,,,49.7,,1300.0
2020-09-08,,,,49.5,,300.0
2020-09-09,,,,49.8,,1700.0
2020-09-10,,,,49.7,,1500.0
2020-09-11,,,,49.7,,2200.0
2020-09-14,,,,49.1,,300.0
2020-09-15,,,,49.9,,300.0
2020-09-16,,,,49.55,,800.0
2020-09-17,,,,49.95,,2300.0
2020-09-18,,,,49.95,,400.0
2020-09-21,,,,49.95,,400.0
2020-09-22,,,,49.95,,1900.0
2020-09-23,,,,50.0,,1800.0
2020-09-24,,,,50.05,,730.0
2020-09-25,,,,52.0,,550.0
2020-09-28,,,,51.9,,690.0
