dt,open,high,low,close,value,volume
2020-03-02,172.0,172.0,167.1,167.3,175457.0,
2020-03-03,167.4,167.4,160.0,160.0,950513.0,
2020-03-04,160.1,160.1,155.0,155.0,823586.0,
2020-03-05,155.0,165.0,152.9,153.1,798542.0,
2020-03-06,153.1,167.0,153.1,167.0,1493959.0,
2020-03-09,170.0,170.0,148.0,148.0,1059637.0,
2020-03-10,148.0,153.0,148.0,153.0,298600.0,
2020-03-11,150.0,153.0,150.0,150.3,88692.0,
2020-03-12,152.5,152.5,149.5,149.5,3432000.0,
2020-03-13,149.0,149.0,147.0,148.0,312240.0,
2020-03-16,150.0,150.0,149.0,149.0,38865.0,
2020-03-19,148.0,149.0,145.8,148.5,69551.0,
2020-03-20,145.8,148.5,132.0,132.1,310259.0,
2020-03-23,133.0,145.0,133.0,145.0,57403.0,
2020-03-24,149.5,164.0,149.5,150.1,1097446.0,
2020-03-25,155.1,179.0,155.1,156.5,1076901.0,
2020-03-26,179.0,179.0,155.1,172.0,131264.0,
2020-03-27,176.0,176.9,171.0,172.0,499750.0,
2020-03-30,170.0,170.0,157.1,168.9,460846.0,
2020-03-31,167.0,168.8,165.0,168.8,83486.0,
2020-04-01,168.7,168.8,157.0,168.0,14931.0,
2020-04-02,168.0,168.0,168.0,168.0,3360.0,
2020-04-03,168.0,169.5,168.0,169.5,20215.0,
2020-04-06,169.5,170.0,167.5,167.5,71045.0,
2020-04-07,170.0,170.0,169.0,169.5,285045.0,
2020-04-08,169.5,169.5,169.0,169.3,72816.0,
2020-04-13,169.3,169.5,169.0,169.0,18607.0,
2020-04-14,170.0,170.0,160.0,162.1,213995.0,
2020-04-15,162.2,169.9,162.1,169.2,140786.0,
2020-04-16,169.0,169.0,162.0,165.0,94223.0,
2020-04-17,162.2,163.0,162.2,163.0,16292.0,
2020-04-20,163.1,169.0,163.1,165.0,28231.0,
2020-04-21,163.0,165.0,162.2,163.0,198760.0,
2020-04-22,163.0,168.9,163.0,168.8,61697.0,
2020-04-23,163.0,163.0,162.0,162.5,19470.0,
2020-04-24,162.5,163.0,162.5,163.0,56980.0,
2020-04-27,165.0,166.9,165.0,166.0,140699.0,
2020-04-28,166.0,166.5,166.0,166.5,14980.0,
2020-04-29,167.9,167.9,166.5,166.5,28485.0,
2020-04-30,165.0,168.9,165.0,168.9,207225.0,
2020-05-04,168.8,168.9,164.0,168.9,20175.0,
2020-05-05,169.0,169.0,165.0,165.0,56450.0,
2020-05-06,168.9,168.9,166.0,168.9,55158.0,
2020-05-07,168.8,168.8,168.7,168.7,21937.0,
2020-05-08,168.9,168.9,168.8,168.8,86117.0,
2020-05-11,168.8,169.8,168.5,168.5,366680.0,
2020-05-12,168.5,168.5,168.5,168.5,1685.0,
2020-05-13,168.5,168.5,168.5,168.5,15165.0,
2020-05-14,169.5,169.5,169.5,169.5,61020.0,
2020-05-15,169.5,169.5,168.5,169.0,104870.0,
2020-05-18,169.0,169.5,169.0,169.0,113410.0,
2020-05-19,169.0,174.0,169.0,169.0,721510.0,
2020-05-20,169.0,169.0,169.0,169.0,8450.0,
2020-05-21,169.0,169.7,169.0,169.0,6767.0,
2020-05-22,169.7,169.7,169.0,169.0,8457.0,
2020-05-26,173.9,173.9,165.0,165.0,127337.0,
2020-05-27,165.0,170.0,165.0,170.0,36497.0,
2020-05-28,170.0,170.0,170.0,170.0,85000.0,
2020-05-29,170.0,173.9,167.0,171.6,752572.0,
2020-06-01,173.9,173.9,170.0,170.0,39438.0,
2020-06-02,173.8,173.8,170.0,170.0,92180.0,
2020-06-03,172.9,172.9,163.8,172.5,88164.0,
2020-06-04,172.5,175.0,172.0,172.0,275132.0,
2020-06-05,170.0,171.0,170.0,170.0,282230.0,
2020-06-08,172.0,172.0,167.5,167.5,819352.0,
2020-06-09,168.0,168.0,165.0,168.0,271005.0,
2020-06-10,168.0,170.0,165.0,165.0,41840.0,
2020-06-11,170.0,172.0,170.0,170.0,965690.0,
2020-06-15,170.0,170.0,167.0,169.0,43570.0,
2020-06-16,166.0,168.0,165.8,166.0,244114.0,
2020-06-17,166.0,168.0,166.0,168.0,88820.0,
2020-06-18,165.9,170.0,165.9,169.0,20135.0,
2020-06-19,166.5,170.0,156.7,156.7,18940684.0,
2020-06-22,157.0,162.0,157.0,162.0,539790.0,
2020-06-23,161.0,161.0,160.0,160.0,49900.0,
2020-06-24,161.0,169.0,161.0,169.0,38245.0,
2020-06-25,168.9,168.9,164.2,168.0,43209.0,
2020-06-26,168.0,168.0,161.0,168.0,1314887.0,
2020-06-29,161.0,168.0,161.0,167.9,31848.0,
2020-06-30,167.9,167.9,161.0,167.9,265191.0,
2020-07-01,167.8,167.8,161.1,161.1,168766.0,
2020-07-02,168.0,170.0,161.2,162.5,468322.0,
2020-07-03,168.9,168.9,162.1,167.0,317158.0,
2020-07-06,167.0,167.0,163.0,167.0,223000.0,
2020-07-07,,,,,,
2020-07-08,,,,,,
2020-07-09,166.8,167.0,162.0,166.5,480753.0,
2020-07-10,166.6,166.6,162.0,162.0,471666.0,
2020-07-13,161.6,166.0,160.0,165.0,1095287.0,
2020-07-14,165.0,165.0,160.0,163.0,351636.0,
2020-07-15,160.0,160.0,159.5,159.5,327665.0,
2020-07-16,163.0,163.0,160.0,160.0,532838.0,
2020-07-17,164.0,164.0,160.5,160.5,347201.0,
2020-07-20,163.0,163.0,159.9,159.9,395336.0,
2020-07-21,160.8,160.8,159.5,159.5,84669.0,
2020-07-22,160.0,160.0,158.0,158.0,522690.0,
2020-07-23,158.0,160.0,158.0,160.0,33400.0,
2020-07-24,159.0,159.0,159.0,159.0,184440.0,
2020-07-27,159.0,159.0,159.0,159.0,4770.0,
2020-07-28,160.0,160.0,159.0,159.0,15980.0,
2020-07-29,159.0,160.0,157.0,157.0,33311.0,
2020-07-30,157.0,157.0,154.2,154.2,384032.0,
2020-08-03,154.2,156.5,154.0,156.5,356526.0,
2020-08-04,,,,156.6,,690.0
2020-08-05,,,,154.0,,230720.0
2020-08-06,,,,154.1,,820.0
2020-08-07,,,,159.8,,60.0
2020-08-10,,,,155.0,,2400.0
2020-08-11,,,,156.0,,1810.0
2020-08-12,,,,156.0,,840.0
2020-08-13,,,,156.0,,310.0
2020-08-14,,,,155.0,,430.0
2020-08-17,,,,155.0,,580.0
2020-08-18,,,,154.4,,4360.0
2020-08-19,,,,157.0,,370.0
2020-08-24,,,,156.0,,1410.0
2020-08-25,,,,155.0,,3320.0
2020-08-27,,,,156.8,,1590.0
2020-08-28,,,,156.0,,240.0
2020-09-01,,,,154.0,,17680.0
2020-09-02,,,,154.0,,16420.0
2020-09-03,,,,157.9,,20790.0
2020-09-04,,,,160.0,,20090.0
2020-09-07,,,,158.0,,270.0
2020-09-08,,,,158.0,,100.0
2020-09-09,,,,157.5,,110.0
2020-09-10,,,,155.1,,2860.0
2020-09-11,,,,155.1,,1360.0
2020-09-14,,,,158.9,,10.0
2020-09-15,,,,155.1,,620.0
2020-09-16,,,,157.9,,280.0
2020-09-17,,,,157.0,,2040.0
2020-09-18,,,,157.5,,600.0
2020-09-21,,,,157.9,,30.0
2020-09-22,,,,157.7,,650.0
2020-09-23,,,,157.8,,530.0
2020-09-24,,,,157.0,,90.0
2020-09-25,,,,157.0,,200.0
2020-09-28,,,,156.9,,2120.0
