dt,open,high,low,close,value,volume
2020-03-02,2.8,2.85,2.78,2.8,2434280.0,
2020-03-03,2.8,2.94,2.8,2.9,347530.0,
2020-03-04,2.9,2.9,2.8,2.8,1452270.0,
2020-03-05,2.8,2.89,2.79,2.85,1269940.0,
2020-03-06,2.89,2.89,2.81,2.81,1906530.0,
2020-03-09,2.85,2.85,2.6,2.6,5583140.0,
2020-03-10,2.6,2.69,2.53,2.59,1754820.0,
2020-03-11,2.57,2.67,2.54,2.55,2231470.0,
2020-03-12,2.52,2.52,2.0,2.33,2340830.0,
2020-03-13,2.1,2.24,2.0,2.24,2215980.0,
2020-03-16,2.18,2.42,2.08,2.2,643590.0,
2020-03-19,2.11,2.15,1.96,1.97,2188840.0,
2020-03-20,1.98,1.98,1.89,1.9,1702140.0,
2020-03-23,1.9,1.93,1.85,1.85,664890.0,
2020-03-24,1.95,1.99,1.95,1.99,255510.0,
2020-03-25,2.02,2.1,2.02,2.05,667160.0,
2020-03-26,2.07,2.07,2.03,2.03,137560.0,
2020-03-27,2.07,2.08,2.0,2.02,1099440.0,
2020-03-30,2.0,2.0,2.0,2.0,504000.0,
2020-03-31,2.05,2.06,2.0,2.04,1588640.0,
2020-04-01,2.04,2.06,2.02,2.02,262790.0,
2020-04-02,2.06,2.06,1.97,2.0,1221350.0,
2020-04-03,2.03,2.03,1.99,2.0,2289210.0,
2020-04-06,2.05,2.05,2.01,2.02,2653570.0,
2020-04-07,2.07,2.1,2.0,2.0,798380.0,
2020-04-08,2.0,2.07,2.0,2.04,525350.0,
2020-04-13,2.12,2.12,2.06,2.09,1126880.0,
2020-04-14,2.12,2.25,2.12,2.2,1691460.0,
2020-04-15,2.3,2.3,2.18,2.2,656700.0,
2020-04-16,2.21,2.35,2.2,2.22,1912530.0,
2020-04-17,2.3,2.3,2.22,2.25,1579610.0,
2020-04-20,2.11,2.23,2.1,2.23,760450.0,
2020-04-21,2.22,2.22,2.13,2.19,503580.0,
2020-04-22,2.2,2.2,2.15,2.19,109730.0,
2020-04-23,2.29,2.4,2.29,2.31,2222300.0,
2020-04-24,2.33,2.34,2.29,2.32,1306660.0,
2020-04-27,2.39,2.39,2.3,2.37,120130.0,
2020-04-28,2.39,2.4,2.3,2.3,1578720.0,
2020-04-29,2.3,2.35,2.3,2.3,247120.0,
2020-04-30,2.31,2.31,2.29,2.29,1044310.0,
2020-05-04,2.34,2.39,2.31,2.31,644450.0,
2020-05-05,2.31,2.34,2.26,2.34,773740.0,
2020-05-06,2.32,2.34,2.32,2.33,186150.0,
2020-05-07,2.3,2.31,2.28,2.29,1169700.0,
2020-05-08,2.29,2.34,2.29,2.34,32590.0,
2020-05-11,2.35,2.35,2.3,2.34,162000.0,
2020-05-12,2.29,2.3,2.27,2.3,731180.0,
2020-05-13,2.32,2.33,2.29,2.29,129280.0,
2020-05-14,2.25,2.29,2.23,2.24,2453830.0,
2020-05-15,2.25,2.29,2.25,2.25,191490.0,
2020-05-18,2.3,2.35,2.3,2.3,237820.0,
2020-05-19,2.33,2.36,2.23,2.3,1057280.0,
2020-05-20,2.3,2.3,2.23,2.23,1436420.0,
2020-05-21,2.46,2.46,2.27,2.35,416640.0,
2020-05-22,2.37,2.37,2.3,2.3,660030.0,
2020-05-26,2.36,2.41,2.26,2.3,1267930.0,
2020-05-27,2.26,2.3,2.26,2.3,72630.0,
2020-05-28,2.34,2.34,2.26,2.28,335040.0,
2020-05-29,2.28,2.28,2.2,2.27,483200.0,
2020-06-01,2.28,2.35,2.28,2.32,389490.0,
2020-06-02,2.3,2.3,2.25,2.26,414030.0,
2020-06-03,2.27,2.3,2.25,2.29,1639890.0,
2020-06-04,2.29,2.3,2.28,2.3,476420.0,
2020-06-05,2.34,2.4,2.3,2.38,973560.0,
2020-06-08,2.38,2.5,2.28,2.5,3428630.0,
2020-06-09,2.54,2.66,2.5,2.52,1569830.0,
2020-06-10,2.54,2.54,2.42,2.43,12118280.0,
2020-06-11,2.42,2.5,2.41,2.49,2476260.0,
2020-06-15,2.49,2.49,2.35,2.37,396670.0,
2020-06-16,2.4,2.4,2.37,2.4,512720.0,
2020-06-17,2.43,2.43,2.4,2.4,439510.0,
2020-06-18,2.41,2.41,2.4,2.4,79390.0,
2020-06-19,2.43,2.48,2.3,2.39,12856240.0,
2020-06-22,2.39,2.41,2.3,2.32,10375250.0,
2020-06-23,2.3,2.35,2.29,2.3,1915140.0,
2020-06-24,2.34,2.47,2.34,2.4,1581440.0,
2020-06-25,2.4,2.41,2.37,2.38,687880.0,
2020-06-26,2.39,2.44,2.37,2.38,610720.0,
2020-06-29,2.38,2.6,2.38,2.54,6788430.0,
2020-06-30,2.6,2.72,2.6,2.65,8650370.0,
2020-07-01,2.66,2.69,2.52,2.6,4750690.0,
2020-07-02,2.55,2.6,2.53,2.56,2161260.0,
2020-07-03,2.54,2.69,2.53,2.66,4910900.0,
2020-07-06,2.7,2.7,2.63,2.67,1193960.0,
2020-07-07,2.68,2.76,2.68,2.72,6896330.0,
2020-07-08,2.75,2.75,2.72,2.73,3555280.0,
2020-07-09,2.85,3.0,2.75,2.78,58269750.0,
2020-07-10,2.81,2.81,2.75,2.79,3855430.0,
2020-07-13,2.78,2.79,2.71,2.76,4535580.0,
2020-07-14,2.81,2.81,2.75,2.76,2714250.0,
2020-07-15,2.77,2.8,2.7,2.78,4107120.0,
2020-07-16,2.79,2.8,2.77,2.78,2011330.0,
2020-07-17,2.74,2.75,2.69,2.7,1873600.0,
2020-07-20,2.74,2.74,2.7,2.7,929070.0,
2020-07-21,2.72,2.85,2.72,2.8,4074270.0,
2020-07-22,2.9,3.0,2.88,2.89,13536650.0,
2020-07-23,2.97,3.09,2.92,2.99,64359890.0,
2020-07-24,3.0,3.09,2.99,3.04,10406010.0,
2020-07-27,3.07,3.31,3.07,3.25,27706530.0,
2020-07-28,3.35,3.47,3.1,3.19,24674340.0,
2020-07-29,3.27,3.27,3.1,3.15,6653110.0,
2020-07-30,3.16,3.28,3.16,3.19,6183560.0,
2020-08-03,3.27,3.38,3.19,3.24,15899260.0,
2020-08-04,,,,3.32,,3057000.0
2020-08-05,,,,3.5,,10068000.0
2020-08-06,,,,3.41,,3888000.0
2020-08-07,,,,3.5,,2753000.0
2020-08-10,,,,3.63,,31923000.0
2020-08-11,,,,3.52,,4019000.0
2020-08-12,,,,3.2,,8717000.0
2020-08-13,,,,3.27,,989000.0
2020-08-14,,,,3.37,,2082000.0
2020-08-17,,,,3.33,,1742000.0
2020-08-18,,,,3.44,,2750000.0
2020-08-19,,,,3.4,,1079000.0
2020-08-20,,,,3.3,,2276000.0
2020-08-24,,,,3.28,,1720000.0
2020-08-25,,,,3.4,,11571000.0
2020-08-26,,,,3.58,,11069000.0
2020-08-27,,,,3.75,,5133000.0
2020-08-28,,,,3.67,,2149000.0
2020-09-01,,,,3.89,,2851000.0
2020-09-02,,,,3.95,,2845000.0
2020-09-03,,,,4.1,,4484000.0
2020-09-04,,,,4.02,,2102000.0
2020-09-07,,,,4.17,,4456000.0
2020-09-08,,,,4.13,,2128000.0
2020-09-09,,,,4.05,,1491000.0
2020-09-10,,,,4.14,,1757000.0
2020-09-11,,,,4.08,,1621000.0
2020-09-14,,,,4.15,,1882000.0
2020-09-15,,,,4.23,,3688000.0
2020-09-16,,,,4.3,,2512000.0
2020-09-17,,,,4.28,,2080000.0
2020-09-18,,,,4.3,,875000.0
2020-09-21,,,,4.29,,1448000.0
2020-09-22,,,,4.13,,2768000.0
2020-09-23,,,,3.96,,7728000.0
2020-09-24,,,,3.82,,5052000.0
2020-09-25,,,,3.91,,1199000.0
2020-09-28,,,,3.92,,1288000.0
