dt,open,high,low,close,value,volume
2020-03-02,6.36,6.36,5.8,6.15,7644155.0,
2020-03-03,6.15,6.35,6.05,6.12,1933403.0,
2020-03-04,6.4,6.5,6.05,6.18,651165.0,
2020-03-05,6.2,6.34,6.18,6.32,1131540.0,
2020-03-06,6.32,6.44,5.98,6.01,2838026.0,
2020-03-09,5.9,5.9,5.0,5.05,7441459.0,
2020-03-10,5.01,5.03,4.4,4.91,2811543.0,
2020-03-11,5.9,5.9,4.85,5.0,1759600.0,
2020-03-12,4.7,5.25,4.55,4.7,3384193.0,
2020-03-13,4.3,4.8,4.1,4.5,2708960.0,
2020-03-16,4.28,4.5,4.28,4.42,1416170.0,
2020-03-19,4.3,4.3,3.65,3.95,1605610.0,
2020-03-20,3.95,4.5,3.95,3.95,1484710.0,
2020-03-23,3.94,3.94,3.65,3.7,1183230.0,
2020-03-24,3.7,3.75,3.5,3.7,3042860.0,
2020-03-25,3.85,3.9,3.7,3.8,2724000.0,
2020-03-26,3.85,4.2,3.8,4.09,3585290.0,
2020-03-27,4.29,4.3,3.88,4.24,3940780.0,
2020-03-30,4.19,4.19,3.88,3.95,1442490.0,
2020-03-31,4.1,4.12,4.0,4.1,846720.0,
2020-04-01,4.14,4.18,4.04,4.04,1359910.0,
2020-04-02,4.0,4.1,3.96,4.0,818680.0,
2020-04-03,4.2,4.4,3.97,4.0,3289870.0,
2020-04-06,3.98,4.0,3.93,3.96,3102570.0,
2020-04-07,3.98,4.0,3.84,3.85,11010790.0,
2020-04-08,3.9,3.9,3.8,3.84,5595240.0,
2020-04-13,3.85,4.04,3.85,3.9,3111570.0,
2020-04-14,3.92,4.3,3.92,4.3,15758310.0,
2020-04-15,4.54,4.61,4.12,4.3,15647230.0,
2020-04-16,4.44,4.44,4.0,4.09,7048810.0,
2020-04-17,4.15,4.24,4.09,4.18,5758320.0,
2020-04-20,4.2,4.89,4.18,4.81,21959400.0,
2020-04-21,4.21,4.59,4.07,4.5,25054820.0,
2020-04-22,4.4,4.4,4.21,4.39,6043270.0,
2020-04-23,4.45,4.59,4.42,4.46,8152520.0,
2020-04-24,4.52,4.74,4.31,4.46,5565350.0,
2020-04-27,4.35,4.38,4.12,4.2,7839080.0,
2020-04-28,4.22,4.34,4.21,4.25,2294040.0,
2020-04-29,4.27,4.39,4.18,4.32,4739840.0,
2020-04-30,4.32,4.48,4.32,4.35,3885800.0,
2020-05-04,4.35,4.35,4.15,4.22,5060180.0,
2020-05-05,4.31,4.4,4.27,4.4,6012440.0,
2020-05-06,4.45,4.55,4.2,4.34,4488390.0,
2020-05-07,4.29,4.3,4.19,4.21,2497280.0,
2020-05-08,4.22,4.3,4.16,4.2,3067160.0,
2020-05-11,4.3,4.6,4.27,4.59,15831150.0,
2020-05-12,4.7,4.75,4.4,4.55,10518410.0,
2020-05-13,4.6,4.6,4.37,4.54,5416420.0,
2020-05-14,4.5,4.59,4.42,4.5,2615200.0,
2020-05-15,4.59,4.76,4.51,4.6,4823460.0,
2020-05-18,4.63,5.34,4.63,5.34,41770570.0,
2020-05-19,5.38,5.5,4.91,5.05,31759628.0,
2020-05-20,5.07,5.43,4.79,5.39,22566133.0,
2020-05-21,5.2,5.33,5.06,5.13,15931021.0,
2020-05-22,5.02,5.15,4.82,4.84,17807046.0,
2020-05-26,4.91,5.11,4.51,4.55,20455900.0,
2020-05-27,4.53,4.63,4.36,4.6,6799010.0,
2020-05-28,4.7,4.73,4.57,4.68,3826770.0,
2020-05-29,4.78,4.78,4.54,4.59,4399650.0,
2020-06-01,4.7,4.7,4.49,4.56,6660610.0,
2020-06-02,4.55,4.8,4.49,4.62,6797670.0,
2020-06-03,4.7,5.1,4.66,4.98,12263370.0,
2020-06-04,4.98,5.09,4.86,5.02,11253560.0,
2020-06-05,5.04,5.12,4.9,5.1,12617571.0,
2020-06-08,5.21,5.38,5.14,5.33,11947622.0,
2020-06-09,5.34,5.7,5.16,5.58,22846915.0,
2020-06-10,5.45,5.49,5.1,5.15,18988603.0,
2020-06-11,5.1,5.1,4.86,4.98,9757401.0,
2020-06-15,4.8,5.1,4.8,4.92,4247390.0,
2020-06-16,4.92,5.09,4.92,4.99,5405770.0,
2020-06-17,5.03,5.15,4.85,4.99,10591630.0,
2020-06-18,4.99,4.99,4.82,4.87,5622050.0,
2020-06-19,4.86,4.98,4.8,4.89,6702440.0,
2020-06-22,5.07,5.55,5.07,5.44,34531870.0,
2020-06-23,5.8,6.5,5.73,6.5,80927260.0,
2020-06-24,6.95,7.5,6.63,6.82,142798666.0,
2020-06-25,6.8,7.19,6.2,6.9,49810083.0,
2020-06-26,6.95,7.44,6.95,7.1,47257601.0,
2020-06-29,7.0,7.0,6.59,6.66,20709104.0,
2020-06-30,6.8,6.8,6.5,6.64,10278356.0,
2020-07-01,6.53,6.8,6.49,6.66,9822372.0,
2020-07-02,6.8,6.8,6.3,6.55,5064298.0,
2020-07-03,6.55,6.6,6.0,6.1,21518724.0,
2020-07-06,6.08,6.44,5.97,6.3,10764359.0,
2020-07-07,6.4,6.48,6.28,6.35,2072415.0,
2020-07-08,6.39,6.4,6.3,6.4,3172671.0,
2020-07-09,6.44,7.1,6.44,7.1,28495598.0,
2020-07-10,7.1,7.1,6.4,6.6,19574346.0,
2020-07-13,6.6,6.6,6.25,6.34,7143020.0,
2020-07-14,6.34,6.34,6.07,6.17,6208842.0,
2020-07-15,6.1,6.18,5.72,5.72,13229423.0,
2020-07-16,6.04,6.59,6.0,6.4,15007047.0,
2020-07-17,6.39,6.4,6.03,6.1,5009645.0,
2020-07-20,6.12,6.12,5.89,5.95,5198098.0,
2020-07-21,5.91,6.15,5.9,6.1,2467323.0,
2020-07-22,6.18,6.2,5.95,5.97,3659524.0,
2020-07-23,6.0,6.0,5.69,5.77,8189824.0,
2020-07-24,5.75,5.75,5.51,5.62,2911379.0,
2020-07-27,5.55,5.85,5.5,5.8,7033939.0,
2020-07-28,5.87,5.87,5.55,5.68,4679529.0,
2020-07-29,5.67,5.67,5.53,5.64,2064376.0,
2020-07-30,5.58,5.78,5.56,5.75,2498379.0,
