dt,open,high,low,close,value,volume
2020-03-02,19.68,19.7,19.68,19.68,16143444.0,
2020-03-03,19.68,19.8,19.68,19.8,231552.0,
2020-03-04,19.8,19.98,19.8,19.98,416514.0,
2020-03-05,19.82,19.9,19.82,19.9,21866.0,
2020-03-06,20.0,20.0,19.74,19.8,389524.0,
2020-03-09,19.74,19.9,18.52,19.0,1169972.0,
2020-03-10,19.0,19.3,18.8,19.0,1261060.0,
2020-03-11,19.3,19.3,19.0,19.0,76090.0,
2020-03-12,19.0,19.0,18.4,18.4,1495060.0,
2020-03-13,18.4,18.5,17.5,18.2,1458446.0,
2020-03-16,17.5,17.5,17.0,17.0,820890.0,
2020-03-19,17.0,17.0,15.5,15.6,679906.0,
2020-03-20,15.62,17.0,14.0,17.0,243514.0,
2020-03-23,17.0,17.0,16.5,16.5,39780.0,
2020-03-24,16.5,16.5,16.5,16.5,1650.0,
2020-03-25,16.5,18.1,16.5,16.9,1395630.0,
2020-03-26,16.98,17.0,16.5,17.0,360298.0,
2020-03-27,17.0,17.5,17.0,17.5,181164.0,
2020-03-30,17.3,17.5,16.0,17.0,339800.0,
2020-03-31,16.6,17.1,16.5,17.1,202044.0,
2020-04-01,17.0,17.2,17.0,17.2,90510.0,
2020-04-02,17.1,17.1,16.8,16.8,246568.0,
2020-04-03,16.7,17.1,16.7,17.1,2929580.0,
2020-04-06,17.68,17.68,17.3,17.4,97238.0,
2020-04-07,17.68,17.68,17.68,17.68,613496.0,
2020-04-08,17.6,17.6,17.0,17.0,598150.0,
2020-04-13,17.5,17.5,17.3,17.3,73270.0,
2020-04-14,17.7,17.98,17.5,17.5,354966.0,
2020-04-15,17.66,18.0,17.6,17.6,3613746.0,
2020-04-16,17.6,17.6,17.5,17.5,66860.0,
2020-04-17,17.5,17.78,17.5,17.78,60340.0,
2020-04-20,17.28,17.34,17.28,17.34,51862.0,
2020-04-21,17.36,17.36,16.14,16.14,469320.0,
2020-04-22,17.28,17.28,17.0,17.28,120680.0,
2020-04-23,17.98,17.98,17.94,17.94,7180.0,
2020-04-24,17.94,17.94,17.5,17.52,610264.0,
2020-04-27,17.52,17.52,17.5,17.5,423564.0,
2020-04-28,17.3,17.3,16.82,16.82,651544.0,
2020-04-29,17.0,17.0,16.5,16.6,162450.0,
2020-04-30,17.0,17.1,16.5,16.6,758198.0,
2020-05-04,16.6,16.6,16.5,16.5,9079498.0,
2020-05-05,16.54,16.84,16.5,16.52,435012.0,
2020-05-06,16.6,17.04,16.5,17.02,1628920.0,
2020-05-07,17.1,17.1,16.6,16.6,938192.0,
2020-05-08,16.6,16.98,16.6,16.98,922398.0,
2020-05-11,16.72,16.78,16.68,16.76,948154.0,
2020-05-12,16.9,16.98,16.5,16.5,751342.0,
2020-05-13,16.6,16.6,16.4,16.4,375822.0,
2020-05-14,16.76,16.76,16.2,16.2,448814.0,
2020-05-15,16.2,16.46,15.9,15.9,2642118.0,
2020-05-18,16.5,16.5,15.9,15.9,31959572.0,
2020-05-19,16.0,16.02,15.8,15.8,89268.0,
2020-05-20,15.82,15.82,15.62,15.62,274960.0,
2020-05-21,16.2,16.2,15.2,15.42,224806.0,
2020-05-22,15.52,15.54,15.4,15.4,138780.0,
