dt,open,high,low,close,value,volume
2020-03-02,1.54,1.6,1.54,1.59,171220.0,
2020-03-03,1.55,1.59,1.55,1.58,569260.0,
2020-03-04,1.5,1.57,1.5,1.55,1140070.0,
2020-03-05,1.47,1.57,1.47,1.54,584300.0,
2020-03-06,1.48,1.52,1.43,1.47,2357030.0,
2020-03-09,1.4,1.4,1.28,1.28,589360.0,
2020-03-10,1.27,1.4,1.25,1.4,995590.0,
2020-03-11,1.38,1.38,1.27,1.34,682640.0,
2020-03-12,1.29,1.35,1.29,1.34,229080.0,
2020-03-13,1.28,1.39,1.22,1.35,1152700.0,
2020-03-16,1.31,1.39,1.21,1.35,776570.0,
2020-03-19,1.25,1.39,1.21,1.3,433940.0,
2020-03-20,1.22,1.38,1.22,1.35,1026450.0,
2020-03-23,1.32,1.32,1.22,1.31,775590.0,
2020-03-24,1.27,1.37,1.23,1.35,1047660.0,
2020-03-25,1.27,1.47,1.25,1.45,3018150.0,
2020-03-26,1.4,1.45,1.27,1.43,2596240.0,
2020-03-27,1.32,1.44,1.24,1.42,2786400.0,
2020-03-30,1.33,1.44,1.28,1.44,2912890.0,
2020-03-31,1.34,1.45,1.34,1.45,1227900.0,
2020-04-01,1.35,1.42,1.35,1.39,57380.0,
2020-04-02,1.36,1.45,1.34,1.45,770220.0,
2020-04-03,1.37,1.44,1.37,1.44,964630.0,
2020-04-06,1.39,1.45,1.39,1.45,399170.0,
2020-04-07,1.45,1.45,1.44,1.44,249300.0,
2020-04-08,1.44,1.45,1.32,1.45,2703140.0,
2020-04-13,1.37,1.45,1.37,1.42,1773220.0,
2020-04-14,1.39,1.49,1.37,1.46,2989500.0,
2020-04-15,1.39,1.43,1.38,1.4,3792930.0,
2020-04-16,1.38,1.43,1.38,1.42,269160.0,
2020-04-17,1.4,1.46,1.4,1.44,2353020.0,
2020-04-20,1.4,1.45,1.39,1.45,2415700.0,
2020-04-21,1.41,1.46,1.41,1.45,644300.0,
2020-04-22,1.46,1.46,1.46,1.46,278860.0,
2020-04-23,1.42,1.53,1.42,1.48,2422680.0,
2020-04-24,1.45,1.7,1.44,1.63,14864980.0,
2020-04-27,1.62,1.62,1.52,1.57,4035400.0,
2020-04-28,1.56,1.68,1.56,1.65,15786720.0,
2020-04-29,1.65,1.65,1.57,1.62,3364510.0,
2020-04-30,1.64,1.69,1.61,1.68,2294750.0,
2020-05-04,1.65,1.65,1.57,1.62,1822160.0,
2020-05-05,1.62,1.66,1.6,1.65,1172630.0,
2020-05-06,1.6,1.68,1.6,1.67,842940.0,
2020-05-07,1.63,1.69,1.63,1.69,3696950.0,
2020-05-08,1.66,1.69,1.61,1.69,14455430.0,
2020-05-11,1.67,1.67,1.59,1.61,1862570.0,
2020-05-12,1.63,1.64,1.62,1.64,10361650.0,
2020-05-13,1.63,1.65,1.52,1.62,1380890.0,
2020-05-14,1.52,1.6,1.51,1.55,3962070.0,
2020-05-15,1.55,1.66,1.54,1.6,3264110.0,
2020-05-18,1.57,1.66,1.54,1.66,550440.0,
2020-05-19,1.64,1.65,1.53,1.62,4630510.0,
2020-05-20,1.57,1.65,1.57,1.61,7049720.0,
2020-05-21,1.66,1.77,1.66,1.73,11824020.0,
2020-05-22,1.73,1.78,1.66,1.75,9291470.0,
2020-05-26,1.72,1.76,1.67,1.71,4712010.0,
2020-05-27,1.72,1.77,1.67,1.77,2521880.0,
2020-05-28,1.74,1.77,1.7,1.77,3666490.0,
2020-05-29,1.72,1.83,1.72,1.8,5362300.0,
2020-06-01,1.81,1.85,1.79,1.84,3708180.0,
2020-06-02,1.84,1.85,1.78,1.83,2009000.0,
2020-06-03,1.84,1.85,1.8,1.8,1737670.0,
2020-06-04,1.8,1.85,1.8,1.8,907200.0,
2020-06-05,1.8,1.85,1.79,1.85,1331110.0,
2020-06-08,1.83,1.85,1.8,1.83,1482920.0,
2020-06-09,1.83,1.83,1.79,1.79,698400.0,
2020-06-10,1.82,1.82,1.79,1.79,1843400.0,
2020-06-11,1.81,1.82,1.79,1.81,876480.0,
2020-06-15,1.82,1.82,1.73,1.8,1219260.0,
2020-06-16,1.82,1.91,1.8,1.9,11472160.0,
2020-06-17,1.9,1.92,1.87,1.87,7959100.0,
2020-06-18,1.89,1.89,1.79,1.79,3234900.0,
2020-06-19,1.78,1.84,1.72,1.78,1987700.0,
2020-06-22,1.8,1.85,1.74,1.74,3889230.0,
2020-06-23,1.72,1.73,1.61,1.61,9978510.0,
2020-06-24,1.64,1.68,1.63,1.63,28542050.0,
2020-06-25,1.63,1.63,1.54,1.57,2811840.0,
2020-06-26,1.56,1.59,1.54,1.54,1926590.0,
2020-06-29,1.56,1.56,1.51,1.52,2019510.0,
2020-06-30,1.52,1.54,1.51,1.53,804650.0,
2020-07-01,1.51,1.51,1.45,1.48,3274200.0,
2020-07-02,1.48,1.48,1.38,1.44,3126070.0,
2020-07-03,1.44,1.49,1.39,1.43,10564940.0,
2020-07-06,1.43,1.48,1.4,1.48,14496900.0,
2020-07-07,1.5,1.58,1.43,1.43,7299370.0,
2020-07-08,1.44,1.46,1.4,1.42,2582810.0,
2020-07-09,1.41,1.46,1.38,1.39,3296960.0,
2020-07-10,1.37,1.37,1.29,1.3,6612440.0,
2020-07-13,1.32,1.34,1.29,1.33,3546260.0,
2020-07-14,1.35,1.37,1.32,1.35,7456370.0,
2020-07-15,1.36,1.36,1.31,1.33,3554290.0,
2020-07-16,1.33,1.36,1.28,1.29,2262480.0,
2020-07-17,1.29,1.29,1.24,1.27,1590660.0,
2020-07-20,1.27,1.3,1.21,1.24,2708910.0,
2020-07-21,1.25,1.26,1.21,1.25,1000200.0,
2020-07-22,1.25,1.3,1.22,1.29,7179400.0,
2020-07-23,1.29,1.29,1.22,1.25,8918820.0,
2020-07-24,1.25,1.28,1.24,1.27,4839770.0,
2020-07-27,1.25,1.26,1.14,1.17,8018350.0,
2020-07-28,1.14,1.18,1.14,1.18,2153040.0,
2020-07-29,1.15,1.18,1.15,1.18,838880.0,
2020-07-30,1.15,1.19,1.15,1.18,582070.0,
2020-08-03,1.15,1.19,1.14,1.19,1122570.0,
2020-08-04,,,,1.16,,1039000.0
2020-08-05,,,,1.19,,2499000.0
2020-08-06,,,,1.17,,2260000.0
2020-08-07,,,,1.17,,1138000.0
2020-08-10,,,,1.16,,1214000.0
2020-08-11,,,,1.18,,1134000.0
2020-08-12,,,,1.18,,1033000.0
2020-08-13,,,,1.19,,833000.0
2020-08-14,,,,1.26,,17094000.0
2020-08-17,,,,1.25,,3100000.0
2020-08-18,,,,1.22,,1795000.0
2020-08-19,,,,1.2,,2490000.0
2020-08-20,,,,1.28,,28683000.0
2020-08-24,,,,1.28,,9135000.0
2020-08-25,,,,1.3,,6499000.0
2020-08-26,,,,1.26,,8629000.0
2020-08-27,,,,1.18,,7275000.0
2020-08-28,,,,1.17,,6606000.0
2020-09-01,,,,1.16,,3272000.0
2020-09-02,,,,1.17,,2968000.0
2020-09-03,,,,1.13,,6611000.0
2020-09-04,,,,1.14,,3607000.0
2020-09-07,,,,1.14,,9481000.0
2020-09-08,,,,1.14,,6570000.0
2020-09-09,,,,1.1,,8101000.0
2020-09-10,,,,1.12,,2889000.0
2020-09-11,,,,1.12,,3217000.0
2020-09-14,,,,1.2,,28574000.0
2020-09-15,,,,1.16,,12611000.0
2020-09-16,,,,1.21,,4326000.0
2020-09-17,,,,1.17,,3371000.0
2020-09-18,,,,1.15,,2196000.0
2020-09-21,,,,1.13,,3089000.0
2020-09-22,,,,1.15,,1438000.0
2020-09-23,,,,1.14,,648000.0
2020-09-24,,,,1.14,,517000.0
2020-09-25,,,,1.15,,876000.0
2020-09-28,,,,1.16,,1977000.0
