dt,open,high,low,close,value,volume
2020-03-02,5.0,5.0,5.0,5.0,46000.0,
2020-03-03,5.0,5.0,4.98,5.0,143490.0,
2020-03-04,5.0,5.0,5.0,5.0,10000.0,
2020-03-05,4.95,5.0,4.95,5.0,30394.0,
2020-03-06,5.0,5.0,5.0,5.0,6000.0,
2020-03-09,5.0,5.0,4.91,5.0,43436.0,
2020-03-10,4.91,5.0,4.9,5.0,116819.0,
2020-03-11,5.0,5.0,4.75,4.98,98265.0,
2020-03-12,,,,,,
2020-03-13,4.61,4.95,4.6,4.94,131900.0,
2020-03-16,,,,,,
2020-03-19,4.7,4.7,4.4,4.62,172260.0,
2020-03-20,4.5,4.6,4.0,4.6,113290.0,
2020-03-23,4.3,4.6,4.0,4.6,97050.0,
2020-03-24,4.3,4.69,4.3,4.69,69190.0,
2020-03-25,4.4,4.5,4.01,4.5,157990.0,
2020-03-26,4.5,4.69,4.28,4.5,379230.0,
2020-03-27,4.3,4.3,4.3,4.3,21500.0,
2020-03-30,4.5,4.5,4.08,4.29,193790.0,
2020-03-31,4.69,4.69,4.23,4.3,51360.0,
2020-04-01,4.11,4.55,4.1,4.51,674990.0,
2020-04-02,4.35,4.4,4.3,4.4,260250.0,
2020-04-03,4.4,4.4,4.4,4.4,4400.0,
2020-04-06,4.35,4.42,4.35,4.42,226270.0,
2020-04-07,4.41,4.42,4.41,4.42,26480.0,
2020-04-08,4.52,4.52,4.35,4.52,444040.0,
2020-04-13,4.51,4.55,4.51,4.54,99600.0,
2020-04-14,4.5,4.54,4.4,4.51,168840.0,
2020-04-15,4.51,4.51,4.41,4.51,99120.0,
2020-04-16,4.51,4.51,4.51,4.51,67650.0,
2020-04-17,4.51,4.51,4.51,4.51,40590.0,
2020-04-20,4.35,4.6,4.35,4.5,31550.0,
2020-04-21,4.35,4.51,4.35,4.5,39770.0,
2020-04-22,4.5,4.5,4.5,4.5,13500.0,
2020-04-23,4.5,4.5,4.5,4.5,22500.0,
2020-04-24,4.5,4.5,4.49,4.5,40490.0,
