dt,open,high,low,close,value,volume
2020-03-02,21.6,22.75,21.5,21.75,63960730.0,
2020-03-03,22.2,23.2,22.2,23.0,111428570.0,
2020-03-04,23.1,24.5,22.45,24.5,32659350.0,
2020-03-05,24.5,24.5,23.85,24.1,37895795.0,
2020-03-06,23.8,24.05,22.9,23.3,10779425.0,
2020-03-09,23.0,23.15,20.0,20.0,32494875.0,
2020-03-10,20.0,21.9,19.54,20.95,57788444.0,
2020-03-11,20.95,21.85,20.15,20.9,74691710.0,
2020-03-12,20.2,20.3,17.54,18.0,36025158.0,
2020-03-13,16.92,18.0,15.8,17.2,45173024.0,
2020-03-16,17.0,18.98,15.04,15.4,39519562.0,
2020-03-19,14.54,14.54,10.0,12.2,69511470.0,
2020-03-20,12.36,13.4,11.06,11.74,44744734.0,
2020-03-23,11.74,13.0,11.12,12.5,77666594.0,
2020-03-24,12.5,13.0,12.02,12.2,24420734.0,
2020-03-25,12.94,13.2,12.42,12.6,40694478.0,
2020-03-26,13.0,15.0,13.0,14.4,52184230.0,
2020-03-27,15.0,15.86,14.54,14.86,50595634.0,
2020-03-30,14.6,14.6,13.14,14.0,43311004.0,
2020-03-31,14.5,15.68,14.42,14.84,46284866.0,
2020-04-01,15.0,15.0,13.5,14.56,27689746.0,
2020-04-02,14.2,14.48,13.22,13.68,63949134.0,
2020-04-03,13.86,14.1,13.5,13.88,36538874.0,
2020-04-06,13.98,14.78,13.98,14.5,50738296.0,
2020-04-07,14.54,15.0,14.2,14.22,41702456.0,
2020-04-08,14.2,14.2,13.38,13.74,47114632.0,
2020-04-13,13.84,14.1,13.74,13.86,43194954.0,
2020-04-14,13.86,15.0,13.84,14.92,46412144.0,
2020-04-15,15.32,16.82,15.32,16.82,135307712.0,
2020-04-16,16.82,16.82,14.1,14.42,90194838.0,
2020-04-17,15.24,15.26,14.9,15.26,45552448.0,
2020-04-20,15.28,15.8,14.54,15.7,37527704.0,
2020-04-21,15.48,15.78,14.84,15.78,23919544.0,
2020-04-22,15.1,15.46,15.02,15.32,12164940.0,
2020-04-23,15.32,15.8,15.3,15.6,36701108.0,
2020-04-24,15.6,15.6,15.2,15.5,80599468.0,
2020-04-27,15.38,15.48,14.8,15.48,26213660.0,
2020-04-28,15.48,15.48,15.08,15.3,17395130.0,
2020-04-29,15.3,15.5,15.1,15.48,8537276.0,
2020-04-30,15.5,15.82,15.02,15.04,68665726.0,
2020-05-04,15.0,15.0,14.02,14.02,39309248.0,
2020-05-05,14.22,14.64,14.16,14.48,14985166.0,
2020-05-06,14.8,14.96,14.3,14.34,29642368.0,
2020-05-07,14.6,14.96,14.2,14.92,17899332.0,
2020-05-08,15.04,15.38,14.9,14.9,30117662.0,
2020-05-11,14.9,15.26,14.7,14.7,17053374.0,
2020-05-12,14.98,14.98,14.44,14.5,36336068.0,
2020-05-13,14.48,14.7,14.36,14.64,39304246.0,
2020-05-14,14.48,15.28,14.48,14.98,41629230.0,
2020-05-15,15.06,15.26,14.54,14.54,33271788.0,
2020-05-18,14.62,14.86,14.34,14.4,19335658.0,
2020-05-19,14.64,15.04,14.48,14.82,30667862.0,
2020-05-20,14.8,14.8,14.58,14.6,16501590.0,
2020-05-21,14.6,15.04,14.32,15.0,28874136.0,
2020-05-22,14.8,15.0,14.6,14.66,21148462.0,
2020-05-26,14.58,14.7,14.24,14.5,75647814.0,
2020-05-27,14.7,14.7,14.22,14.26,24183256.0,
2020-05-28,14.34,14.66,14.0,14.22,53805010.0,
2020-05-29,14.46,14.78,14.26,14.78,95020380.0,
2020-06-01,14.8,15.04,14.62,15.0,60870556.0,
2020-06-02,15.06,15.78,15.06,15.62,79230240.0,
2020-06-03,15.8,17.0,15.8,17.0,59732520.0,
2020-06-04,17.2,18.88,17.2,18.72,105467674.0,
2020-06-05,18.32,18.56,17.58,18.24,161598400.0,
2020-06-08,18.5,22.9,18.5,19.0,180791593.0,
2020-06-09,19.02,20.1,18.5,20.1,71823885.0,
2020-06-10,19.9,20.0,19.22,20.0,44137608.0,
2020-06-11,19.3,19.68,18.34,19.58,75092012.0,
2020-06-15,18.54,19.1,18.0,18.0,68641740.0,
2020-06-16,18.2,18.8,18.0,18.0,33670954.0,
2020-06-17,18.28,18.38,17.5,18.14,38799608.0,
2020-06-18,18.02,18.18,17.62,18.0,24440982.0,
2020-06-19,17.9,18.64,17.64,18.24,67813134.0,
2020-06-22,18.24,18.24,17.64,18.0,57246032.0,
2020-06-23,18.2,18.2,17.36,17.52,52647338.0,
2020-06-24,17.52,17.54,17.1,17.24,21235040.0,
2020-06-25,16.98,17.76,16.92,17.14,17361690.0,
2020-06-26,17.2,17.6,16.98,17.6,22062472.0,
2020-06-29,17.4,17.4,16.72,17.0,24225476.0,
2020-06-30,17.0,17.48,16.82,17.48,68905374.0,
2020-07-01,17.48,17.48,16.92,17.02,18196160.0,
2020-07-02,16.94,17.28,16.5,17.12,56586806.0,
2020-07-03,17.3,17.44,17.2,17.2,17601948.0,
2020-07-06,17.2,17.58,16.8,17.42,25340004.0,
2020-07-07,17.38,17.42,17.2,17.3,17312006.0,
2020-07-08,17.46,17.46,16.62,16.94,22434522.0,
2020-07-09,16.92,16.92,16.34,16.5,48172262.0,
2020-07-10,16.5,16.5,15.92,15.92,39624894.0,
2020-07-13,15.94,16.3,15.5,15.5,17778790.0,
2020-07-14,15.5,16.1,15.5,15.78,20997418.0,
2020-07-15,15.7,16.02,15.3,15.76,53035944.0,
2020-07-16,15.7,16.46,15.7,16.46,7929750.0,
2020-07-17,16.4,16.4,15.58,16.3,28366936.0,
2020-07-20,16.3,16.8,15.9,16.68,40680062.0,
2020-07-21,16.8,16.8,16.2,16.2,22283678.0,
2020-07-22,16.5,16.5,15.94,15.94,9240610.0,
2020-07-23,15.94,15.94,15.52,15.9,14395466.0,
2020-07-24,15.9,15.98,15.7,15.9,19725304.0,
2020-07-27,15.9,15.9,14.84,15.0,46674680.0,
2020-07-28,15.0,15.4,14.84,15.1,18747156.0,
2020-07-29,15.0,16.3,14.86,16.0,57407312.0,
2020-07-30,15.98,15.98,15.02,15.38,60575888.0,
2020-08-03,15.14,15.3,14.28,14.28,45083382.0,
2020-08-04,,,,14.16,,2383700.0
2020-08-05,,,,14.22,,2810800.0
2020-08-06,,,,13.5,,7123400.0
2020-08-07,,,,13.8,,4255900.0
2020-08-10,,,,14.2,,2793600.0
2020-08-11,,,,14.9,,3841100.0
2020-08-12,,,,14.6,,2521900.0
2020-08-13,,,,14.9,,1836600.0
2020-08-14,,,,14.9,,3296100.0
2020-08-17,,,,15.0,,1392000.0
2020-08-18,,,,15.14,,3723900.0
2020-08-19,,,,14.96,,2482200.0
2020-08-20,,,,14.8,,1297500.0
2020-08-24,,,,14.8,,1244600.0
2020-08-25,,,,14.7,,1180000.0
2020-08-26,,,,14.62,,3151300.0
2020-08-27,,,,14.84,,1820300.0
2020-08-28,,,,14.62,,5737600.0
2020-09-01,,,,14.5,,2566300.0
2020-09-02,,,,14.2,,3074300.0
2020-09-03,,,,14.42,,1077200.0
2020-09-04,,,,14.8,,1216500.0
2020-09-07,,,,15.2,,1016300.0
2020-09-08,,,,14.88,,3293200.0
2020-09-09,,,,14.6,,3051300.0
2020-09-10,,,,14.7,,1651200.0
2020-09-11,,,,14.72,,1221900.0
2020-09-14,,,,14.86,,2398000.0
2020-09-15,,,,15.0,,2416400.0
2020-09-16,,,,14.9,,899500.0
2020-09-17,,,,14.66,,1295300.0
2020-09-18,,,,14.94,,3264200.0
2020-09-21,,,,14.6,,747800.0
2020-09-22,,,,14.54,,1239200.0
2020-09-23,,,,14.5,,1969800.0
2020-09-24,,,,14.54,,2200200.0
2020-09-25,,,,14.64,,2180500.0
2020-09-28,,,,14.32,,1948900.0
