dt,open,high,low,close,value,volume
2020-03-02,1.92,1.92,1.91,1.91,145230.0,
2020-03-03,1.98,1.98,1.98,1.98,29700.0,
2020-03-04,1.98,1.98,1.97,1.97,19780.0,
2020-03-05,1.96,1.97,1.96,1.97,78750.0,
2020-03-06,1.95,1.95,1.95,1.95,19500.0,
2020-03-09,1.91,1.91,1.88,1.88,1145120.0,
2020-03-10,1.83,1.83,1.63,1.8,367630.0,
2020-03-11,1.93,1.93,1.81,1.82,100820.0,
2020-03-12,1.82,1.82,1.7,1.7,392390.0,
2020-03-13,1.76,1.88,1.7,1.7,1689800.0,
2020-03-16,1.7,1.78,1.7,1.78,30680.0,
2020-03-19,1.7,1.7,1.51,1.51,84430.0,
2020-03-20,1.51,1.62,1.51,1.55,4680.0,
2020-03-23,1.53,1.54,1.44,1.45,964310.0,
2020-03-24,1.5,1.6,1.5,1.6,148900.0,
2020-03-25,1.6,1.6,1.58,1.58,748040.0,
2020-03-26,1.58,1.58,1.45,1.57,504820.0,
2020-03-27,1.57,1.57,1.5,1.5,510260.0,
2020-03-30,1.5,1.5,1.48,1.48,468200.0,
2020-03-31,1.48,1.48,1.48,1.48,1480.0,
2020-04-01,1.48,1.5,1.44,1.44,744640.0,
2020-04-02,1.45,1.56,1.41,1.42,564330.0,
2020-04-03,1.45,1.5,1.44,1.46,92850.0,
2020-04-06,1.52,1.52,1.49,1.5,506050.0,
2020-04-07,1.52,1.53,1.5,1.5,341510.0,
2020-04-08,1.5,1.52,1.5,1.52,269820.0,
2020-04-13,1.5,1.5,1.49,1.5,37450.0,
2020-04-14,1.53,1.54,1.52,1.54,25990.0,
2020-04-15,1.54,1.54,1.52,1.52,666950.0,
2020-04-16,1.52,1.55,1.5,1.5,521350.0,
2020-04-17,1.5,1.54,1.4,1.47,1863300.0,
2020-04-20,1.5,1.53,1.5,1.52,55750.0,
2020-04-21,1.48,1.52,1.46,1.52,117080.0,
2020-04-22,1.5,1.5,1.45,1.5,166280.0,
2020-04-23,1.51,1.56,1.51,1.53,410950.0,
2020-04-24,1.55,1.55,1.54,1.54,195910.0,
2020-04-27,1.5,1.5,1.5,1.5,39000.0,
2020-04-28,1.54,1.54,1.53,1.53,10770.0,
2020-04-29,1.54,1.54,1.47,1.54,32020.0,
2020-04-30,1.5,1.54,1.5,1.52,165080.0,
2020-05-04,1.52,1.53,1.5,1.52,264810.0,
2020-05-05,1.53,1.54,1.51,1.51,427150.0,
2020-05-06,1.53,1.53,1.51,1.51,161660.0,
2020-05-07,1.53,1.53,1.53,1.53,61200.0,
2020-05-08,,,,,,
2020-05-11,1.51,1.54,1.51,1.52,93150.0,
2020-05-12,1.53,1.53,1.5,1.5,199800.0,
2020-05-13,1.54,1.54,1.5,1.5,104440.0,
2020-05-14,1.5,1.5,1.5,1.5,94500.0,
2020-05-15,1.5,1.53,1.5,1.5,54060.0,
2020-05-18,1.49,1.49,1.45,1.47,192700.0,
2020-05-19,1.46,1.47,1.45,1.45,171920.0,
2020-05-20,1.44,1.48,1.42,1.48,430520.0,
2020-05-21,1.5,1.5,1.42,1.49,143230.0,
2020-05-22,1.46,1.46,1.46,1.46,1460.0,
2020-05-26,1.49,1.49,1.43,1.44,56240.0,
2020-05-27,1.45,1.45,1.44,1.44,23110.0,
2020-05-28,1.41,1.41,1.41,1.41,43710.0,
2020-05-29,,,,,,
2020-06-01,1.48,1.48,1.48,1.48,20720.0,
2020-06-02,1.42,1.46,1.42,1.45,17330.0,
2020-06-03,1.49,1.49,1.48,1.48,284260.0,
2020-06-04,1.48,1.51,1.48,1.51,155960.0,
2020-06-05,1.51,1.52,1.5,1.52,199930.0,
2020-06-08,1.54,1.56,1.53,1.56,210800.0,
2020-06-09,1.58,1.68,1.58,1.68,280290.0,
2020-06-10,1.68,1.68,1.62,1.63,163760.0,
2020-06-11,1.59,1.61,1.53,1.53,168520.0,
2020-06-15,1.58,1.58,1.53,1.54,126210.0,
2020-06-16,,,,,,
2020-06-17,1.55,1.55,1.55,1.55,1550.0,
2020-06-18,1.55,1.55,1.54,1.54,54040.0,
2020-06-19,1.54,1.58,1.54,1.58,28200.0,
2020-06-22,1.6,1.6,1.52,1.52,175620.0,
2020-06-23,1.52,1.55,1.51,1.55,57920.0,
2020-06-24,1.59,1.59,1.55,1.55,4730.0,
2020-06-25,1.55,1.55,1.55,1.55,1550.0,
2020-06-26,1.51,1.59,1.51,1.58,9210.0,
2020-06-29,1.55,1.6,1.51,1.58,34570.0,
2020-06-30,1.57,1.6,1.57,1.6,274940.0,
2020-07-01,1.63,1.63,1.57,1.57,107420.0,
2020-07-02,1.6,1.62,1.6,1.61,275120.0,
2020-07-03,1.59,1.6,1.59,1.6,161590.0,
2020-07-06,1.62,1.62,1.62,1.62,558900.0,
2020-07-07,1.58,1.6,1.58,1.6,74600.0,
2020-07-08,1.63,1.63,1.61,1.61,238560.0,
2020-07-09,1.63,1.68,1.6,1.64,591370.0,
2020-07-10,1.54,1.66,1.54,1.6,265330.0,
2020-07-13,1.58,1.58,1.55,1.55,36070.0,
2020-07-14,1.55,1.55,1.55,1.55,12400.0,
2020-07-15,1.55,1.55,1.5,1.51,1196090.0,
2020-07-16,1.55,1.55,1.51,1.51,316890.0,
2020-07-17,,,,,,
2020-07-20,1.55,1.58,1.55,1.58,38780.0,
2020-07-21,,,,,,
