dt,open,high,low,close,value,volume
2020-03-02,,,,,,
2020-03-03,1.51,1.51,1.5,1.5,13520.0,
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,,,,,,
2020-03-09,1.5,1.5,1.5,1.5,115500.0,
2020-03-10,1.5,1.5,1.45,1.45,41000.0,
2020-03-11,,,,,,
2020-03-12,,,,,,
2020-03-13,1.43,1.43,1.43,1.43,2860.0,
2020-03-16,1.42,1.43,1.42,1.43,14250.0,
2020-03-19,1.42,1.43,1.42,1.43,22820.0,
2020-03-20,,,,,,
2020-03-23,1.42,1.42,1.38,1.38,80800.0,
2020-03-24,1.38,1.38,1.38,1.38,1380.0,
2020-03-25,,,,,,
2020-03-26,1.38,1.38,1.38,1.38,13800.0,
2020-03-27,1.36,1.38,1.36,1.38,5460.0,
2020-03-30,,,,,,
2020-03-31,,,,,,
2020-04-01,,,,,,
2020-04-02,,,,,,
2020-04-03,,,,,,
2020-04-06,,,,,,
2020-04-07,,,,,,
2020-04-08,1.42,1.42,1.36,1.36,27630.0,
2020-04-13,,,,,,
2020-04-14,1.49,1.55,1.49,1.5,37040.0,
2020-04-15,1.37,1.38,1.35,1.35,169150.0,
2020-04-16,1.38,1.38,1.3,1.3,227500.0,
2020-04-17,,,,,,
2020-04-20,1.32,1.32,1.3,1.3,36860.0,
2020-04-21,,,,,,
2020-04-22,,,,,,
2020-04-23,1.39,1.39,1.39,1.39,9730.0,
2020-04-24,1.39,1.44,1.38,1.43,37810.0,
2020-04-27,1.35,1.35,1.3,1.3,380400.0,
2020-04-28,,,,,,
2020-04-29,1.43,1.43,1.4,1.4,119310.0,
2020-04-30,1.42,1.42,1.42,1.42,24140.0,
2020-05-04,1.44,1.49,1.44,1.49,45610.0,
2020-05-05,1.52,1.52,1.49,1.49,59630.0,
2020-05-06,1.49,1.49,1.49,1.49,8940.0,
2020-05-07,1.41,1.41,1.4,1.4,25280.0,
2020-05-08,,,,,,
