dt,open,high,low,close,value,volume
2020-03-02,66.6,66.6,63.3,65.0,16048915.0,
2020-03-03,69.95,69.95,61.75,62.0,53583820.5,
2020-03-04,62.25,63.1,61.2,61.5,38706382.5,
2020-03-05,64.55,64.55,61.5,61.5,15258777.0,
2020-03-06,61.4,62.25,61.2,61.5,27660665.0,
2020-03-09,60.15,60.15,56.7,57.0,33928087.5,
2020-03-10,57.0,57.95,55.15,56.0,66022639.5,
2020-03-11,57.0,57.55,53.5,54.6,23744986.5,
2020-03-12,54.7,54.75,48.0,52.0,47053461.0,
2020-03-13,48.1,57.0,48.0,54.0,7403279.5,
2020-03-16,54.0,54.0,50.0,51.35,2626755.5,
2020-03-19,50.0,50.0,44.0,46.1,14211247.5,
2020-03-20,45.05,50.0,45.05,49.95,16558040.0,
2020-03-23,49.8,50.0,48.0,49.9,12357885.0,
2020-03-24,49.0,49.95,48.0,49.0,14328385.0,
2020-03-25,52.0,53.95,50.3,51.45,21922695.0,
2020-03-26,51.45,53.2,51.45,52.2,87135510.0,
2020-03-27,52.5,55.8,52.5,54.5,50093900.5,
2020-03-30,54.55,58.95,54.35,58.95,32070421.5,
2020-03-31,57.0,57.8,55.0,57.0,36552837.5,
2020-04-01,57.0,57.2,55.15,57.2,8141957.5,
2020-04-02,57.0,57.0,54.8,54.9,47234245.0,
2020-04-03,54.9,56.85,54.85,56.0,33377309.5,
2020-04-06,57.0,64.0,56.1,64.0,15503838.0,
2020-04-07,63.0,63.0,61.0,61.45,15541580.0,
2020-04-08,61.95,61.95,58.5,61.5,88749873.5,
2020-04-13,61.5,62.0,59.0,61.5,8675614.0,
2020-04-14,61.5,64.1,59.8,64.0,20697895.5,
2020-04-15,64.1,65.7,63.9,64.95,53932751.5,
2020-04-16,64.95,64.95,55.05,58.5,24676304.5,
2020-04-17,59.5,62.0,59.5,61.0,33286988.0,
2020-04-20,62.7,62.7,60.95,61.4,29588002.5,
2020-04-21,61.1,61.1,60.2,60.8,22862330.0,
2020-04-22,60.8,60.9,59.0,60.2,23799019.0,
2020-04-23,61.35,61.95,60.95,61.3,28680731.0,
2020-04-24,61.6,61.6,60.8,60.8,28992740.0,
2020-04-27,60.8,62.0,60.5,62.0,18437250.5,
2020-04-28,63.0,64.5,62.25,62.5,38133931.0,
2020-04-29,62.0,65.0,62.0,64.95,103121466.5,
2020-04-30,65.55,69.5,65.55,67.0,47573889.0,
2020-05-04,67.0,67.05,64.7,65.0,30904311.0,
2020-05-05,66.5,66.5,65.0,65.95,101176008.5,
