dt,open,high,low,close,value,volume
2020-03-02,8.9,8.9,8.65,8.65,105570.0,
2020-03-03,8.65,8.65,8.65,8.65,32005.0,
2020-03-04,8.64,8.64,8.6,8.6,143220.0,
2020-03-05,8.6,8.9,8.6,8.9,27970.0,
2020-03-06,8.9,8.9,8.31,8.31,15520.0,
2020-03-09,8.25,8.25,7.05,7.05,114825.0,
2020-03-10,6.97,6.97,6.97,6.97,117793.0,
2020-03-11,,,,,,
2020-03-12,6.9,6.97,6.75,6.75,35854.0,
2020-03-13,,,,,,
2020-03-16,8.48,8.49,8.48,8.49,44147.0,
2020-03-19,5.0,6.0,5.0,5.75,518295.0,
2020-03-20,7.0,7.0,6.0,6.2,91000.0,
2020-03-23,,,,,,
2020-03-24,,,,,,
2020-03-25,6.0,6.0,6.0,6.0,3600.0,
2020-03-26,6.0,6.0,5.8,5.91,99103.0,
2020-03-27,6.5,6.5,6.0,6.0,10060.0,
2020-03-30,6.0,6.0,5.4,5.4,30000.0,
2020-03-31,5.42,5.42,5.4,5.4,44856.0,
2020-04-01,5.5,5.6,5.5,5.6,1110.0,
2020-04-02,,,,,,
2020-04-03,,,,,,
2020-04-06,5.6,5.6,5.02,5.03,168006.0,
2020-04-07,5.75,5.75,5.74,5.75,78185.0,
2020-04-08,5.75,5.8,5.75,5.75,53500.0,
2020-04-13,,,,,,
2020-04-14,,,,,,
2020-04-15,5.85,5.85,5.85,5.85,2925.0,
2020-04-16,5.84,5.84,5.84,5.84,8176.0,
2020-04-17,,,,,,
2020-04-20,,,,,,
2020-04-21,5.79,5.84,5.79,5.79,15658.0,
2020-04-22,5.3,5.32,5.3,5.32,15388.0,
2020-04-23,,,,,,
2020-04-24,,,,,,
2020-04-27,5.2,5.2,5.2,5.2,1560.0,
2020-04-28,,,,,,
2020-04-29,5.21,5.21,5.2,5.2,54113.0,
2020-04-30,5.14,5.14,5.14,5.14,514.0,
2020-05-04,5.6,5.8,5.6,5.8,7420.0,
2020-05-05,5.8,5.8,5.8,5.8,117740.0,
2020-05-06,5.9,5.9,5.9,5.9,590.0,
2020-05-07,5.9,5.98,5.9,5.98,4138.0,
2020-05-08,5.9,5.98,5.9,5.98,26558.0,
2020-05-11,,,,,,
2020-05-12,,,,,,
2020-05-13,5.61,5.61,5.61,5.61,22440.0,
2020-05-14,,,,,,
2020-05-15,5.98,5.98,5.98,5.98,1196.0,
2020-05-18,5.99,5.99,5.97,5.97,11347.0,
2020-05-19,5.98,5.98,5.98,5.98,75946.0,
2020-05-20,,,,,,
2020-05-21,,,,,,
2020-05-22,,,,,,
2020-05-26,,,,,,
2020-05-27,,,,,,
2020-05-28,,,,,,
2020-05-29,5.5,5.5,5.13,5.4,314524.0,
2020-06-01,5.4,5.4,5.4,5.4,7020.0,
2020-06-02,,,,,,
2020-06-03,,,,,,
2020-06-04,,,,,,
2020-06-05,5.25,5.25,4.51,5.25,625520.0,
