dt,open,high,low,close,value,volume
2020-03-02,19.5,19.6,18.9,19.14,60820592.0,
2020-03-03,19.22,19.6,19.0,19.2,36484026.0,
2020-03-04,19.3,19.6,19.12,19.42,8767844.0,
2020-03-05,19.6,19.84,19.42,19.46,37749434.0,
2020-03-06,19.5,19.7,19.48,19.48,33771324.0,
2020-03-09,19.1,19.2,18.8,19.0,35081486.0,
2020-03-10,16.8,17.6,16.52,17.5,42457974.0,
2020-03-11,17.36,17.54,17.0,17.3,17341530.0,
2020-03-12,17.0,17.0,14.4,14.46,28051108.0,
2020-03-13,14.38,14.38,11.42,12.8,64205374.0,
2020-03-16,12.0,12.7,11.72,12.16,66477234.0,
2020-03-19,11.6,11.6,8.92,8.92,27925461.0,
2020-03-20,9.99,9.99,8.3,9.1,28332526.0,
2020-03-23,8.64,11.0,8.43,10.6,32531692.0,
2020-03-24,10.6,10.8,10.2,10.62,10381902.0,
2020-03-25,10.84,11.0,10.42,10.8,43743160.0,
2020-03-26,10.76,11.18,10.5,10.8,30878578.0,
2020-03-27,11.0,11.48,10.6,10.6,27808458.0,
2020-03-30,10.5,10.8,10.22,10.7,9976648.0,
2020-03-31,10.7,11.5,10.7,11.0,50355028.0,
2020-04-01,11.3,11.74,11.18,11.44,22830456.0,
2020-04-02,11.6,11.72,11.24,11.44,16549398.0,
2020-04-03,11.74,11.82,11.48,11.82,15274902.0,
2020-04-06,11.82,11.98,11.7,11.84,16779118.0,
2020-04-07,12.0,12.4,11.92,12.0,50907666.0,
2020-04-08,12.0,12.0,11.5,11.6,12541600.0,
2020-04-13,11.8,12.2,11.8,12.2,8183592.0,
2020-04-14,12.38,12.8,12.36,12.4,28709664.0,
2020-04-15,12.8,13.4,12.76,13.12,29646798.0,
2020-04-16,13.2,13.2,12.5,12.5,34846996.0,
2020-04-17,12.54,13.0,12.52,12.6,22791130.0,
2020-04-20,12.98,12.98,12.6,12.76,9232094.0,
2020-04-21,12.66,12.66,12.0,12.2,10924664.0,
2020-04-22,12.2,12.22,11.8,12.0,19840852.0,
2020-04-23,12.0,12.2,11.96,12.0,23533846.0,
2020-04-24,12.0,12.02,11.82,11.82,11367590.0,
2020-04-27,11.8,12.6,11.68,12.6,8538268.0,
2020-04-28,12.36,12.36,11.82,11.98,6903596.0,
2020-04-29,12.2,12.2,12.0,12.1,11782758.0,
2020-04-30,12.18,12.18,12.08,12.1,16570168.0,
