dt,open,high,low,close,value,volume
2020-03-02,154.6,160.7,154.0,158.8,75247489.0,
2020-03-03,158.8,160.8,154.4,154.4,63257648.0,
2020-03-04,154.5,156.8,153.5,155.6,66924512.0,
2020-03-05,158.0,159.0,154.0,154.0,65349543.0,
2020-03-06,154.0,154.9,145.3,148.1,92791439.0,
2020-03-09,144.9,144.9,127.0,132.8,122716727.0,
2020-03-10,130.0,144.9,126.0,139.0,122904571.0,
2020-03-11,140.0,143.0,136.1,136.1,114294109.0,
2020-03-12,135.8,135.8,126.0,126.0,103812892.0,
2020-03-13,118.5,127.9,112.3,126.0,140461308.0,
2020-03-16,115.0,122.5,113.0,119.0,51756816.0,
2020-03-19,111.0,111.0,79.3,102.5,62713096.0,
2020-03-20,104.7,124.9,103.0,115.0,46526796.0,
2020-03-23,108.4,108.4,101.5,103.0,62560030.0,
2020-03-24,108.0,108.0,102.0,103.6,47322517.0,
2020-03-25,107.0,113.0,105.6,109.0,27593255.0,
2020-03-26,111.0,117.7,107.0,108.0,135978372.0,
2020-03-27,115.0,115.5,106.3,106.8,113765663.0,
2020-03-30,105.0,105.0,99.5,101.5,69489750.5,
2020-03-31,105.0,109.0,104.7,107.0,68447642.0,
2020-04-01,107.5,112.3,106.0,112.3,24018976.0,
2020-04-02,109.0,112.0,108.1,111.6,16154184.0,
2020-04-03,111.4,111.9,107.1,108.5,100559070.0,
2020-04-06,109.0,109.0,105.2,106.0,86673063.0,
2020-04-07,109.0,112.5,107.0,107.0,85156260.0,
2020-04-08,107.0,111.0,105.0,105.0,50940381.0,
2020-04-13,107.2,107.3,102.0,102.0,92039939.0,
2020-04-14,103.0,107.0,101.1,101.1,170909590.0,
2020-04-15,105.0,108.0,103.0,105.0,166230536.0,
2020-04-16,107.0,110.0,103.0,103.0,139414537.0,
2020-04-17,106.0,108.0,104.4,104.5,71224310.0,
2020-04-20,107.7,107.7,104.8,104.8,48863279.0,
2020-04-21,105.0,106.0,103.0,104.0,46194897.0,
2020-04-22,103.4,104.2,102.0,103.2,57265044.0,
2020-04-23,104.0,106.8,103.5,105.0,121688505.0,
2020-04-24,106.0,106.0,102.0,102.0,35729060.0,
2020-04-27,103.4,103.5,100.5,100.5,42097056.0,
2020-04-28,101.5,103.0,101.5,102.0,50753773.0,
2020-04-29,104.4,106.0,103.0,103.0,101051136.0,
2020-04-30,105.9,105.9,103.1,103.4,31830289.0,
2020-05-04,103.5,105.9,101.0,102.0,58380183.0,
2020-05-05,103.9,104.0,102.1,102.2,17701094.0,
2020-05-06,103.5,105.3,103.1,104.0,59517598.0,
2020-05-07,104.0,104.1,101.0,101.0,39329727.0,
2020-05-08,101.7,102.9,100.5,100.6,31946268.0,
2020-05-11,101.0,101.9,100.1,100.1,59794819.0,
2020-05-12,101.0,101.2,100.0,100.0,30253374.0,
2020-05-13,90.5,95.0,90.5,92.0,216292980.5,
2020-05-14,92.9,92.95,91.0,92.0,113646281.0,
2020-05-15,92.05,92.9,91.1,91.1,49729740.0,
2020-05-18,91.2,93.0,90.5,90.5,61826482.5,
2020-05-19,91.3,92.45,86.0,86.15,127997763.5,
2020-05-20,86.55,87.5,84.8,85.25,73843796.0,
2020-05-21,85.25,86.4,85.25,85.8,46305904.5,
2020-05-22,86.1,86.95,82.2,82.75,98417493.0,
2020-05-26,82.75,82.75,77.0,77.1,228057904.0,
2020-05-27,77.95,78.5,77.2,78.1,169116170.5,
2020-05-28,80.0,85.85,78.5,84.15,304261600.5,
2020-05-29,86.0,89.4,81.7,81.7,1972484593.5,
2020-06-01,84.0,91.45,83.5,89.0,486694543.5,
2020-06-02,91.0,97.45,90.6,96.6,349905919.0,
2020-06-03,97.6,103.5,97.6,102.0,456470266.0,
2020-06-04,105.0,108.9,99.75,101.0,471024654.0,
2020-06-05,101.2,106.0,101.2,102.5,291907386.0,
2020-06-08,108.0,114.8,106.5,111.5,398806884.0,
2020-06-09,113.0,114.0,107.0,108.1,278733866.0,
2020-06-10,108.2,108.4,102.5,102.5,283598046.0,
2020-06-11,102.0,106.0,100.0,103.5,116784054.0,
2020-06-15,100.5,103.4,100.1,100.2,119117620.0,
2020-06-16,101.2,105.4,101.2,103.5,58657122.0,
2020-06-17,104.5,105.8,102.8,103.2,131627630.0,
2020-06-18,103.5,103.9,100.5,103.0,59766199.0,
2020-06-19,103.0,104.0,102.3,102.3,92041424.0,
2020-06-22,102.3,104.1,101.3,104.1,54092685.0,
2020-06-23,104.1,110.9,103.6,108.0,341107733.0,
2020-06-24,110.0,110.5,106.1,108.8,167335593.0,
2020-06-25,107.8,107.8,102.8,105.0,92602326.0,
2020-06-26,105.1,106.8,104.2,106.5,44439816.0,
2020-06-29,105.9,105.9,102.5,104.0,81821036.0,
2020-06-30,104.0,104.0,102.0,103.0,98219340.0,
2020-07-01,103.1,104.8,102.5,104.8,34874346.0,
2020-07-02,104.8,107.8,103.5,107.5,114081201.0,
2020-07-03,108.0,111.7,108.0,109.4,98011433.0,
2020-07-06,109.4,109.4,105.3,105.7,33954677.0,
