dt,open,high,low,close,value,volume
2020-03-02,155.0,155.0,152.0,155.0,108926970.0,
2020-03-03,155.0,155.0,155.0,155.0,1550.0,
2020-03-04,157.9,158.0,140.1,150.0,4108397.0,
2020-03-05,155.0,155.0,152.0,153.0,2988558.0,
2020-03-06,150.0,150.0,145.0,148.0,117371680.0,
2020-03-09,148.0,158.0,148.0,150.0,2586623.0,
2020-03-10,149.0,151.0,149.0,150.0,63251795.0,
2020-03-11,150.0,150.7,150.0,150.0,10696773.0,
2020-03-12,145.0,145.0,142.0,145.0,60740344.0,
2020-03-13,145.0,145.0,140.0,142.0,3093570.0,
2020-03-16,145.0,150.0,140.0,140.0,61769150.0,
2020-03-19,136.1,137.5,135.0,137.5,8657326.0,
2020-03-20,135.0,135.0,120.0,131.4,342472816.0,
2020-03-23,132.0,132.0,126.0,129.5,39348755.0,
2020-03-24,126.0,130.0,125.0,129.0,95146521.0,
2020-03-25,130.9,131.9,126.1,131.0,134496661.0,
2020-03-26,131.0,131.0,125.0,131.0,3951617.0,
2020-03-27,125.0,130.5,125.0,130.0,23159480.0,
2020-03-30,130.0,131.9,130.0,130.0,10322950.0,
2020-03-31,128.7,130.0,128.7,130.0,3889483.0,
2020-04-01,135.0,135.0,130.1,130.1,31469.0,
2020-04-02,130.1,132.0,130.0,132.0,17233691.0,
2020-04-03,132.0,132.0,130.0,131.0,93281960.0,
2020-04-06,135.0,135.0,130.0,132.0,15694044.0,
2020-04-07,132.0,132.0,132.0,132.0,159720.0,
2020-04-08,132.0,133.0,132.0,132.0,5676100.0,
2020-04-13,135.0,135.0,130.0,132.0,89810.0,
2020-04-14,135.0,135.0,129.5,130.5,6518580.0,
2020-04-15,129.8,135.0,125.0,130.0,15673624.0,
2020-04-16,136.0,136.0,130.0,130.1,46689726.0,
2020-04-17,134.0,135.0,130.1,130.1,58693.0,
2020-04-20,130.0,135.0,130.0,135.0,6600.0,
2020-04-21,132.0,135.5,132.0,135.5,13610496.0,
2020-04-22,135.5,135.5,130.1,135.5,4639436.0,
2020-04-23,135.4,137.9,135.0,137.9,37952.0,
2020-04-24,137.8,137.8,130.0,130.0,9648138.0,
2020-04-27,130.0,130.0,130.0,130.0,27300.0,
2020-04-28,137.5,137.5,129.0,129.0,17947054.0,
2020-04-29,129.0,129.0,125.0,125.0,5348419.0,
2020-04-30,125.0,125.0,123.0,123.5,6626576.0,
2020-05-04,125.0,128.0,125.0,128.0,2150487.0,
2020-05-05,128.0,128.3,127.1,127.1,395421.0,
2020-05-06,127.0,129.9,127.0,127.0,137226.0,
2020-05-07,126.0,126.1,125.5,126.0,11840206.0,
2020-05-08,129.8,129.8,126.0,126.0,30541.0,
2020-05-11,127.0,128.0,127.0,127.8,43484.0,
2020-05-12,130.0,130.0,125.3,125.3,150046.0,
2020-05-13,125.0,129.6,125.0,125.0,18908082.0,
2020-05-14,125.1,125.5,125.0,125.5,51333.0,
2020-05-15,129.0,129.9,127.0,129.5,671949.0,
2020-05-18,129.8,131.1,125.2,131.0,5678990.0,
2020-05-19,131.0,131.0,130.0,131.0,4648264.0,
2020-05-20,130.0,132.0,130.0,132.0,18301.0,
2020-05-21,130.0,130.5,130.0,130.0,8851783.0,
2020-05-22,130.0,131.0,130.0,130.0,9372383.0,
2020-05-26,131.0,131.0,130.0,130.0,20689575.0,
2020-05-27,129.0,129.0,129.0,129.0,6450.0,
2020-05-28,128.0,128.0,125.5,127.0,8283132.0,
2020-05-29,127.1,130.8,127.0,127.0,185373.0,
2020-06-01,127.0,127.1,127.0,127.1,20335.0,
2020-06-02,127.1,127.1,127.1,127.1,3813.0,
2020-06-03,127.2,131.0,127.2,131.0,178738.0,
2020-06-04,131.0,134.0,131.0,134.0,117969.0,
2020-06-05,134.0,135.0,134.0,134.5,4054670.0,
2020-06-08,134.0,137.0,134.0,137.0,256986.0,
2020-06-09,,,,,,
2020-06-10,135.6,135.6,135.0,135.0,31062.0,
2020-06-11,130.0,130.0,129.0,129.0,222562.0,
2020-06-15,130.0,130.0,129.0,129.0,7991208.0,
2020-06-16,135.0,135.0,130.0,130.0,156062082.0,
2020-06-17,130.0,134.0,130.0,134.0,212388.0,
2020-06-18,134.5,134.5,127.1,130.0,40345769.0,
2020-06-19,129.0,129.0,127.9,128.5,4849692.0,
2020-06-22,128.0,128.0,127.0,127.0,25506.0,
2020-06-23,126.1,126.1,125.5,126.0,317315.0,
2020-06-24,129.0,129.0,129.0,129.0,23220.0,
2020-06-25,129.0,129.0,129.0,129.0,1290.0,
2020-06-26,126.0,126.0,125.8,125.8,69234.0,
2020-06-29,125.8,125.8,125.8,125.8,27676.0,
2020-06-30,125.0,129.0,125.0,129.0,7297310.0,
2020-07-01,129.0,129.0,128.9,128.9,56738.0,
2020-07-02,125.0,127.0,125.0,126.5,64878745.0,
2020-07-03,125.0,126.0,125.0,125.0,48346695.0,
2020-07-06,127.0,128.0,125.0,125.0,17194780.0,
2020-07-07,128.9,128.9,124.8,125.0,16261381.0,
2020-07-08,125.0,125.5,124.5,125.0,653792.0,
2020-07-09,125.4,125.4,124.0,125.0,638464.0,
2020-07-10,124.0,128.5,124.0,125.0,4443425.0,
2020-07-13,124.9,125.0,124.9,125.0,259800.0,
2020-07-14,125.0,125.5,125.0,125.0,577525.0,
2020-07-15,125.0,125.0,124.8,125.0,419910.0,
2020-07-16,125.0,125.5,125.0,125.0,379685.0,
2020-07-17,125.5,125.5,125.0,125.0,2426339.0,
2020-07-20,125.0,126.0,125.0,126.0,2852455.0,
2020-07-21,127.9,127.9,125.0,126.8,40361.0,
2020-07-22,126.8,127.0,126.5,127.0,4477919.0,
2020-07-23,127.0,127.0,126.5,126.5,50700.0,
2020-07-24,125.0,125.0,124.8,125.0,12496.0,
2020-07-27,124.0,124.0,124.0,124.0,2480.0,
2020-07-28,122.0,125.0,122.0,125.0,224520.0,
2020-07-29,125.9,125.9,125.0,125.0,5207509.0,
2020-07-30,123.0,125.0,123.0,125.0,3726230.0,
2020-08-03,120.0,125.0,120.0,125.0,10408732.0,
2020-08-04,,,,125.0,,56640.0
2020-08-05,,,,125.0,,34560.0
2020-08-06,,,,125.0,,34920.0
2020-08-07,,,,122.0,,2160.0
2020-08-10,,,,125.0,,52090.0
