dt,open,high,low,close,value,volume
2020-03-02,1.0,1.01,0.9,0.9,76720.0,
2020-03-03,,,,,,
2020-03-04,1.04,1.16,0.95,0.95,225110.0,
2020-03-05,0.98,1.0,0.98,0.98,19670.0,
2020-03-06,1.1,1.1,0.98,0.98,6330.0,
2020-03-09,0.97,0.97,0.88,0.92,598410.0,
2020-03-10,0.91,0.95,0.9,0.95,160480.0,
2020-03-11,0.95,0.95,0.95,0.95,22800.0,
2020-03-12,0.95,0.95,0.95,0.95,950.0,
2020-03-13,0.9,0.9,0.8,0.88,517780.0,
2020-03-16,0.84,0.84,0.84,0.84,840.0,
2020-03-19,0.95,0.95,0.84,0.84,7230.0,
2020-03-20,0.8,0.8,0.76,0.8,47010.0,
2020-03-23,0.76,0.83,0.75,0.83,176750.0,
2020-03-24,0.81,0.81,0.81,0.81,8100.0,
2020-03-25,0.81,0.83,0.78,0.83,64950.0,
2020-03-26,0.81,0.83,0.8,0.83,115380.0,
2020-03-27,0.83,0.83,0.81,0.82,21360.0,
2020-03-30,,,,,,
2020-03-31,0.8,0.8,0.8,0.8,8000.0,
2020-04-01,,,,,,
2020-04-02,0.83,0.83,0.83,0.83,830.0,
2020-04-03,0.83,0.84,0.83,0.84,1418510.0,
2020-04-06,0.81,0.92,0.81,0.92,468260.0,
2020-04-07,0.9,0.9,0.85,0.9,452900.0,
2020-04-08,0.95,0.95,0.95,0.95,950.0,
2020-04-13,0.82,0.9,0.82,0.9,3440.0,
2020-04-14,0.9,0.94,0.9,0.94,10220.0,
2020-04-15,0.94,0.95,0.94,0.95,12310.0,
2020-04-16,0.95,0.95,0.92,0.93,17730.0,
2020-04-17,0.95,0.95,0.95,0.95,1900.0,
2020-04-20,0.98,0.98,0.98,0.98,1960.0,
2020-04-21,0.98,0.98,0.98,0.98,9800.0,
2020-04-22,0.98,0.98,0.98,0.98,3920.0,
2020-04-23,0.98,0.98,0.98,0.98,4900.0,
2020-04-24,0.98,0.98,0.98,0.98,19600.0,
2020-04-27,0.99,0.99,0.98,0.99,33610.0,
2020-04-28,1.0,1.0,0.99,1.0,13920.0,
2020-04-29,,,,,,
2020-04-30,1.01,1.03,1.0,1.01,15050.0,
2020-05-04,0.94,0.96,0.94,0.95,492200.0,
2020-05-05,0.97,0.97,0.97,0.97,185270.0,
2020-05-06,1.0,1.0,0.96,1.0,9960.0,
2020-05-07,,,,,,
2020-05-08,0.98,0.99,0.98,0.99,9810.0,
2020-05-11,0.98,0.98,0.98,0.98,8820.0,
2020-05-12,0.98,0.98,0.98,0.98,2940.0,
2020-05-13,,,,,,
2020-05-14,0.98,0.98,0.98,0.98,23520.0,
2020-05-15,,,,,,
2020-05-18,0.98,0.98,0.98,0.98,21560.0,
2020-05-19,0.99,1.0,0.99,0.99,54820.0,
2020-05-20,1.0,1.0,0.96,0.96,205930.0,
2020-05-21,0.94,0.95,0.93,0.93,424260.0,
2020-05-22,0.93,0.98,0.93,0.98,11630.0,
2020-05-26,0.99,0.99,0.96,0.97,52660.0,
2020-05-27,0.98,0.98,0.98,0.98,5880.0,
2020-05-28,,,,,,
2020-05-29,,,,,,
2020-06-01,0.96,0.96,0.96,0.96,31680.0,
2020-06-02,0.99,0.99,0.96,0.97,3900.0,
2020-06-03,0.97,1.04,0.97,1.03,148550.0,
2020-06-04,1.05,1.05,1.05,1.05,1050.0,
2020-06-05,,,,,,
2020-06-08,1.05,1.05,1.05,1.05,8400.0,
2020-06-09,,,,,,
2020-06-10,1.03,1.03,0.99,0.99,131720.0,
2020-06-11,,,,,,
2020-06-15,0.96,0.96,0.94,0.95,90250.0,
2020-06-16,0.97,0.97,0.94,0.94,239640.0,
2020-06-17,0.95,0.96,0.95,0.96,21070.0,
2020-06-18,0.96,0.96,0.96,0.96,9600.0,
2020-06-19,0.94,0.99,0.94,0.95,18060.0,
2020-06-22,0.95,0.95,0.93,0.93,849020.0,
2020-06-23,0.92,0.97,0.92,0.92,26730.0,
2020-06-24,0.94,0.94,0.94,0.94,67680.0,
2020-06-25,0.94,0.94,0.94,0.94,41360.0,
2020-06-26,0.97,1.01,0.97,1.01,1319380.0,
2020-06-29,1.0,1.0,0.95,0.95,67650.0,
2020-06-30,0.97,0.97,0.97,0.97,33950.0,
2020-07-01,0.96,1.0,0.96,1.0,102880.0,
2020-07-02,0.96,0.96,0.96,0.96,41280.0,
2020-07-03,0.96,0.97,0.96,0.96,366960.0,
2020-07-06,0.97,1.05,0.97,1.02,321140.0,
2020-07-07,1.0,1.02,0.96,1.02,349310.0,
2020-07-08,0.97,0.98,0.97,0.98,36920.0,
2020-07-09,,,,,,
2020-07-10,0.99,1.0,0.99,1.0,58990.0,
2020-07-13,,,,,,
2020-07-14,1.0,1.0,1.0,1.0,45000.0,
2020-07-15,1.01,1.01,0.99,0.99,42770.0,
2020-07-16,0.99,1.0,0.99,1.0,22920.0,
2020-07-17,0.99,0.99,0.99,0.99,4950.0,
2020-07-20,1.0,1.01,1.0,1.01,10020.0,
2020-07-21,1.02,1.03,1.02,1.03,84860.0,
2020-07-22,,,,,,
2020-07-23,1.03,1.03,1.0,1.0,49120.0,
2020-07-24,,,,,,
2020-07-27,1.0,1.0,1.0,1.0,4000.0,
2020-07-28,,,,,,
2020-07-29,,,,,,
2020-07-30,0.99,0.99,0.99,0.99,9900.0,
2020-08-03,0.99,1.01,0.99,1.01,219500.0,
2020-08-07,,,,1.0,,3000.0
