dt,open,high,low,close,value,volume
2020-03-02,151.0,165.0,150.0,165.0,19820.0,
2020-03-03,150.0,170.0,150.0,170.0,10940.0,
2020-03-04,170.0,175.0,170.0,175.0,34860.0,
2020-03-05,175.0,175.0,175.0,175.0,19250.0,
2020-03-06,,,,,,
2020-03-09,160.0,160.0,160.0,160.0,8000.0,
2020-03-10,150.0,160.0,145.0,145.0,79250.0,
2020-03-11,150.0,159.8,150.0,159.8,7696.0,
2020-03-12,,,,,,
2020-03-13,182.0,182.0,170.0,170.0,46850.0,
2020-03-16,,,,,,
2020-03-19,,,,,,
2020-03-20,,,,,,
2020-03-23,,,,,,
2020-03-24,,,,,,
2020-03-25,130.0,159.0,130.0,159.0,18860.0,
2020-03-26,140.0,153.0,140.0,150.0,97730.0,
2020-03-27,150.0,150.0,150.0,150.0,9000.0,
2020-03-30,150.0,150.0,130.0,144.0,22600.0,
2020-03-31,131.0,150.0,131.0,150.0,101440.0,
2020-04-01,150.0,158.0,150.0,158.0,101430.0,
2020-04-02,152.0,169.9,150.0,169.9,143378.0,
2020-04-03,172.0,220.0,172.0,200.0,5917913.0,
2020-04-06,210.0,210.0,180.0,180.0,1689816.0,
2020-04-07,183.1,194.0,175.0,180.0,1083338.0,
2020-04-08,180.0,180.0,174.5,174.5,712775.0,
2020-04-13,171.0,171.1,161.0,170.0,524121.0,
2020-04-14,161.0,170.0,161.0,170.0,879880.0,
2020-04-15,170.0,180.0,170.0,179.0,272989.0,
2020-04-16,178.9,200.0,170.0,170.0,1558904.0,
2020-04-17,170.0,170.0,161.1,161.1,314753.0,
2020-04-20,166.0,168.0,162.1,162.1,119190.0,
2020-04-21,162.1,165.0,162.1,165.0,58965.0,
2020-04-22,165.0,166.0,165.0,166.0,34710.0,
2020-04-23,166.0,168.0,165.0,165.0,28330.0,
2020-04-24,165.0,165.0,162.0,162.0,48660.0,
2020-04-27,163.0,163.0,162.0,162.0,163670.0,
2020-04-28,163.0,163.0,160.0,163.0,75800.0,
2020-04-29,170.0,170.0,165.0,166.0,26660.0,
2020-04-30,160.1,170.0,160.0,170.0,84460.0,
2020-05-04,160.1,168.5,151.0,166.1,769438.0,
2020-05-05,156.0,165.0,156.0,165.0,48470.0,
2020-05-06,160.0,160.0,160.0,160.0,68800.0,
2020-05-07,161.0,161.0,161.0,161.0,17710.0,
2020-05-08,161.0,162.0,161.0,162.0,14550.0,
2020-05-11,168.2,168.2,162.0,162.0,4922.0,
2020-05-12,,,,,,
2020-05-13,,,,,,
2020-05-14,160.0,166.0,160.0,166.0,11260.0,
2020-05-15,,,,,,
2020-05-18,160.0,162.0,160.0,162.0,17620.0,
2020-05-19,,,,,,
2020-05-20,164.0,164.0,164.0,164.0,3280.0,
2020-05-21,167.0,167.0,167.0,167.0,8350.0,
2020-05-22,,,,,,
2020-05-26,160.0,160.0,159.0,159.0,41460.0,
2020-05-27,,,,,,
2020-05-28,,,,,,
2020-05-29,,,,,,
2020-06-01,155.0,156.0,155.0,156.0,32650.0,
2020-06-02,,,,,,
2020-06-03,,,,,,
2020-06-04,156.0,156.0,150.0,150.0,398610.0,
2020-06-05,169.7,169.7,155.0,160.0,138731.0,
