dt,open,high,low,close,value,volume
2020-03-02,26.75,26.75,26.1,26.2,7853630.0,
2020-03-03,26.5,26.75,26.2,26.2,7713725.0,
2020-03-04,26.2,26.5,26.15,26.35,16650065.0,
2020-03-05,26.6,27.0,26.35,26.6,2742380.0,
2020-03-06,27.0,27.0,26.5,26.8,7284310.0,
2020-03-09,26.05,26.05,24.5,24.5,10162500.0,
2020-03-10,24.35,24.35,22.3,23.05,12970775.0,
2020-03-11,23.4,24.0,23.3,23.65,11289685.0,
2020-03-12,23.6,23.6,22.1,22.3,15593415.0,
2020-03-13,22.0,22.0,20.05,21.0,5553895.0,
2020-03-16,21.9,21.9,20.3,20.75,5090545.0,
2020-03-19,20.65,20.65,17.5,17.5,4982732.0,
2020-03-20,17.7,19.0,17.7,18.5,2526012.0,
2020-03-23,18.8,18.9,17.5,17.8,4671530.0,
2020-03-24,18.5,18.5,17.8,18.0,3794886.0,
2020-03-25,18.5,19.02,18.5,18.7,12065248.0,
2020-03-26,18.56,19.58,18.4,18.7,7020066.0,
2020-03-27,19.0,19.0,18.66,18.7,16725590.0,
2020-03-30,18.7,18.8,18.1,18.5,17276668.0,
2020-03-31,18.52,19.0,18.52,18.86,7028768.0,
2020-04-01,19.0,19.0,18.82,18.88,7791166.0,
2020-04-02,18.88,18.88,18.0,18.5,2570088.0,
2020-04-03,19.0,19.2,18.5,18.6,6011074.0,
2020-04-06,18.7,18.9,18.52,18.7,7967116.0,
2020-04-07,18.9,18.9,18.02,18.06,17865740.0,
2020-04-08,18.22,18.22,18.02,18.06,8825170.0,
2020-04-13,18.06,18.3,18.02,18.08,27052202.0,
2020-04-14,18.08,18.54,18.04,18.26,24574968.0,
2020-04-15,18.42,19.32,18.42,18.82,18991026.0,
2020-04-16,19.1,19.8,19.02,19.36,17836822.0,
2020-04-17,19.36,19.7,18.9,19.1,20803118.0,
2020-04-20,19.24,19.28,18.52,19.04,11726796.0,
2020-04-21,18.5,18.5,17.0,17.92,28084490.0,
2020-04-22,17.9,18.26,17.5,18.26,29464160.0,
2020-04-23,18.52,19.0,18.52,18.8,11022830.0,
2020-04-24,18.66,18.8,18.18,18.2,11179250.0,
2020-04-27,18.3,18.5,18.12,18.48,7602884.0,
2020-04-28,18.5,18.8,18.4,18.4,5860704.0,
2020-04-29,18.5,18.5,18.24,18.24,11945736.0,
2020-04-30,18.4,18.68,18.32,18.5,14464076.0,
2020-05-04,18.56,18.6,18.4,18.52,10091224.0,
2020-05-05,18.56,18.8,18.52,18.74,5412230.0,
2020-05-06,18.7,18.7,18.46,18.46,8911532.0,
2020-05-07,18.5,18.68,18.5,18.66,5040666.0,
2020-05-08,18.66,18.82,18.66,18.72,8072196.0,
2020-05-11,18.8,18.82,18.6,18.62,6979482.0,
2020-05-12,18.8,18.8,18.7,18.72,4555094.0,
2020-05-13,18.8,18.8,18.54,18.54,5769884.0,
2020-05-14,18.5,18.5,17.78,18.0,20574438.0,
2020-05-15,18.3,18.3,17.72,17.72,6053782.0,
2020-05-18,17.72,17.72,16.5,17.0,26028154.0,
2020-05-19,17.0,17.28,16.8,16.94,5809906.0,
2020-05-20,16.94,17.0,16.3,16.38,12105774.0,
2020-05-21,16.48,17.3,16.48,16.58,10297200.0,
2020-05-22,17.42,17.42,16.64,16.9,11896188.0,
2020-05-26,16.9,16.92,16.4,16.46,9908862.0,
2020-05-27,16.9,16.98,16.52,16.72,7080096.0,
2020-05-28,17.0,17.14,16.6,16.9,24683008.0,
2020-05-29,17.1,17.28,17.0,17.12,19696536.0,
2020-06-01,17.2,17.74,17.2,17.6,11199570.0,
2020-06-02,17.78,18.0,17.74,17.92,21317080.0,
2020-06-03,18.1,18.32,18.1,18.12,7637842.0,
2020-06-04,18.12,18.12,17.9,18.0,28849600.0,
2020-06-05,18.0,18.12,17.8,18.02,59138602.0,
2020-06-08,18.98,20.1,18.62,19.52,41220184.0,
2020-06-09,20.2,20.85,20.2,20.65,89859150.0,
2020-06-10,20.7,22.3,19.5,19.82,32345972.0,
2020-06-11,19.84,19.9,19.0,19.8,12930142.0,
2020-06-15,19.5,19.5,18.5,18.84,15388092.0,
2020-06-16,18.88,19.4,18.88,19.0,14709210.0,
2020-06-17,19.2,19.6,18.8,18.8,11008358.0,
2020-06-18,18.9,18.9,18.02,18.2,8605694.0,
2020-06-19,18.3,18.6,18.22,18.4,15141570.0,
2020-06-22,18.6,18.66,18.46,18.48,4485928.0,
2020-06-23,18.7,18.76,18.02,18.3,7294188.0,
2020-06-24,18.78,18.78,18.2,18.2,7477418.0,
2020-06-25,18.2,18.48,18.02,18.04,3782534.0,
2020-06-26,18.02,19.0,18.0,18.4,5337900.0,
2020-06-29,18.4,18.4,18.0,18.02,3741684.0,
2020-06-30,18.02,18.22,17.92,17.96,8230982.0,
2020-07-01,18.16,18.42,17.7,18.0,3795998.0,
2020-07-02,18.1,18.4,17.92,18.2,2396434.0,
2020-07-03,18.28,18.44,18.28,18.38,26198776.0,
2020-07-06,18.48,18.7,18.44,18.64,5049158.0,
2020-07-07,18.66,19.2,18.66,18.96,67972904.0,
2020-07-08,19.0,19.0,18.5,18.7,11565086.0,
2020-07-09,18.8,19.0,18.6,19.0,9879914.0,
2020-07-10,18.96,18.96,18.5,18.94,4369120.0,
2020-07-13,18.94,18.94,18.48,18.8,4562152.0,
2020-07-14,18.7,18.7,18.52,18.52,3313638.0,
2020-07-15,18.52,18.56,18.04,18.1,8819216.0,
2020-07-16,18.1,18.18,17.9,18.0,6880910.0,
2020-07-17,18.0,18.46,18.0,18.18,704238.0,
2020-07-20,18.18,18.48,18.1,18.1,2535020.0,
2020-07-21,18.4,18.48,18.1,18.26,2599486.0,
2020-07-22,18.24,18.3,18.22,18.28,607900.0,
2020-07-23,18.28,18.28,17.98,18.0,9167560.0,
2020-07-24,18.1,18.16,18.0,18.04,11397286.0,
