dt,open,high,low,close,value,volume
2020-03-02,3.02,3.04,3.02,3.02,247680.0,
2020-03-03,3.02,3.07,3.02,3.07,9893570.0,
2020-03-04,3.05,3.07,3.05,3.07,85560.0,
2020-03-05,3.02,3.02,3.02,3.02,141940.0,
2020-03-06,3.09,3.09,3.09,3.09,3090.0,
2020-03-09,3.0,3.0,2.98,2.98,149660.0,
2020-03-10,2.98,2.98,2.97,2.97,653500.0,
2020-03-11,3.0,3.05,3.0,3.02,96490.0,
2020-03-12,2.98,2.98,2.9,2.9,38150.0,
2020-03-13,2.75,3.0,2.75,2.9,335610.0,
2020-03-16,,,,,,
2020-03-19,2.71,2.71,2.45,2.6,46090.0,
2020-03-20,2.6,2.6,2.45,2.6,140110.0,
2020-03-23,2.79,2.79,2.55,2.7,21660.0,
2020-03-24,2.7,2.8,2.7,2.8,265000.0,
2020-03-25,3.0,3.0,2.9,2.9,5900.0,
2020-03-26,2.9,2.9,2.9,2.9,5800.0,
2020-03-27,2.75,2.76,2.74,2.74,156730.0,
2020-03-30,2.7,2.9,2.7,2.75,291850.0,
2020-03-31,2.75,2.8,2.68,2.75,1562830.0,
2020-04-01,2.75,2.99,2.75,2.85,661300.0,
2020-04-02,2.98,2.98,2.7,2.85,299020.0,
2020-04-03,2.98,2.98,2.9,2.97,121010.0,
2020-04-06,2.92,2.95,2.88,2.88,539510.0,
2020-04-07,2.88,2.95,2.6,2.71,1841010.0,
2020-04-08,2.92,2.92,2.75,2.77,452930.0,
2020-04-13,2.77,2.8,2.75,2.75,1561950.0,
2020-04-14,2.74,2.74,2.67,2.67,385850.0,
2020-04-15,2.65,2.7,2.65,2.67,266700.0,
2020-04-16,2.67,2.7,2.67,2.67,85470.0,
2020-04-17,2.63,2.66,2.62,2.66,155210.0,
2020-04-20,2.62,2.71,2.62,2.71,24300.0,
2020-04-21,2.64,2.64,2.63,2.63,42140.0,
2020-04-22,2.64,2.67,2.63,2.66,108520.0,
2020-04-23,2.7,2.71,2.65,2.65,115420.0,
2020-04-24,2.67,2.7,2.67,2.69,80620.0,
2020-04-27,2.69,2.71,2.69,2.7,51400.0,
2020-04-28,2.72,2.75,2.71,2.75,100600.0,
2020-04-29,2.75,2.75,2.7,2.73,184100.0,
2020-04-30,2.73,2.74,2.7,2.71,457000.0,
2020-05-04,2.7,2.72,2.7,2.7,777900.0,
2020-05-05,2.72,2.72,2.7,2.72,145920.0,
2020-05-06,2.88,2.88,2.7,2.7,265560.0,
2020-05-07,2.85,2.85,2.7,2.79,916640.0,
2020-05-08,2.84,2.84,2.7,2.79,500740.0,
2020-05-11,2.72,2.75,2.7,2.7,2120000.0,
2020-05-12,2.7,2.73,2.7,2.7,64860.0,
2020-05-13,2.69,2.7,2.68,2.7,324460.0,
2020-05-14,2.7,2.7,2.7,2.7,380700.0,
2020-05-15,2.68,2.68,2.68,2.68,268000.0,
2020-05-18,2.7,2.7,2.7,2.7,297000.0,
2020-05-19,2.7,2.7,2.68,2.68,649940.0,
2020-05-20,2.68,2.68,2.66,2.66,40140.0,
2020-05-21,2.7,2.7,2.65,2.66,279500.0,
2020-05-22,2.67,2.67,2.67,2.67,34710.0,
2020-05-26,2.66,2.66,2.55,2.55,754510.0,
2020-05-27,2.64,2.64,2.56,2.56,387720.0,
2020-05-28,2.69,2.69,2.58,2.58,260690.0,
2020-05-29,2.56,2.61,2.56,2.56,372130.0,
2020-06-01,2.69,2.69,2.69,2.69,8070.0,
2020-06-02,2.7,2.7,2.65,2.65,294450.0,
2020-06-03,2.7,2.7,2.65,2.65,16000.0,
2020-06-04,2.65,2.7,2.65,2.69,98660.0,
2020-06-05,2.7,2.72,2.7,2.72,119080.0,
2020-06-08,2.69,2.72,2.68,2.72,193200.0,
2020-06-09,2.72,2.74,2.7,2.74,263150.0,
2020-06-10,2.7,2.72,2.68,2.72,324880.0,
2020-06-11,2.72,2.75,2.69,2.75,475220.0,
2020-06-15,2.7,2.73,2.69,2.69,27030.0,
2020-06-16,2.71,2.71,2.71,2.71,86720.0,
2020-06-17,2.75,2.75,2.69,2.72,3803250.0,
2020-06-18,2.7,2.72,2.7,2.72,89200.0,
2020-06-19,2.69,2.73,2.69,2.72,27220.0,
2020-06-22,2.71,2.71,2.7,2.7,91870.0,
2020-06-23,,,,,,
2020-06-24,2.72,2.72,2.72,2.72,27200.0,
2020-06-25,2.72,2.72,2.7,2.7,56800.0,
2020-06-26,2.7,2.7,2.7,2.7,54000.0,
2020-06-29,2.7,2.71,2.69,2.7,315850.0,
2020-06-30,2.72,2.72,2.68,2.68,399370.0,
2020-07-01,,,,,,
2020-07-02,2.68,2.68,2.68,2.68,209040.0,
2020-07-03,2.72,2.72,2.7,2.7,51620.0,
2020-07-06,2.69,2.7,2.69,2.69,118760.0,
2020-07-07,,,,,,
2020-07-08,2.72,2.72,2.71,2.71,195140.0,
2020-07-09,2.72,2.72,2.71,2.72,89460.0,
