dt,open,high,low,close,value,volume
2020-03-02,,,,,,
2020-03-03,1750.0,1750.0,1750.0,1750.0,61250.0,
2020-03-04,1750.0,1750.0,1750.0,1750.0,78750.0,
2020-03-05,1750.0,1750.0,1721.0,1721.0,43605.0,
2020-03-06,,,,,,
2020-03-09,1780.0,1780.0,1780.0,1780.0,8900.0,
2020-03-10,,,,,,
2020-03-11,,,,,,
2020-03-12,1750.0,1750.0,1750.0,1750.0,17500.0,
2020-03-13,1650.0,1650.0,1450.0,1485.0,170600.0,
2020-03-16,,,,,,
2020-03-19,1400.0,1400.0,1400.0,1400.0,49000.0,
2020-03-20,1400.0,1420.0,1400.0,1420.0,49200.0,
2020-03-23,1395.0,1399.0,1351.0,1390.0,150905.0,
2020-03-24,1360.0,1360.0,1350.0,1350.0,81400.0,
2020-03-25,,,,,,
2020-03-26,1390.0,1390.0,1390.0,1390.0,34750.0,
2020-03-27,1450.0,1450.0,1450.0,1450.0,36250.0,
2020-03-30,,,,,,
2020-03-31,,,,,,
2020-04-01,1580.0,1580.0,1580.0,1580.0,118500.0,
2020-04-02,1639.0,1639.0,1580.0,1580.0,170900.0,
2020-04-03,1580.0,1620.0,1580.0,1620.0,55500.0,
2020-04-06,1619.0,1619.0,1580.0,1580.0,111365.0,
2020-04-07,1620.0,1620.0,1620.0,1620.0,16200.0,
2020-04-08,1620.0,1620.0,1620.0,1620.0,8100.0,
2020-04-13,1620.0,1655.0,1620.0,1655.0,40675.0,
2020-04-14,1650.0,1650.0,1650.0,1650.0,16500.0,
2020-04-15,1610.0,1610.0,1610.0,1610.0,16100.0,
2020-04-16,1695.0,1695.0,1600.0,1600.0,115315.0,
2020-04-17,1600.0,1600.0,1600.0,1600.0,80000.0,
2020-04-20,,,,,,
2020-04-21,1510.0,1510.0,1510.0,1510.0,7550.0,
2020-04-22,1510.0,1510.0,1510.0,1510.0,45300.0,
2020-04-23,,,,,,
2020-04-24,1510.0,1510.0,1510.0,1510.0,755000.0,
2020-04-27,1510.0,1510.0,1510.0,1510.0,45300.0,
2020-04-28,1598.0,1598.0,1598.0,1598.0,31960.0,
2020-04-29,,,,,,
2020-04-30,,,,,,
2020-05-04,1560.0,1560.0,1550.0,1550.0,93055.0,
2020-05-05,1600.0,1600.0,1600.0,1600.0,8000.0,
2020-05-06,,,,,,
2020-05-07,,,,,,
2020-05-08,1600.0,1600.0,1580.0,1600.0,772900.0,
2020-05-11,,,,,,
2020-05-12,,,,,,
2020-05-13,,,,,,
2020-05-14,1600.0,1600.0,1600.0,1600.0,8000.0,
2020-05-15,1620.0,1620.0,1590.0,1590.0,95700.0,
2020-05-18,1640.0,1640.0,1580.0,1580.0,32200.0,
2020-05-19,,,,,,
2020-05-20,1590.0,1590.0,1580.0,1580.0,39550.0,
2020-05-21,,,,,,
2020-05-22,1580.0,1580.0,1580.0,1580.0,15800.0,
