dt,open,high,low,close,value,volume
2020-03-02,2.3,2.36,2.29,2.34,925190.0,
2020-03-03,2.35,2.35,2.29,2.33,487020.0,
2020-03-04,2.34,2.35,2.3,2.35,93500.0,
2020-03-05,2.35,2.35,2.35,2.35,11750.0,
2020-03-06,2.34,2.35,2.3,2.34,514270.0,
2020-03-09,2.33,2.35,2.2,2.33,687700.0,
2020-03-10,2.33,2.33,2.19,2.29,546690.0,
2020-03-11,2.33,2.33,2.2,2.31,93340.0,
2020-03-12,2.31,2.31,2.15,2.19,1116190.0,
2020-03-13,2.19,2.31,1.85,2.16,483430.0,
2020-03-16,2.18,2.19,2.14,2.16,477840.0,
2020-03-19,2.14,2.14,1.88,2.07,617880.0,
2020-03-20,2.06,2.06,1.85,2.04,429510.0,
2020-03-23,2.03,2.03,1.83,2.02,113100.0,
2020-03-24,1.83,2.16,1.83,2.16,107850.0,
2020-03-25,2.06,2.38,2.06,2.29,21130780.0,
2020-03-26,2.2,2.2,1.96,2.15,2241870.0,
2020-03-27,2.15,2.2,2.0,2.15,121760.0,
2020-03-30,2.15,2.15,2.15,2.15,10750.0,
2020-03-31,2.14,2.14,1.95,2.05,1672450.0,
2020-04-01,1.98,2.01,1.96,2.0,2313770.0,
2020-04-02,1.96,2.04,1.88,2.0,1545100.0,
2020-04-03,1.95,2.0,1.88,2.0,1092490.0,
2020-04-06,1.89,1.98,1.86,1.98,856570.0,
2020-04-07,1.86,1.98,1.83,1.93,1472140.0,
2020-04-08,1.85,1.86,1.85,1.85,1103150.0,
2020-04-13,1.95,1.96,1.85,1.94,296250.0,
2020-04-14,1.94,1.95,1.89,1.93,155210.0,
2020-04-15,1.96,1.96,1.88,1.93,394930.0,
2020-04-16,1.88,1.93,1.85,1.92,105860.0,
2020-04-17,1.92,1.96,1.92,1.95,183250.0,
2020-04-20,1.95,1.95,1.87,1.9,165380.0,
2020-04-21,1.87,1.9,1.86,1.89,164380.0,
2020-04-22,1.85,1.87,1.84,1.87,299200.0,
2020-04-23,1.89,1.89,1.85,1.85,65430.0,
2020-04-24,1.89,1.89,1.85,1.88,33740.0,
2020-04-27,1.88,1.9,1.86,1.9,77030.0,
2020-04-28,1.9,1.9,1.84,1.9,288410.0,
2020-04-29,1.85,1.9,1.85,1.9,149260.0,
2020-04-30,1.9,1.97,1.85,1.94,292600.0,
2020-05-04,1.94,1.94,1.88,1.92,63180.0,
2020-05-05,1.92,1.93,1.92,1.92,46220.0,
2020-05-06,1.92,1.92,1.88,1.92,122740.0,
2020-05-07,1.92,1.93,1.92,1.93,100310.0,
2020-05-08,1.93,1.93,1.92,1.93,96440.0,
2020-05-11,1.93,1.93,1.93,1.93,96500.0,
2020-05-12,1.86,1.93,1.8,1.93,386380.0,
2020-05-13,1.93,1.93,1.9,1.93,57760.0,
2020-05-14,1.93,1.93,1.93,1.93,73340.0,
2020-05-15,1.91,1.93,1.91,1.93,192790.0,
2020-05-18,1.81,1.9,1.81,1.9,54670.0,
2020-05-19,1.82,1.9,1.82,1.9,20820.0,
2020-05-20,1.9,1.9,1.9,1.9,98800.0,
2020-05-21,1.89,1.95,1.89,1.95,90040.0,
2020-05-22,1.9,1.95,1.9,1.95,209340.0,
2020-05-26,1.92,1.92,1.92,1.92,1920.0,
2020-05-27,1.85,1.88,1.82,1.88,111770.0,
2020-05-28,1.83,1.83,1.8,1.82,749290.0,
2020-05-29,1.9,1.9,1.89,1.9,402700.0,
2020-06-01,1.9,1.99,1.9,1.99,291110.0,
2020-06-02,1.99,2.0,1.79,1.97,604220.0,
2020-06-03,,,,,,
2020-06-04,1.93,1.98,1.91,1.98,215220.0,
2020-06-05,1.9,1.96,1.88,1.95,281240.0,
2020-06-08,1.93,1.99,1.92,1.93,7025450.0,
2020-06-09,1.95,1.95,1.9,1.9,484670.0,
2020-06-10,1.88,1.88,1.88,1.88,238760.0,
2020-06-11,1.9,1.9,1.9,1.9,2929800.0,
2020-06-15,1.9,1.9,1.9,1.9,19000.0,
2020-06-16,1.9,1.92,1.9,1.9,178980.0,
2020-06-17,1.88,1.92,1.88,1.92,9470.0,
2020-06-18,1.92,1.92,1.81,1.83,212260.0,
2020-06-19,1.82,1.89,1.82,1.89,40870.0,
2020-06-22,1.87,1.87,1.8,1.83,54670.0,
2020-06-23,1.91,1.91,1.8,1.9,33550.0,
2020-06-24,1.91,1.91,1.8,1.88,188700.0,
2020-06-25,1.9,1.9,1.8,1.9,956440.0,
2020-06-26,1.81,1.85,1.81,1.81,59950.0,
2020-06-29,1.81,1.92,1.81,1.9,171400.0,
2020-06-30,1.86,1.9,1.83,1.9,94120.0,
2020-07-01,1.83,1.84,1.81,1.83,78210.0,
2020-07-02,1.83,1.9,1.83,1.9,16890.0,
