dt,open,high,low,close,value,volume
2020-03-02,965.0,989.5,950.0,960.0,494618985.0,
2020-03-03,967.0,986.0,956.5,961.0,342246310.0,
2020-03-04,960.0,977.0,921.0,945.0,419946985.0,
2020-03-05,954.5,972.0,948.5,950.0,509440440.0,
2020-03-06,963.0,963.0,936.0,943.0,271617060.0,
2020-03-09,910.0,910.5,895.0,902.5,355365610.0,
2020-03-10,886.0,919.0,862.0,900.0,373568350.0,
2020-03-11,905.0,940.0,890.5,900.0,856649365.0,
2020-03-12,880.0,880.0,770.0,790.0,542668315.0,
2020-03-13,725.0,847.5,685.0,831.5,1214304745.0,
2020-03-16,750.0,800.0,735.0,735.0,489545355.0,
2020-03-19,600.0,698.0,509.5,667.0,1004524465.0,
2020-03-20,700.0,740.0,689.5,721.5,742360165.0,
2020-03-23,670.0,748.0,670.0,746.0,306851110.0,
2020-03-24,760.0,765.0,730.0,747.5,292712395.0,
2020-03-25,762.0,800.0,753.5,800.0,373664055.0,
2020-03-26,800.0,845.0,761.0,845.0,636822200.0,
2020-03-27,846.0,870.0,802.0,805.0,549237360.0,
2020-03-30,800.0,805.5,751.0,770.0,320977735.0,
2020-03-31,785.0,820.0,785.0,818.0,442957420.0,
2020-04-01,811.0,830.0,801.0,826.0,375206560.0,
2020-04-02,800.0,820.0,795.5,820.0,207133690.0,
2020-04-03,823.0,833.0,817.5,825.0,162082285.0,
2020-04-06,827.5,850.0,804.0,850.0,310246145.0,
2020-04-07,875.0,878.0,860.5,878.0,291035820.0,
2020-04-08,865.0,878.0,851.0,870.0,389984755.0,
2020-04-13,869.0,876.5,843.5,870.0,177515120.0,
2020-04-14,877.5,884.0,851.5,868.0,220512810.0,
2020-04-15,868.0,868.0,855.0,862.0,571641340.0,
2020-04-16,850.0,850.0,820.0,820.0,466121145.0,
2020-04-17,849.0,860.0,830.0,860.0,322972815.0,
2020-04-20,858.0,863.0,845.0,845.0,275826335.0,
2020-04-21,844.5,855.0,818.0,839.0,176087535.0,
2020-04-22,817.0,825.0,808.0,818.0,190447760.0,
2020-04-23,828.0,850.0,818.5,845.0,300104630.0,
2020-04-24,840.0,840.0,810.0,814.0,202127350.0,
2020-04-27,818.0,818.0,780.0,780.0,279745015.0,
2020-04-28,782.0,820.0,782.0,819.0,202280150.0,
2020-04-29,820.0,843.0,805.0,831.0,96168925.0,
2020-04-30,843.0,846.0,834.5,845.0,204843605.0,
2020-05-04,822.0,822.5,796.0,822.0,137073940.0,
2020-05-05,820.5,835.0,820.5,830.0,163948055.0,
2020-05-06,830.0,840.0,821.5,832.0,245809675.0,
2020-05-07,839.0,839.0,822.0,826.5,133108380.0,
2020-05-08,828.0,838.0,802.0,804.0,406917385.0,
2020-05-11,806.0,815.0,801.5,808.0,124709835.0,
2020-05-12,808.0,819.5,800.0,817.0,100424805.0,
2020-05-13,815.0,826.0,814.0,826.0,59428255.0,
2020-05-14,824.0,824.0,802.0,810.0,193546600.0,
2020-05-15,820.0,820.0,800.0,801.5,198242415.0,
2020-05-18,807.0,809.5,798.0,803.0,145854320.0,
2020-05-19,812.0,816.0,805.0,810.0,109962170.0,
2020-05-20,813.0,820.0,800.5,820.0,92566260.0,
2020-05-21,820.0,838.5,816.0,835.0,205286960.0,
2020-05-22,829.5,834.0,818.0,828.0,259384840.0,
2020-05-26,820.0,838.0,805.0,838.0,199326885.0,
2020-05-27,835.0,837.0,812.5,837.0,605111500.0,
2020-05-28,837.0,848.5,830.5,836.0,174180495.0,
2020-05-29,837.0,915.0,835.0,915.0,1096838610.0,
2020-06-01,890.0,927.5,860.0,920.0,621477985.0,
2020-06-02,920.0,954.0,911.5,946.0,1398393445.0,
2020-06-03,954.0,960.0,935.5,945.0,485065505.0,
2020-06-04,940.5,997.0,940.5,997.0,685539885.0,
2020-06-05,967.5,986.0,951.5,967.5,419685105.0,
2020-06-08,965.5,967.5,941.5,950.0,200770600.0,
2020-06-09,949.0,959.5,938.0,950.0,339171310.0,
2020-06-10,945.0,945.0,905.0,935.0,1296968370.0,
2020-06-11,930.0,951.0,911.0,951.0,184837280.0,
2020-06-15,950.0,950.0,915.0,915.0,301382280.0,
2020-06-16,921.0,940.0,916.0,940.0,118565045.0,
2020-06-17,961.0,969.0,926.0,956.0,167860895.0,
2020-06-18,931.0,963.0,925.0,963.0,1077519295.0,
2020-06-19,934.0,964.5,930.0,949.0,642568455.0,
2020-06-22,945.5,960.0,921.5,960.0,178927780.0,
2020-06-23,949.0,949.0,935.0,935.0,372905450.0,
2020-06-24,940.0,940.0,931.0,937.0,141217375.0,
2020-06-25,930.0,943.0,916.0,930.0,166346055.0,
2020-06-26,921.5,939.0,916.5,938.5,325754915.0,
2020-06-29,930.0,934.5,906.0,915.0,173588495.0,
2020-06-30,928.0,940.0,917.0,939.0,236877400.0,
2020-07-01,938.5,938.5,920.0,920.0,1045043810.0,
2020-07-02,921.0,952.0,908.0,950.0,856826405.0,
2020-07-03,945.0,951.0,930.0,950.0,1108645080.0,
2020-07-06,952.0,952.5,931.5,940.0,252791920.0,
2020-07-07,948.5,956.5,940.0,949.0,351682225.0,
2020-07-08,945.0,975.5,940.0,975.5,174378295.0,
2020-07-09,965.0,965.0,943.5,945.0,615640785.0,
2020-07-10,916.0,940.0,900.0,940.0,311505200.0,
2020-07-13,939.0,940.0,925.0,940.0,127044705.0,
2020-07-14,928.0,938.5,925.0,935.0,407636560.0,
2020-07-15,938.0,938.0,910.0,911.0,477854965.0,
2020-07-16,916.0,945.5,916.0,933.0,156225810.0,
2020-07-17,922.0,943.0,918.0,920.0,566081460.0,
2020-07-20,940.0,940.0,910.5,940.0,105980065.0,
2020-07-21,922.0,940.0,922.0,925.0,227736940.0,
2020-07-22,925.0,940.0,915.0,915.0,179015835.0,
2020-07-23,916.5,925.0,875.5,900.0,376141205.0,
2020-07-24,896.0,910.5,896.0,900.5,133013155.0,
2020-07-27,900.0,900.0,865.5,884.0,240135165.0,
2020-07-28,884.0,910.0,856.5,900.0,519382280.0,
2020-07-29,905.0,907.5,870.0,900.0,397942530.0,
2020-07-30,900.0,900.0,885.0,890.0,357029795.0,
2020-08-03,870.0,870.0,840.0,860.0,569219330.0,
2020-08-04,,,,865.0,,464270.0
2020-08-05,,,,870.0,,451400.0
2020-08-06,,,,878.0,,1982200.0
2020-08-07,,,,850.5,,699770.0
2020-08-10,,,,862.0,,227790.0
2020-08-11,,,,858.0,,450930.0
2020-08-12,,,,870.0,,15425670.0
2020-08-13,,,,897.0,,627680.0
2020-08-14,,,,900.0,,1187090.0
