dt,open,high,low,close,value,volume
2020-03-02,126.2,128.0,124.6,128.0,23953890.0,
2020-03-03,130.0,130.0,128.0,128.6,10304285.0,
2020-03-04,128.0,128.0,125.1,126.5,33519704.0,
2020-03-05,126.5,127.5,125.7,126.0,17721513.0,
2020-03-06,126.0,127.8,125.0,125.5,20828925.0,
2020-03-09,125.5,125.5,119.4,125.0,19532474.0,
2020-03-10,120.0,120.2,118.2,119.5,35142551.0,
2020-03-11,120.0,122.5,119.1,119.5,20200332.0,
2020-03-12,119.0,119.0,98.0,110.0,33573328.0,
2020-03-13,109.0,110.0,98.0,109.5,25633741.0,
2020-03-16,108.0,108.0,92.0,92.0,20458581.0,
2020-03-19,89.0,89.05,72.5,72.5,39226764.5,
2020-03-20,74.0,84.0,73.5,83.0,50711265.5,
2020-03-23,83.0,83.15,80.55,83.15,21411275.5,
2020-03-24,84.8,87.9,83.2,86.4,22232138.0,
2020-03-25,88.0,90.0,86.8,87.0,29283209.0,
2020-03-26,88.5,90.0,88.5,88.8,56196422.0,
2020-03-27,90.0,96.0,89.0,90.0,27901106.0,
2020-03-30,90.0,91.45,87.2,91.4,8612557.0,
2020-03-31,91.4,96.15,90.0,91.5,37614581.5,
2020-04-01,94.85,94.85,91.4,92.0,27135336.0,
2020-04-02,92.0,92.0,90.8,92.0,13391508.0,
2020-04-03,93.0,95.0,92.6,93.0,20339188.0,
2020-04-06,95.0,95.2,93.0,93.0,31656183.0,
2020-04-07,95.2,97.0,93.0,93.05,53909246.5,
2020-04-08,95.2,95.5,94.05,94.5,13732374.5,
2020-04-13,95.0,97.0,94.5,94.95,24726227.5,
2020-04-14,96.0,100.0,94.9,95.0,97580385.5,
2020-04-15,98.8,105.5,97.95,102.2,168362436.0,
2020-04-16,104.1,104.9,100.0,100.5,52288322.0,
2020-04-17,101.0,101.0,99.0,100.0,60278858.5,
2020-04-20,100.2,100.4,98.0,100.0,46640539.0,
2020-04-21,100.5,100.6,98.0,98.0,35619998.0,
2020-04-22,98.0,98.0,95.0,97.9,23220602.0,
2020-04-23,98.5,98.5,97.0,97.75,28039964.5,
2020-04-24,98.0,98.45,96.6,97.0,25121716.5,
2020-04-27,98.0,98.0,96.45,97.5,12650414.0,
2020-04-28,98.0,98.0,97.05,97.5,26593105.5,
2020-04-29,97.85,97.85,97.05,97.05,24364120.5,
2020-04-30,97.9,97.9,97.0,97.0,29715196.5,
2020-05-04,97.75,97.75,96.5,96.75,33467969.5,
2020-05-05,97.0,97.0,96.7,96.75,27022219.5,
2020-05-06,96.8,96.8,95.5,96.5,30302441.0,
2020-05-07,96.6,96.8,96.0,96.2,12906242.5,
2020-05-08,96.65,96.65,96.1,96.5,10729159.5,
2020-05-11,96.8,97.95,96.5,97.0,8553057.0,
2020-05-12,97.95,97.95,97.0,97.0,11192116.0,
2020-05-13,97.5,97.5,96.6,96.9,13831608.0,
2020-05-14,97.0,97.0,95.5,96.0,20586627.0,
2020-05-15,96.5,96.5,96.2,96.35,4034178.5,
2020-05-18,96.35,96.5,95.9,96.0,13270523.5,
2020-05-19,96.4,96.75,94.0,96.4,25752427.0,
2020-05-20,96.5,96.5,94.25,96.4,15921962.0,
2020-05-21,96.0,96.0,95.5,95.5,15835084.5,
2020-05-22,96.0,96.0,95.65,95.95,15928930.0,
2020-05-26,95.95,96.45,94.4,96.0,15843998.0,
2020-05-27,96.0,96.0,95.7,96.0,17918389.0,
2020-05-28,96.0,96.0,95.85,95.9,16945434.0,
2020-05-29,96.0,96.0,95.0,96.0,14593933.5,
2020-06-01,97.0,98.2,96.0,97.0,18651337.0,
2020-06-02,98.0,98.0,96.6,96.6,32608242.0,
2020-06-03,98.0,101.0,98.0,100.0,33788215.5,
2020-06-04,100.5,103.7,100.0,100.0,69091660.0,
2020-06-05,103.1,104.8,100.6,101.4,39268085.0,
2020-06-08,101.5,103.9,101.2,101.2,53599581.0,
2020-06-09,101.6,110.0,101.6,108.0,110352023.0,
2020-06-10,110.0,110.0,103.0,104.0,93371180.0,
2020-06-11,104.0,106.0,102.1,104.6,53533178.0,
2020-06-15,104.7,105.0,101.1,104.0,90865906.0,
2020-06-16,104.0,105.0,102.3,105.0,14072755.0,
2020-06-17,105.0,105.0,102.2,105.0,21179063.0,
2020-06-18,105.0,105.0,102.6,104.9,15303547.0,
2020-06-19,104.0,104.5,101.3,101.3,45727240.0,
2020-06-22,101.3,102.0,99.4,101.9,27853577.0,
2020-06-23,101.9,101.9,99.65,100.2,11018783.0,
2020-06-24,101.6,101.6,99.8,100.3,22566426.5,
2020-06-25,100.0,100.0,98.55,99.5,17545893.5,
2020-06-26,99.5,100.0,97.5,100.0,19259658.0,
2020-06-29,99.95,99.95,97.6,99.5,8226605.5,
2020-06-30,100.0,100.0,99.0,100.0,11969286.5,
2020-07-01,100.5,102.5,99.5,102.4,15722375.0,
2020-07-02,102.5,105.0,100.6,105.0,18929255.0,
2020-07-03,105.0,105.1,103.0,103.0,15592966.0,
2020-07-06,103.0,104.5,102.8,103.0,24442610.0,
2020-07-07,104.0,104.0,101.0,101.5,14199593.0,
2020-07-08,101.5,102.0,99.8,102.0,15688660.5,
2020-07-09,102.0,102.0,100.0,100.0,7016840.0,
2020-07-10,100.5,104.0,99.5,104.0,11618089.5,
2020-07-13,103.4,103.4,100.6,103.0,5523322.0,
2020-07-14,103.0,103.3,101.0,102.0,32463801.0,
2020-07-15,102.0,103.0,98.0,98.3,16656955.5,
2020-07-16,101.5,101.9,98.0,98.1,34246518.5,
2020-07-17,98.2,99.9,97.6,98.5,8831452.5,
2020-07-20,99.5,100.0,98.7,98.7,16364539.0,
2020-07-21,99.65,99.9,99.3,99.9,2530163.5,
