dt,open,high,low,close,value,volume
2020-03-02,38.1,39.4,38.0,38.7,476052830.0,
2020-03-03,39.45,39.9,39.0,39.0,399800885.0,
2020-03-04,39.0,39.5,38.5,39.5,566409770.0,
2020-03-05,39.5,39.5,39.2,39.5,1174556755.0,
2020-03-06,38.65,39.1,38.5,38.55,304338055.0,
2020-03-09,38.5,38.5,36.1,36.1,391454170.0,
2020-03-10,34.75,36.95,34.75,35.5,1008234935.0,
2020-03-11,36.0,36.85,34.8,34.8,384708390.0,
2020-03-12,34.75,34.75,29.55,30.9,830215175.0,
2020-03-13,28.0,32.2,27.0,30.0,972686710.0,
2020-03-16,29.4,29.65,27.1,28.5,624831160.0,
2020-03-19,25.0,27.5,19.9,27.0,955410010.0,
2020-03-20,27.0,28.4,25.0,26.0,587372150.0,
2020-03-23,23.5,25.0,23.4,24.7,343947720.0,
2020-03-24,25.4,26.85,25.1,25.5,521934200.0,
2020-03-25,26.95,27.85,26.0,27.0,482341645.0,
2020-03-26,28.25,31.0,27.35,31.0,665785685.0,
2020-03-27,31.1,32.45,28.5,28.5,430607955.0,
2020-03-30,28.0,28.0,26.1,27.35,377980485.0,
2020-03-31,28.05,28.7,27.2,28.4,669725360.0,
2020-04-01,28.4,29.85,28.05,28.3,334364935.0,
2020-04-02,27.9,29.6,27.5,29.6,277417945.0,
2020-04-03,29.15,29.4,28.6,29.0,211316060.0,
2020-04-06,29.05,30.15,28.5,30.15,304091420.0,
2020-04-07,31.0,31.6,30.2,31.1,456054050.0,
2020-04-08,30.5,31.0,29.15,29.2,543295560.0,
2020-04-13,29.4,30.1,28.6,30.1,248980890.0,
2020-04-14,30.1,30.9,29.65,30.9,216878950.0,
2020-04-15,30.9,31.95,30.5,31.9,486384235.0,
2020-04-16,30.35,31.0,29.55,29.55,572980835.0,
2020-04-17,30.65,31.95,30.3,31.95,430081130.0,
2020-04-20,31.95,31.95,30.5,31.5,248690115.0,
2020-04-21,30.95,30.95,30.0,30.0,369503490.0,
2020-04-22,29.5,29.9,29.1,29.7,236124120.0,
2020-04-23,30.2,30.45,30.05,30.25,254802130.0,
2020-04-24,30.25,30.25,27.5,28.65,465182705.0,
2020-04-27,28.95,28.95,27.6,28.8,393390050.0,
2020-04-28,28.8,29.7,28.7,29.7,203261260.0,
2020-04-29,29.75,31.0,29.15,30.95,181694165.0,
2020-04-30,31.0,31.05,30.05,31.0,404748825.0,
2020-05-04,29.25,30.4,28.75,30.4,265802225.0,
2020-05-05,30.4,31.15,29.9,30.05,201145930.0,
2020-05-06,30.1,30.5,29.55,30.0,201735960.0,
2020-05-07,30.2,31.3,30.05,30.9,332665950.0,
2020-05-08,31.0,31.3,30.5,31.0,298350190.0,
2020-05-11,31.0,31.2,30.55,30.65,50517755.0,
2020-05-12,30.4,30.65,29.6,29.6,510902295.0,
2020-05-13,29.55,30.0,28.4,28.55,239217015.0,
2020-05-14,28.55,30.6,28.1,30.6,204316385.0,
2020-05-15,30.05,30.15,29.0,29.0,241051440.0,
2020-05-18,29.5,29.85,28.5,29.8,167627760.0,
2020-05-19,29.7,30.0,29.2,29.5,121329700.0,
2020-05-20,29.8,29.9,29.3,29.65,112888775.0,
2020-05-21,29.4,29.5,28.75,28.95,567594595.0,
2020-05-22,29.0,29.25,28.55,29.0,168077200.0,
2020-05-26,29.0,29.5,28.75,29.5,133078590.0,
2020-05-27,29.3,29.8,28.8,29.8,521451600.0,
2020-05-28,29.8,29.8,29.15,29.5,299826085.0,
2020-05-29,29.6,30.15,29.2,30.15,815054590.0,
2020-06-01,29.8,31.75,29.5,31.75,445632690.0,
2020-06-02,31.65,32.5,31.1,32.0,457612415.0,
2020-06-03,32.4,33.5,31.7,33.5,300045750.0,
2020-06-04,33.45,34.3,33.25,33.95,694235955.0,
2020-06-05,33.5,34.0,32.0,32.9,434450075.0,
2020-06-08,33.3,34.2,33.1,33.4,774934725.0,
2020-06-09,33.4,34.15,33.1,33.5,416427620.0,
2020-06-10,33.55,33.85,31.9,33.0,396109475.0,
2020-06-11,32.8,33.25,31.9,33.25,787954420.0,
2020-06-15,32.3,32.75,30.65,30.65,340501465.0,
2020-06-16,31.7,31.95,30.6,31.0,259466315.0,
2020-06-17,31.45,31.65,30.7,31.0,457539175.0,
2020-06-18,31.0,32.0,31.0,32.0,102304710.0,
2020-06-19,31.9,32.95,31.4,31.45,952275675.0,
2020-06-22,31.7,32.2,31.2,32.2,120845355.0,
2020-06-23,31.95,31.95,31.6,31.7,144209085.0,
2020-06-24,31.5,31.85,31.0,31.0,163428030.0,
2020-06-25,30.9,31.3,30.45,31.2,800750125.0,
2020-06-26,31.5,31.6,30.05,31.6,422089280.0,
2020-06-29,31.0,31.9,30.7,31.9,148711810.0,
2020-06-30,31.95,32.05,31.35,31.85,182781315.0,
2020-07-01,31.85,32.5,31.3,32.35,196626505.0,
2020-07-02,32.3,33.7,32.0,33.05,280628995.0,
2020-07-03,33.1,33.4,32.85,33.4,605420040.0,
2020-07-06,33.4,33.4,32.65,32.7,235448630.0,
2020-07-07,32.6,32.75,31.5,31.5,226512770.0,
2020-07-08,31.5,32.05,31.2,31.75,162673450.0,
2020-07-09,31.75,31.85,30.5,30.5,167204030.0,
2020-07-10,30.8,32.0,30.05,31.9,158199120.0,
2020-07-13,31.75,31.75,31.1,31.2,96313205.0,
2020-07-14,31.2,31.75,31.2,31.6,122468270.0,
2020-07-15,31.5,31.7,31.15,31.7,773707200.0,
2020-07-16,31.75,32.7,31.75,32.7,93601405.0,
2020-07-17,32.45,32.45,30.9,31.2,285894280.0,
2020-07-20,31.2,31.9,30.8,31.7,144992060.0,
2020-07-21,31.25,31.3,30.75,31.0,359233030.0,
2020-07-22,31.1,31.3,30.9,30.9,757473300.0,
2020-07-23,31.15,31.15,29.95,30.5,293003870.0,
2020-07-24,30.3,30.5,30.05,30.5,415114735.0,
2020-07-27,30.5,30.7,30.0,30.3,168406325.0,
2020-07-28,30.3,31.2,30.0,31.1,104122370.0,
2020-07-29,31.0,31.05,30.3,30.5,134848415.0,
2020-07-30,30.5,30.9,30.0,30.0,195490545.0,
2020-08-03,29.5,29.5,28.2,28.55,549620340.0,
2020-08-04,,,,28.45,,14245400.0
2020-08-05,,,,29.0,,10324300.0
2020-08-06,,,,29.45,,4306000.0
