dt,open,high,low,close,value,volume
2020-03-02,8.7,9.2,8.7,8.95,492293.0,
2020-03-03,8.97,8.98,8.77,8.78,557199.0,
2020-03-04,9.0,9.0,8.78,8.78,2187396.0,
2020-03-05,8.76,8.98,8.76,8.9,179872.0,
2020-03-06,8.9,8.9,8.78,8.83,1742917.0,
2020-03-09,8.85,8.87,8.25,8.4,2016460.0,
2020-03-10,8.28,8.4,7.51,8.1,2740125.0,
2020-03-11,8.19,8.45,7.9,7.9,1210594.0,
2020-03-12,8.13,8.13,7.5,7.5,1945501.0,
2020-03-13,7.5,7.55,6.91,7.37,4061020.0,
2020-03-16,7.2,7.36,6.94,7.01,2052827.0,
2020-03-19,7.01,7.01,6.5,6.71,2395556.0,
2020-03-20,6.8,6.9,6.71,6.9,728718.0,
2020-03-23,6.9,7.02,6.85,6.85,543231.0,
2020-03-24,7.01,7.23,7.01,7.22,561655.0,
2020-03-25,7.4,8.17,7.4,8.0,2364356.0,
2020-03-26,8.3,8.3,8.1,8.1,1767940.0,
2020-03-27,8.28,8.28,7.88,8.0,535121.0,
2020-03-30,7.88,8.15,7.6,8.14,442561.0,
2020-03-31,8.01,8.2,7.8,8.05,830503.0,
2020-04-01,8.1,8.14,7.71,8.05,1873824.0,
2020-04-02,7.9,8.03,7.73,8.0,236679.0,
2020-04-03,7.81,7.95,7.71,7.95,1081063.0,
2020-04-06,7.95,8.03,7.55,7.95,1797448.0,
2020-04-07,7.95,7.95,7.72,7.92,1523742.0,
2020-04-08,7.92,7.92,7.77,7.77,1405427.0,
2020-04-13,7.77,7.95,7.77,7.95,273540.0,
2020-04-14,7.95,8.05,7.95,8.05,701689.0,
2020-04-15,8.1,8.1,8.03,8.05,1576575.0,
2020-04-16,8.05,8.05,7.96,8.0,316069.0,
2020-04-17,8.0,8.05,7.97,8.0,230607.0,
2020-04-20,8.0,8.05,8.0,8.0,93631.0,
2020-04-21,8.01,8.01,7.9,7.98,1151698.0,
2020-04-22,8.0,8.0,7.98,7.98,71134.0,
2020-04-23,7.99,7.99,7.5,7.96,905529.0,
2020-04-24,7.9,7.95,7.8,7.95,237642.0,
2020-04-27,7.8,7.94,7.8,7.94,135787.0,
2020-04-28,7.95,7.97,7.88,7.9,135237.0,
2020-04-29,7.9,7.96,7.82,7.83,209851.0,
2020-04-30,7.88,7.98,7.88,7.98,290241.0,
2020-05-04,7.97,7.97,7.89,7.9,235771.0,
2020-05-05,7.9,7.9,7.82,7.88,234847.0,
2020-05-06,7.82,7.89,7.8,7.81,407552.0,
2020-05-07,7.82,7.82,7.75,7.8,715008.0,
2020-05-08,7.89,8.3,7.89,8.2,8455668.0,
2020-05-11,8.25,8.5,8.24,8.38,4017993.0,
2020-05-12,8.4,8.4,8.28,8.36,1675230.0,
2020-05-13,8.36,8.36,8.11,8.14,2220615.0,
2020-05-14,8.14,8.21,8.05,8.15,1976377.0,
2020-05-15,8.15,8.28,8.15,8.2,3727677.0,
2020-05-18,8.25,8.29,8.14,8.14,3018590.0,
2020-05-19,7.9,7.9,7.8,7.85,1328915.0,
2020-05-20,7.9,7.9,7.86,7.9,1103057.0,
2020-05-21,7.9,7.9,7.75,7.88,334967.0,
2020-05-22,7.82,7.82,7.76,7.76,2182296.0,
2020-05-26,7.76,7.79,7.5,7.62,2089279.0,
2020-05-27,7.51,7.63,7.5,7.63,767512.0,
2020-05-28,7.72,7.72,7.63,7.72,406658.0,
2020-05-29,7.72,7.96,7.72,7.89,342616.0,
2020-06-01,7.9,7.98,7.89,7.98,538898.0,
2020-06-02,8.0,8.1,7.98,8.03,587001.0,
2020-06-03,8.05,8.2,8.03,8.1,1359359.0,
2020-06-04,8.11,8.17,8.0,8.08,694626.0,
2020-06-05,8.08,8.16,8.0,8.0,1751060.0,
2020-06-08,8.05,8.1,8.0,8.01,1007845.0,
2020-06-09,8.1,8.13,8.1,8.13,404812.0,
2020-06-10,8.2,8.2,8.05,8.16,689049.0,
2020-06-11,8.11,8.16,8.1,8.1,390057.0,
2020-06-15,8.1,8.1,7.97,8.05,1201578.0,
2020-06-16,8.05,8.15,7.95,8.1,523469.0,
2020-06-17,8.12,8.2,7.99,8.1,1133304.0,
2020-06-18,8.1,8.1,7.95,8.06,780261.0,
2020-06-19,8.09,8.11,7.96,8.08,1224366.0,
2020-06-22,8.08,8.08,7.95,8.05,499714.0,
2020-06-23,8.04,8.04,7.98,8.0,771281.0,
2020-06-24,8.0,8.09,7.99,8.03,142843.0,
2020-06-25,8.0,8.07,7.99,8.05,379568.0,
2020-06-26,8.05,8.07,8.02,8.03,158507.0,
2020-06-29,8.0,8.0,7.9,8.0,2547856.0,
2020-06-30,8.0,8.03,7.9,8.0,847179.0,
2020-07-01,8.0,8.04,7.9,8.0,1333928.0,
2020-07-02,8.0,8.04,7.9,8.03,1086117.0,
2020-07-03,8.03,8.05,8.0,8.0,349985.0,
2020-07-06,8.05,8.05,8.02,8.03,532537.0,
2020-07-07,8.02,8.03,8.0,8.03,430434.0,
2020-07-08,8.03,8.03,8.0,8.03,331878.0,
2020-07-09,8.0,8.0,7.99,8.0,1412549.0,
2020-07-10,8.03,8.03,7.99,8.02,1509430.0,
2020-07-13,8.01,8.18,8.01,8.18,1199148.0,
2020-07-14,8.2,8.24,8.0,8.05,3657067.0,
2020-07-15,8.15,8.15,7.95,7.95,2780981.0,
2020-07-16,8.0,8.11,7.95,8.0,923596.0,
2020-07-17,8.0,8.08,7.9,8.0,1964728.0,
2020-07-20,8.0,8.07,8.0,8.06,149594.0,
2020-07-21,8.06,8.07,8.03,8.05,132881.0,
2020-07-22,8.08,8.08,8.01,8.01,417553.0,
2020-07-23,8.01,8.05,7.9,7.95,3018755.0,
2020-07-24,7.9,8.05,7.9,8.0,397647.0,
2020-07-27,8.0,8.01,7.88,7.95,716042.0,
