dt,open,high,low,close,value,volume
2020-03-02,1.99,1.99,1.86,1.88,3087780.0,
2020-03-03,1.89,1.9,1.75,1.84,6174690.0,
2020-03-04,1.84,1.86,1.77,1.8,3917060.0,
2020-03-05,1.8,1.86,1.77,1.79,3189880.0,
2020-03-06,1.79,1.79,1.67,1.68,7826270.0,
2020-03-09,1.67,1.67,1.49,1.51,5909020.0,
2020-03-10,1.49,1.49,1.4,1.46,8351940.0,
2020-03-11,1.48,1.54,1.46,1.46,6206510.0,
2020-03-12,1.45,1.45,1.14,1.14,5742930.0,
2020-03-13,1.05,1.21,1.01,1.2,2506670.0,
2020-03-16,1.14,1.14,1.05,1.08,2432490.0,
2020-03-19,1.0,1.0,0.9,0.93,2548480.0,
2020-03-20,0.97,1.0,0.88,0.95,3330660.0,
2020-03-23,0.99,0.99,0.9,0.93,1516330.0,
2020-03-24,0.9,0.98,0.9,0.95,1741920.0,
2020-03-25,1.0,1.1,0.98,1.09,2277190.0,
2020-03-26,1.12,1.24,1.12,1.22,2332760.0,
2020-03-27,1.26,1.29,1.15,1.2,3309470.0,
2020-03-30,1.2,1.21,1.1,1.15,1015690.0,
2020-03-31,1.13,1.26,1.13,1.25,1616070.0,
2020-04-01,1.26,1.35,1.2,1.3,1593650.0,
2020-04-02,1.29,1.3,1.24,1.3,990740.0,
2020-04-03,1.26,1.32,1.26,1.3,278830.0,
2020-04-06,1.3,1.3,1.25,1.3,1112170.0,
2020-04-07,1.3,1.34,1.24,1.24,2648820.0,
2020-04-08,1.23,1.27,1.21,1.21,1189980.0,
2020-04-13,1.22,1.3,1.21,1.21,2190260.0,
2020-04-14,1.22,1.39,1.21,1.39,5941630.0,
2020-04-15,1.45,1.48,1.36,1.36,7136610.0,
2020-04-16,1.39,1.39,1.26,1.28,2588840.0,
2020-04-17,1.28,1.32,1.27,1.3,2893890.0,
2020-04-20,1.33,1.33,1.26,1.28,4035370.0,
2020-04-21,1.27,1.28,1.2,1.23,3851920.0,
2020-04-22,1.2,1.22,1.15,1.18,2226730.0,
2020-04-23,1.22,1.27,1.19,1.21,3326860.0,
2020-04-24,1.22,1.24,1.2,1.2,3059240.0,
2020-04-27,1.2,1.2,1.16,1.2,2327840.0,
2020-04-28,1.2,1.22,1.15,1.21,5627570.0,
2020-04-29,1.23,1.33,1.2,1.3,26038570.0,
2020-04-30,1.36,1.39,1.33,1.35,20371120.0,
2020-05-04,1.34,1.34,1.21,1.26,8062990.0,
2020-05-05,1.28,1.29,1.26,1.29,2791020.0,
2020-05-06,1.29,1.29,1.24,1.24,4059370.0,
2020-05-07,1.24,1.26,1.2,1.21,4747750.0,
2020-05-08,1.21,1.25,1.17,1.19,4178880.0,
2020-05-11,1.19,1.25,1.16,1.23,5264660.0,
2020-05-12,1.23,1.23,1.21,1.22,2192290.0,
2020-05-13,1.2,1.22,1.18,1.19,1173640.0,
2020-05-14,1.18,1.21,1.17,1.2,1300840.0,
2020-05-15,1.23,1.23,1.17,1.19,2193830.0,
2020-05-18,1.19,1.19,1.1,1.11,6550730.0,
2020-05-19,1.16,1.18,1.12,1.15,2567490.0,
2020-05-20,1.15,1.15,1.11,1.13,2076170.0,
2020-05-21,1.13,1.13,1.11,1.13,1123550.0,
2020-05-22,1.13,1.13,1.12,1.12,2703290.0,
2020-05-26,1.11,1.11,1.03,1.06,3086100.0,
2020-05-27,1.06,1.08,1.05,1.07,2321510.0,
2020-05-28,1.06,1.13,1.06,1.1,4182430.0,
2020-05-29,1.1,1.15,1.1,1.13,2106280.0,
2020-06-01,1.13,1.16,1.12,1.15,3712100.0,
2020-06-02,1.16,1.19,1.13,1.15,2942910.0,
2020-06-03,1.16,1.19,1.15,1.15,3951630.0,
2020-06-04,1.19,1.23,1.16,1.22,5368130.0,
2020-06-05,1.25,1.26,1.19,1.26,6495230.0,
2020-06-08,1.29,1.35,1.28,1.35,13173360.0,
2020-06-09,1.36,1.38,1.25,1.31,11785010.0,
2020-06-10,1.3,1.31,1.21,1.22,6082560.0,
2020-06-11,1.22,1.27,1.22,1.23,9329910.0,
2020-06-15,1.22,1.22,1.15,1.18,5629990.0,
2020-06-16,1.18,1.23,1.18,1.2,2233690.0,
2020-06-17,1.22,1.24,1.15,1.17,8148840.0,
2020-06-18,1.17,1.18,1.15,1.18,2581600.0,
2020-06-19,1.19,1.21,1.18,1.18,2172780.0,
2020-06-22,1.18,1.2,1.16,1.18,1907400.0,
2020-06-23,1.18,1.22,1.16,1.2,2949060.0,
2020-06-24,1.23,1.23,1.16,1.18,5228400.0,
2020-06-25,1.18,1.18,1.16,1.16,2684180.0,
2020-06-26,1.16,1.18,1.15,1.16,1641340.0,
2020-06-29,1.17,1.17,1.11,1.13,3126710.0,
2020-06-30,1.14,1.15,1.11,1.13,2203400.0,
2020-07-01,1.14,1.15,1.13,1.13,961880.0,
2020-07-02,1.16,1.16,1.12,1.14,970170.0,
2020-07-03,1.14,1.17,1.13,1.15,1263010.0,
2020-07-06,1.15,1.18,1.15,1.17,2431160.0,
2020-07-07,1.17,1.19,1.15,1.15,4861300.0,
2020-07-08,1.15,1.18,1.15,1.17,2025350.0,
2020-07-09,1.19,1.19,1.16,1.16,2643840.0,
2020-07-10,1.16,1.16,1.14,1.16,1513830.0,
2020-07-13,1.16,1.16,1.12,1.13,1847450.0,
2020-07-14,1.13,1.17,1.11,1.17,2957020.0,
2020-07-15,1.16,1.17,1.11,1.11,2206100.0,
2020-07-16,1.11,1.16,1.11,1.12,1746200.0,
2020-07-17,1.15,1.15,1.11,1.12,1571010.0,
2020-07-20,1.13,1.13,1.11,1.13,2166310.0,
2020-07-21,1.13,1.15,1.11,1.14,1669030.0,
2020-07-22,1.15,1.16,1.12,1.13,1029340.0,
2020-07-23,1.13,1.14,1.09,1.12,3147850.0,
2020-07-24,1.1,1.13,1.07,1.1,2486110.0,
2020-07-27,1.13,1.13,1.07,1.07,1917170.0,
2020-07-28,1.07,1.11,1.06,1.06,1689170.0,
2020-07-29,1.08,1.08,1.05,1.06,1762140.0,
2020-07-30,1.08,1.08,1.06,1.06,747780.0,
2020-08-03,1.05,1.05,1.02,1.03,1485720.0,
2020-08-04,,,,1.04,,1352000.0
2020-08-05,,,,1.03,,1599000.0
2020-08-06,,,,1.01,,2891000.0
2020-08-07,,,,1.02,,1616000.0
2020-08-10,,,,1.03,,2521000.0
2020-08-11,,,,1.03,,3222000.0
2020-08-12,,,,1.03,,2792000.0
2020-08-13,,,,1.05,,3266000.0
2020-08-14,,,,1.06,,3622000.0
2020-08-17,,,,1.05,,2200000.0
2020-08-18,,,,1.03,,2158000.0
2020-08-19,,,,1.04,,1997000.0
2020-08-20,,,,1.03,,2394000.0
2020-08-24,,,,1.03,,1096000.0
2020-08-25,,,,1.02,,2324000.0
2020-08-26,,,,1.04,,918000.0
2020-08-27,,,,1.03,,1464000.0
2020-08-28,,,,1.02,,3786000.0
2020-09-01,,,,1.02,,1385000.0
2020-09-02,,,,1.02,,2086000.0
2020-09-03,,,,1.04,,4161000.0
2020-09-04,,,,1.13,,16333000.0
2020-09-07,,,,1.13,,10065000.0
2020-09-08,,,,1.13,,4810000.0
2020-09-09,,,,1.18,,13811000.0
2020-09-10,,,,1.27,,18155000.0
2020-09-11,,,,1.23,,9618000.0
2020-09-14,,,,1.19,,14672000.0
2020-09-15,,,,1.19,,15472000.0
2020-09-16,,,,1.17,,4928000.0
2020-09-17,,,,1.18,,1804000.0
2020-09-18,,,,1.14,,5425000.0
2020-09-21,,,,1.09,,14251000.0
2020-09-22,,,,1.1,,7440000.0
2020-09-23,,,,1.17,,6533000.0
2020-09-24,,,,1.17,,4779000.0
2020-09-25,,,,1.17,,2684000.0
2020-09-28,,,,1.16,,2304000.0
