dt,open,high,low,close,value,volume
2020-03-02,1.08,1.08,1.0,1.04,1246800.0,
2020-03-03,1.05,1.09,1.02,1.06,1224300.0,
2020-03-04,1.05,1.06,0.96,1.0,1011690.0,
2020-03-05,1.0,1.04,0.99,1.0,360330.0,
2020-03-06,1.0,1.01,0.96,0.96,593280.0,
2020-03-09,0.95,0.95,0.81,0.81,1385020.0,
2020-03-10,0.78,0.88,0.72,0.86,689190.0,
2020-03-11,0.85,0.92,0.83,0.83,659840.0,
2020-03-12,0.83,0.83,0.71,0.71,803040.0,
2020-03-13,0.7,0.71,0.5,0.71,505540.0,
2020-03-16,0.7,0.7,0.66,0.66,49350.0,
2020-03-19,0.62,0.63,0.55,0.56,102300.0,
2020-03-20,0.57,0.58,0.55,0.55,75300.0,
2020-03-23,0.56,0.63,0.56,0.63,213570.0,
2020-03-24,0.63,0.7,0.6,0.67,102530.0,
2020-03-25,0.74,0.77,0.6,0.74,648850.0,
2020-03-26,0.78,0.85,0.77,0.83,1321110.0,
2020-03-27,0.86,0.88,0.76,0.78,842210.0,
2020-03-30,0.7,0.75,0.67,0.73,332080.0,
2020-03-31,0.75,0.78,0.7,0.75,595830.0,
2020-04-01,0.73,0.78,0.71,0.78,188490.0,
2020-04-02,0.77,0.77,0.73,0.76,144150.0,
2020-04-03,0.78,0.78,0.74,0.76,54550.0,
2020-04-06,0.74,0.77,0.73,0.77,146650.0,
2020-04-07,0.78,0.81,0.76,0.78,471030.0,
2020-04-08,0.76,0.8,0.74,0.79,543450.0,
2020-04-13,0.8,0.88,0.76,0.81,860560.0,
2020-04-14,0.82,0.92,0.82,0.91,902590.0,
2020-04-15,0.95,0.98,0.9,0.97,1040900.0,
2020-04-16,0.97,1.1,0.9,1.1,4649550.0,
2020-04-17,1.13,1.2,1.04,1.11,5929660.0,
2020-04-20,1.12,1.12,1.0,1.08,2583640.0,
2020-04-21,1.1,1.1,1.01,1.04,1648230.0,
2020-04-22,1.04,1.09,1.01,1.06,1299270.0,
2020-04-23,1.08,1.08,1.03,1.04,1060910.0,
2020-04-24,1.04,1.06,1.03,1.06,555340.0,
2020-04-27,1.07,1.46,1.07,1.34,42409330.0,
2020-04-28,1.35,1.39,1.1,1.24,14916460.0,
