dt,open,high,low,close,value,volume
2020-03-02,0.55,0.55,0.53,0.54,231380.0,
2020-03-03,0.54,0.54,0.52,0.53,357770.0,
2020-03-04,0.52,0.53,0.52,0.52,784710.0,
2020-03-05,0.53,0.53,0.52,0.52,1309350.0,
2020-03-06,0.52,0.53,0.52,0.52,320930.0,
2020-03-09,0.51,0.51,0.44,0.45,801860.0,
2020-03-10,0.45,0.46,0.43,0.45,1557050.0,
2020-03-11,0.45,0.5,0.45,0.49,11726350.0,
2020-03-12,0.49,0.49,0.43,0.44,1384150.0,
2020-03-13,0.43,0.435,0.38,0.435,2945150.0,
2020-03-16,0.41,0.43,0.4,0.4,357450.0,
2020-03-19,0.395,0.405,0.375,0.39,1005450.0,
2020-03-20,0.4,0.44,0.39,0.395,1001800.0,
2020-03-23,0.38,0.39,0.36,0.39,557650.0,
2020-03-24,0.4,0.4,0.4,0.4,348000.0,
2020-03-25,0.4,0.41,0.39,0.395,577750.0,
2020-03-26,0.4,0.415,0.4,0.41,977950.0,
2020-03-27,0.41,0.43,0.4,0.405,1316500.0,
2020-03-30,0.41,0.41,0.395,0.4,361050.0,
2020-03-31,0.405,0.405,0.395,0.4,2706850.0,
2020-04-01,0.395,0.4,0.39,0.395,1783200.0,
2020-04-02,0.4,0.4,0.39,0.395,2849200.0,
2020-04-03,0.4,0.4,0.395,0.395,1395950.0,
2020-04-06,0.395,0.395,0.38,0.385,386750.0,
2020-04-07,0.395,0.395,0.39,0.39,295700.0,
2020-04-08,0.395,0.395,0.38,0.385,1006450.0,
2020-04-13,0.38,0.385,0.38,0.385,388000.0,
2020-04-14,0.38,0.38,0.365,0.375,6018050.0,
2020-04-15,0.375,0.375,0.365,0.375,7403600.0,
2020-04-16,0.375,0.375,0.365,0.375,3661200.0,
2020-04-17,0.375,0.395,0.37,0.385,10831050.0,
2020-04-20,0.39,0.395,0.37,0.38,16358300.0,
2020-04-21,0.38,0.38,0.37,0.375,5025400.0,
2020-04-22,0.37,0.375,0.32,0.345,10814550.0,
2020-04-23,0.355,0.355,0.34,0.345,4596950.0,
2020-04-24,0.35,0.36,0.335,0.355,3371950.0,
2020-04-27,0.35,0.35,0.34,0.345,2462100.0,
